sample_group,strategy_id,ma_period,threshold,horizon,date_count,mean_daily_return,median_daily_return,positive_date_fraction
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge1,60m,141,-0.004647210746755309,-0.006058198012181419,0.3475177304964539
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge1,1d,141,-0.0045325710502221814,-0.010706819238942678,0.3475177304964539
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge1,5d,141,-0.01245531790610445,-0.02138818930108244,0.40425531914893614
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge2,60m,19,-0.012272983488875063,-0.020248070780606087,0.3157894736842105
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge2,1d,18,0.013138096734787877,0.002966287682750794,0.5
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge2,5d,19,0.0005938191641380787,-0.020644649243628632,0.47368421052631576
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge3,60m,2,-0.047867909483051696,-0.047867909483051696,0.0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge3,1d,2,-0.1099586825354732,-0.1099586825354732,0.0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge3,5d,2,-0.12042669657808025,-0.12042669657808025,0.0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge4,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge4,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge4,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge5,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge5,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge5,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,10,all,60m,199,-0.0027778454364738294,-0.0025217546507132695,0.23115577889447236
primary_development_2022_2023_partial,fu_r3_core_pullback,10,all,1d,199,-0.001251727898569725,-0.0007051915806762507,0.4824120603015075
primary_development_2022_2023_partial,fu_r3_core_pullback,10,all,5d,199,-0.0012347424461441325,0.000687969865639934,0.5125628140703518
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge1,60m,65,-0.023901087299678915,-0.018456266712071012,0.23076923076923078
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge1,1d,65,-0.04141246589108956,-0.04177224084428377,0.3230769230769231
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge1,5d,64,-0.08819292885031574,-0.09453936582701084,0.1875
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge2,60m,36,-0.027663482825828502,-0.016543055177841937,0.25
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge2,1d,36,-0.05219593852261509,-0.0915404589200785,0.3055555555555556
