sample_group,strategy_id,ma_period,threshold,metric,horizon,observed_count,mean,median,win_rate,profit_factor,symbol_count,date_count
primary_development_2022_2023_partial,fu_r3_core_pullback,10,all,net,60m,57878,-0.0023384312235466,,0.3521199765022979,0.6662446992964519,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,10,all,net,1d,57749,0.0003155315997894,,0.4659994112452164,1.024434311879321,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,10,all,net,5d,57733,0.0024983724899165,,0.4827221866177056,1.102965544559875,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge1,net,60m,92,-0.0262510979466696,,0.2934782608695652,0.248990636103826,,65
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge1,net,1d,92,-0.0437790356241253,,0.3260869565217391,0.342815832752069,,65
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge1,net,5d,91,-0.0836113499316789,,0.2637362637362637,0.2496549815585406,,64
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge2,net,60m,47,-0.0313251724138036,,0.2765957446808511,0.2080313458178445,,36
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge2,net,1d,47,-0.0612584367188221,,0.2765957446808511,0.3178483547889879,,36
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge2,net,5d,46,-0.1104779257058725,,0.217391304347826,0.2208405302240056,,35
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge3,net,60m,25,-0.0277208724435605,,0.36,0.262040472502466,,24
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge3,net,1d,25,-0.0669562695911404,,0.28,0.2916455198047253,,24
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge3,net,5d,25,-0.1271200230393804,,0.2,0.1769506396719476,,24
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge4,net,60m,17,-0.040295819938641,,0.2941176470588235,0.1091533054278343,,16
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge4,net,1d,17,-0.0833053344223027,,0.2352941176470588,0.2251400990530244,,16
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge4,net,5d,17,-0.1560111466089628,,0.1764705882352941,0.0800811349371445,,16
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge5,net,60m,10,-0.0589351910294507,,0.2,0.0668401891269554,,9
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge5,net,1d,10,-0.0984526178280082,,0.2,0.13659629168943,,9
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge5,net,5d,10,-0.1535931025137142,,0.2,0.0657814218725691,,9
primary_development_2022_2023_partial,fu_r3_core_pullback,20,all,net,60m,49231,-0.0021984120619627,,0.3502671081229306,0.682023302608398,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,20,all,net,1d,49142,0.0007520631769026,,0.466464531358105,1.0600016218075623,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,20,all,net,5d,49110,0.0029284211187208,,0.4898187741804113,1.1222560331194271,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge1,net,60m,33,-0.0105285071243082,,0.303030303030303,0.3907053216615031,,23
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge1,net,1d,33,-0.0164118817867117,,0.4545454545454545,0.5303410330007613,,23
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge1,net,5d,33,-0.0111958277806649,,0.4848484848484848,0.7685068475230946,,23
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge2,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge2,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge2,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge3,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge3,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge3,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,all,net,60m,36867,-0.0018372146639029,,0.3607833563891827,0.7288014096424705,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,40,all,net,1d,36799,0.0015045386241841,,0.4746324628386641,1.1250916349332625,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,40,all,net,5d,36769,0.0041642854900296,,0.5021893442845876,1.1818618383416073,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge1,net,60m,86,-0.0064190961517032,,0.3488372093023256,0.5237431245062432,,30
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge1,net,1d,86,0.0004401432304428,,0.5232558139534884,1.0208824759680215,,30
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge1,net,5d,84,0.0135244719339015,,0.5714285714285714,1.471473304593445,,30
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge2,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge2,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge2,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge3,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge3,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge3,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,all,net,60m,30424,-0.0017605763340425,,0.3597817512490139,0.7424133760396409,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,60,all,net,1d,30374,0.001629537600934,,0.4769868966879568,1.136942334369735,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,60,all,net,5d,30339,0.0047708416400207,,0.5057187118889878,1.2126088528918295,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge1,net,60m,135,-0.0078045808614111,,0.3037037037037037,0.3933233706475693,,42
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge1,net,1d,135,-0.0036396868450908,,0.4740740740740741,0.8301172768741227,,42
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge1,net,5d,135,0.0067788462926363,,0.5037037037037037,1.1828001545054945,,42
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge2,net,60m,3,0.0111743429256124,,0.6666666666666666,4.48515912978554,,3
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge2,net,1d,3,0.0066903016638378,,0.6666666666666666,1.9755850114731344,,3
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge2,net,5d,3,-0.0184417177291566,,0.3333333333333333,0.6881808590911197,,3
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge3,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge3,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge3,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,all,net,60m,21671,-0.0018079696016376,,0.3632504268377093,0.7428235964860829,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,120,all,net,1d,21632,0.0015485208407124,,0.4777181952662722,1.1280771133429537,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,120,all,net,5d,21612,0.0045817036859258,,0.5065704238386082,1.202001948194164,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge1,net,60m,183,-0.0062788086646882,,0.3770491803278688,0.5666062003698539,,59
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge1,net,1d,182,-0.0109832643558675,,0.3571428571428571,0.55192538544135,,59
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge1,net,5d,181,-0.0065316932328329,,0.4640883977900552,0.8198879187951169,,58
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge2,net,60m,9,-0.0084496167515013,,0.4444444444444444,0.6511076078528019,,4
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge2,net,1d,9,-0.0044551491005369,,0.4444444444444444,0.8574851374470248,,4
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge2,net,5d,9,-0.0687822569271419,,0.1111111111111111,0.2050070613123941,,4
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge3,net,60m,2,0.0182461456329521,,1.0,,,1
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge3,net,1d,2,0.0604709898946762,,1.0,,,1
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge3,net,5d,2,-0.1111879832897137,,0.0,,,1
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,all,net,60m,15912,-0.0018926895056072,,0.3599170437405731,0.7303040413577103,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,240,all,net,1d,15883,0.0021751356274274,,0.4772398161556381,1.1860557094224038,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,240,all,net,5d,15867,0.0055934069160717,,0.4987080103359173,1.26140117239794,,199
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge1,net,60m,226,-0.0054443787965862,,0.3539823008849557,0.5740835016080352,,76
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge1,net,1d,224,-0.0058855089186914,,0.4017857142857143,0.7567517957265641,,75
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge1,net,5d,224,-0.0163843524099686,,0.3660714285714285,0.6199650510656193,,75
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge2,net,60m,11,-0.015531954352393,,0.2727272727272727,0.3273261271436318,,10
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge2,net,1d,10,0.0030352620474536,,0.5,1.0747415968334135,,9
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge2,net,5d,11,-0.0080442756728098,,0.3636363636363636,0.8153214557012595,,10
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge3,net,60m,1,-0.0577955796921011,,0.0,,,1
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge3,net,1d,1,-0.1262697381447098,,0.0,,,1
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge3,net,5d,1,-0.1536594015257535,,0.0,,,1
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,ht_r3_core_pullback,10,all,net,60m,116048,-0.0029330477184513,,0.3240727974631187,0.5580167822785577,,331
primary_development_2022_2023_partial,ht_r3_core_pullback,10,all,net,1d,115841,-0.0023475430543644,,0.4274479674726565,0.8288551192212479,,331
primary_development_2022_2023_partial,ht_r3_core_pullback,10,all,net,5d,115795,-0.0027741295078804,,0.4470659354894425,0.894825829285751,,331
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge1,net,60m,200,-0.0273791971686642,,0.25,0.2459357376966424,,116
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge1,net,1d,198,-0.0351524099709815,,0.3131313131313131,0.3822696947300728,,114
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge1,net,5d,200,-0.0742264613940965,,0.235,0.3020787949929595,,116
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge2,net,60m,100,-0.0332387733538527,,0.23,0.2087439623061694,,72
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge2,net,1d,99,-0.0468547645617399,,0.2828282828282828,0.3419940934083632,,71
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge2,net,5d,100,-0.1022053200015888,,0.21,0.2248186294263309,,72
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge3,net,60m,57,-0.0327463692272861,,0.2456140350877192,0.2492288185984681,,42
