sample_group,strategy_id,ma_period,threshold,metric,horizon,control_id,target_count,control_count,target_mean,control_mean,mean_difference
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,1d,s0_random_matched,9,14771,0.014732880606029484,-0.008296960417446446,0.023029841023475932
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,5d,s0_liquidity_matched,9,27036,-0.0009668896087675503,-0.026471999112250552,0.025505109503483003
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,5d,s0_random_matched,9,14656,-0.0009668896087675503,-0.02874624878707267,0.02777935917830512
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,60m,s0_liquidity_matched,0,11098,,-0.003483393969879947,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,60m,s0_random_matched,0,6140,,-0.003562038728331336,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,1d,s0_liquidity_matched,0,11057,,-0.003939578016844888,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,1d,s0_random_matched,0,6113,,-0.00451989720246234,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,5d,s0_liquidity_matched,0,10885,,-0.027963710322287737,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,5d,s0_random_matched,0,5990,,-0.03202762887996094,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,60m,s0_liquidity_matched,0,5628,,-0.0016241545798574577,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,60m,s0_random_matched,0,3050,,-0.002549503316413851,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,1d,s0_liquidity_matched,0,5601,,0.0015125908174996553,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,1d,s0_random_matched,0,3035,,-0.0005784612880989806,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,5d,s0_liquidity_matched,0,5455,,-0.03362187686055118,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,5d,s0_random_matched,0,2928,,-0.02944747933314395,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,60m,s0_liquidity_matched,0,2999,,-0.002604707504316361,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,60m,s0_random_matched,0,1590,,-0.0012840323178794856,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,1d,s0_liquidity_matched,0,2972,,0.010871461272007554,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,1d,s0_random_matched,0,1575,,0.005629524439404134,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,5d,s0_liquidity_matched,0,2833,,-0.012776807875741264,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,5d,s0_random_matched,0,1487,,-0.02722789152701811,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,60m,s0_liquidity_matched,50888,5116113,-0.002371724688158034,-0.0026819602336936197,0.00031023554553558574
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,60m,s0_random_matched,50888,3892051,-0.002371724688158034,-0.0029878701781645635,0.0006161454900065295
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,1d,s0_liquidity_matched,50813,5108671,-0.0010470885696661012,-0.0025342034809684843,0.001487114911302383
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,1d,s0_random_matched,50813,3886594,-0.0010470885696661012,-0.00279117563300402,0.001744087063337919
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,5d,s0_liquidity_matched,50776,5106040,-0.00178491210661292,-0.00281261609555398,0.0010277039889410602
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,5d,s0_random_matched,50776,3884452,-0.00178491210661292,-0.0024195937192384013,0.0006346816126254814
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,60m,s0_liquidity_matched,418,83405,-0.005737546400217256,-0.003567738448836385,-0.0021698079513808705
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,60m,s0_random_matched,418,63669,-0.005737546400217256,-0.0037729558454001324,-0.0019645905548171232
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,1d,s0_liquidity_matched,414,83128,-0.00763953254488362,-0.005435420589895737,-0.002204111954987883
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,1d,s0_random_matched,414,63477,-0.00763953254488362,-0.004982819050495093,-0.0026567134943885273
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,5d,s0_liquidity_matched,413,82862,-0.0034052466522647784,-0.01580636604780827,0.012401119395543492
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,5d,s0_random_matched,413,63361,-0.0034052466522647784,-0.016072418137677718,0.01266717148541294
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,60m,s0_liquidity_matched,15,19482,0.0025935344559983847,-0.004280707337562961,0.006874241793561346
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,60m,s0_random_matched,15,14701,0.0025935344559983847,-0.0039735249637639376,0.006567059419762322
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,1d,s0_liquidity_matched,15,19346,0.011072021887606254,-0.008624799949634379,0.019696821837240634
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,1d,s0_random_matched,15,14635,0.011072021887606254,-0.008010952220393329,0.019082974107999584
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,5d,s0_liquidity_matched,15,19168,-0.038738486657761466,-0.028045978753610184,-0.010692507904151282
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,5d,s0_random_matched,15,14524,-0.038738486657761466,-0.02814498371099254,-0.010593502946768925
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,60m,s0_liquidity_matched,2,8216,0.018246145632952127,-0.0044368128555898655,0.02268295848854199
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,60m,s0_random_matched,2,6068,0.018246145632952127,-0.0031502625080211794,0.021396408140973305
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,1d,s0_liquidity_matched,2,8156,0.06047098989467625,-0.0048183594789697505,0.065289349373646
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,1d,s0_random_matched,2,6041,0.06047098989467625,-0.00402690031649936,0.06449789021117561
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,5d,s0_liquidity_matched,2,7979,-0.11118798328971374,-0.029460137611590376,-0.08172784567812337
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,5d,s0_random_matched,2,5921,-0.11118798328971374,-0.031130063927879387,-0.08005791936183436
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,60m,s0_liquidity_matched,0,4029,,-0.00549147339249169,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,60m,s0_random_matched,0,3006,,-0.002738379486904595,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,1d,s0_liquidity_matched,0,3987,,-0.0027814557879714957,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,1d,s0_random_matched,0,2991,,-0.0002075173794766186,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,5d,s0_liquidity_matched,0,3816,,-0.026828162494003313,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,5d,s0_random_matched,0,2887,,-0.028982980422030766,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,60m,s0_liquidity_matched,0,2095,,-0.0038826997503310246,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,60m,s0_random_matched,0,1560,,-0.0016356994704563503,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,1d,s0_liquidity_matched,0,2053,,0.0061491997694319706,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,1d,s0_random_matched,0,1545,,0.005666382346688214,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,5d,s0_liquidity_matched,0,1892,,-0.015754591810273784,
