top_k,policy_name,policy_kind,fixed_day,mean_selected_return,median_selected_return,mean_resolved_day,mean_absolute_unit_time_efficiency,mean_relative_unit_time_alpha,median_absolute_unit_time_efficiency,positive_absolute_day_rate,positive_relative_alpha_day_rate,signal_date_count,absolute_rank_all,relative_alpha_rank_all,absolute_rank_within_top_k,relative_alpha_rank_within_top_k
2,fixed_d13,fixed,13.0,0.04009465487492748,0.0313057492899219,13.055708390646492,0.6369773415250336,0.5850457415593184,0.5975446703856458,0.6519944979367263,0.6024759284731774,727,30,41,9,13
2,fixed_d14,fixed,14.0,0.04309941179948463,0.0330662709747403,14.04951856946355,0.6361761020516795,0.579680213458036,0.5855641555661119,0.6492434662998624,0.6203576341127923,727,31,46,10,14
2,fixed_d5,fixed,5.0,0.015004051563730275,0.0090824261062171,5.013067400275103,0.6305943873146339,0.6901627653875532,0.45568801772807516,0.5667125171939478,0.5694635488308115,727,32,14,11,2
2,fixed_d15,fixed,15.0,0.045821058296551635,0.0383302352950476,15.043328748280604,0.6291671397557406,0.5688151638337123,0.6319131823599,0.657496561210454,0.624484181568088,727,33,49,12,16
3,fixed_d10,fixed,10.0,0.029263312202221243,0.0268981464552661,10.03622191655204,0.6219103468784616,0.5900616103338997,0.6645952136712205,0.6506189821182944,0.6437414030261348,727,34,37,2,8
1,fixed_d22,fixed,22.0,0.07173982475481615,0.0454692915485381,22.19060773480663,0.6205822782955921,0.54773830954957,0.511969321708326,0.6217331499312242,0.6011004126547456,727,35,53,21,23
2,fixed_d16,fixed,16.0,0.04830554640890003,0.0398809976648604,16.038514442916092,0.6195717095201168,0.5557609896920033,0.6159239302222921,0.6547455295735901,0.6299862448418156,727,36,52,13,17
3,fixed_d11,fixed,11.0,0.03186954163867854,0.0290461592326226,11.03530490600642,0.6176296501831311,0.5778817081429937,0.6559402886372903,0.6616231086657497,0.6382393397524071,727,37,47,3,12
3,fixed_d9,fixed,9.0,0.02614509993933132,0.0238114758169168,9.033470884915175,0.6135850470839933,0.5908725583919529,0.6589073125669653,0.6258596973865199,0.6162310866574966,727,38,36,4,7
3,fixed_d7,fixed,7.0,0.02016385859255839,0.0150779062604774,7.027510316368638,0.6092404508545346,0.6146486811634732,0.5387531214481984,0.6038514442916093,0.6107290233837689,727,39,30,5,4
2,fixed_d17,fixed,17.0,0.05033774475652992,0.0388299775325217,17.04264099037139,0.6086236478080966,0.5423124143254909,0.5588475806862976,0.657496561210454,0.6451169188445667,727,40,56,14,18
3,fixed_d12,fixed,12.0,0.034133200019823375,0.0299530126986344,12.040348464007337,0.6072659513859804,0.560991144868699,0.6197768316975516,0.6671251719394773,0.640990371389271,727,41,51,6,13
3,fixed_d14,fixed,14.0,0.03949891853265095,0.0351389878675509,14.040348464007337,0.6026388589858117,0.5460871627456204,0.6100892411471189,0.6753782668500687,0.6657496561210454,727,42,54,7,14
1,fixed_d23,fixed,23.0,0.07316842802653262,0.0415355195456177,23.179558011049725,0.6022910975305585,0.5285395635775559,0.46311239446911784,0.6176066024759285,0.5928473177441541,727,43,58,22,24
3,fixed_d13,fixed,13.0,0.03634866995004103,0.031712103478032,13.044475011462632,0.596766900845842,0.5447748739386483,0.6051810752163097,0.6740027510316369,0.657496561210454,727,44,55,8,15
3,fixed_d8,fixed,8.0,0.022608872061287155,0.0186087717902184,8.031636863823934,0.5940219106588748,0.5830661340965547,0.5807890319326781,0.6121045392022009,0.6134800550206327,727,45,43,9,11
3,fixed_d15,fixed,15.0,0.041701008817317996,0.0369752594917953,15.033929390187986,0.5933884497316306,0.5329856158861404,0.609975596027279,0.686382393397524,0.656121045392022,727,46,57,10,16
3,fixed_d6,fixed,6.0,0.01669912746701892,0.0125441490496465,6.023383768913343,0.5901769047229185,0.6174150553371592,0.5235771679984128,0.6024759284731774,0.5969738651994498,727,47,29,11,3
2,fixed_d18,fixed,18.0,0.051711445436072256,0.0409891936398023,18.036451169188446,0.5896168174605128,0.5212335678827047,0.5623997236127484,0.6616231086657497,0.6396148555708391,727,48,60,15,19
3,fixed_d16,fixed,16.0,0.04407591284050542,0.0404128513505552,16.033012379642365,0.5855982073767884,0.5217400691333383,0.6239773076200743,0.6822558459422283,0.6657496561210454,727,49,59,12,17
3,fixed_d17,fixed,17.0,0.04672496513031476,0.0369385862112789,17.03576341127923,0.5852346626379309,0.5188774544020062,0.5338317230717485,0.6740027510316369,0.6822558459422283,727,50,61,13,18
2,fixed_d19,fixed,19.0,0.053691595956298334,0.0428560791850851,19.027510316368637,0.5802713195076934,0.5095956418677272,0.5565642706857444,0.6437414030261348,0.6368638239339752,727,51,62,16,20
2,fixed_d20,fixed,20.0,0.05634278839098717,0.0456441725284998,20.044704264099035,0.5776107615655872,0.5054091018841491,0.5623774196241204,0.6547455295735901,0.640990371389271,727,52,63,17,21
1,fixed_d24,fixed,24.0,0.07359847765360758,0.042542379963278,24.19060773480663,0.577283469400157,0.5024441017968921,0.43991789656646685,0.6121045392022009,0.5914718019257221,727,53,64,23,25
3,fixed_d18,fixed,18.0,0.048336911075830664,0.0393861918234505,18.03484640073361,0.5701936757263658,0.501766167698074,0.5408247424557916,0.6685006877579092,0.6629986244841816,727,54,65,14,19
2,fixed_d4,fixed,4.0,0.010644496920410326,0.0063714202571004,4.015130674002751,0.5659474701755017,0.670417555178203,0.40012613960012594,0.5584594222833562,0.562585969738652,727,55,18,18,5
2,fixed_d21,fixed,21.0,0.05810994150796178,0.0477920988673185,21.07496561210454,0.5656729162868332,0.4926511463278153,0.5602222473089605,0.6533700137551581,0.6299862448418156,727,56,66,19,22
3,fixed_d19,fixed,19.0,0.05011185211676175,0.0397066569551248,19.030719853278313,0.559709646672923,0.488991868082975,0.5163213205769113,0.6808803301237965,0.6643741403026134,727,57,67,15,20
3,fixed_d5,fixed,5.0,0.013014313668771127,0.009230700385513,5.015359926639156,0.5536221979159057,0.6130472533287333,0.4630932350770275,0.6011004126547456,0.5969738651994498,727,58,31,16,5
1,fixed_d25,fixed,25.0,0.07337626479109297,0.0430563243945143,25.18646408839779,0.5479861406790145,0.47254730105388,0.43009412604786523,0.6107290233837689,0.5832187070151307,727,59,69,24,26
3,fixed_d20,fixed,20.0,0.051906446179701166,0.04041068721581,20.040806969280148,0.5479219298846723,0.47568009509850856,0.49915563714822314,0.6781292984869326,0.657496561210454,727,60,68,17,21
2,fixed_d22,fixed,22.0,0.05905804119501967,0.0508279883974893,22.102475928473176,0.5459757247820081,0.4717479698706425,0.5678981944089967,0.656121045392022,0.6382393397524071,727,61,70,20,23
1,fixed_d26,fixed,26.0,0.07564409870566277,0.0413568188716837,26.180939226519335,0.5387966160857863,0.46204336539027374,0.39989489137635975,0.5997248968363136,0.5735900962861072,727,62,72,25,27
3,fixed_d21,fixed,21.0,0.05362339403182786,0.0424068847036808,21.05914718019257,0.5369038221683914,0.4638430145914921,0.49838821767043695,0.6740027510316369,0.6657496561210454,727,63,71,18,22
1,fixed_d35,fixed,35.0,0.10187389025628835,0.046489258963108,35.16436464088398,0.5366810762038461,0.4519218253009181,0.3343182001439304,0.594222833562586,0.5777166437414031,727,64,74,26,28
2,fixed_d23,fixed,23.0,0.060651665607786814,0.0459086368686051,23.10041265474553,0.5358045186264973,0.46059464985984583,0.49179461641997024,0.6616231086657497,0.6327372764786795,727,65,73,21,24
1,fixed_d36,fixed,36.0,0.1042830645180113,0.0479803578912401,36.1671270718232,0.5316391389805645,0.4464519215143281,0.32911900851504317,0.5955983493810179,0.5804676753782668,727,66,77,27,29
2,fixed_d24,fixed,24.0,0.06233824970531065,0.0478831012242719,24.101100412654745,0.5276275900733484,0.4515215077308205,0.4911063679615465,0.6629986244841816,0.6313617606602476,727,67,75,22,25
3,fixed_d22,fixed,22.0,0.05525374268593307,0.0437985491378834,22.073819348922513,0.5254880259122483,0.45122250527861407,0.4910163900820557,0.6629986244841816,0.6547455295735901,727,68,76,19,23
1,fixed_d34,fixed,34.0,0.09708965653717021,0.037683647594374,34.158839779005525,0.5244998951122795,0.4405045897945384,0.2818347667162661,0.5955983493810179,0.5694635488308115,727,69,81,28,30
1,fixed_d37,fixed,37.0,0.10574290842415023,0.0496842596406157,37.16436464088398,0.5205757445262644,0.4355212379188909,0.3394905345220469,0.5997248968363136,0.5749656121045392,727,70,83,29,32
3,fixed_d23,fixed,23.0,0.05728052101523558,0.0479172315356473,23.076111875286564,0.5203773647800254,0.44513094318558544,0.512815674777608,0.6740027510316369,0.6464924346629987,727,71,78,20,24
1,fixed_d33,fixed,33.0,0.09345278056794515,0.0405973025102317,33.16988950276243,0.5188977096893549,0.435874496306281,0.3063504940641356,0.5928473177441541,0.562585969738652,727,72,82,30,31
2,fixed_d25,fixed,25.0,0.06388980974436544,0.0490176812213641,25.103163686382395,0.5177893100292748,0.4410346919423502,0.4715833422553105,0.6685006877579092,0.6231086657496562,727,73,80,23,26
3,fixed_d24,fixed,24.0,0.059563858808396694,0.0488732910483082,24.072902338376892,0.5174154466923164,0.4412734033219844,0.5010235848243216,0.6781292984869326,0.6629986244841816,727,74,79,21,25
1,fixed_d38,fixed,38.0,0.10734647713768539,0.0520167057745299,38.1560773480663,0.5152112682037652,0.4297683051533503,0.3549863175118996,0.5928473177441541,0.5749656121045392,727,75,90,31,37
1,fixed_d31,fixed,31.0,0.08800652277071302,0.0412416190176234,31.180939226519335,0.5147684328133163,0.43333807555761045,0.33577079613997557,0.5804676753782668,0.5694635488308115,727,76,86,32,34
1,fixed_d32,fixed,32.0,0.09046391978685449,0.0359761172482893,32.16988950276243,0.5138672768892183,0.43182859849492394,0.28599114192572045,0.5804676753782668,0.5612104539202201,727,77,87,33,35
1,fixed_d27,fixed,27.0,0.07557837402290517,0.0356797555447869,27.179558011049725,0.5123718307363103,0.4345633478937702,0.3449559856561667,0.5873452544704264,0.5653370013755158,727,78,84,34,33
1,fixed_d30,fixed,30.0,0.08421906432436724,0.0338053809510314,30.171270718232044,0.5116481815956908,0.4310675526292241,0.28727924248680825,0.5722145804676754,0.5557083906464925,727,79,88,35,36
3,fixed_d25,fixed,25.0,0.061541972859076935,0.0453719194355108,25.091242549289316,0.510136747301375,0.433347367849269,0.44727707671003897,0.672627235213205,0.6368638239339752,727,80,85,22,26
3,fixed_d26,fixed,26.0,0.0640051204171085,0.0464869071777172,26.08826226501605,0.5087390046816668,0.43103476418225173,0.44040636328569244,0.6753782668500687,0.6423658872077029,727,81,89,23,27
2,fixed_d26,fixed,26.0,0.0654836377753417,0.0468205284378263,26.10178817056396,0.5065246946973088,0.4288545073298304,0.44349578997766803,0.656121045392022,0.6176066024759285,727,82,91,24,27
2,fixed_d3,fixed,3.0,0.007006562904839064,0.004015357016888,3.0123796423658873,0.5049264649646925,0.6864853389368512,0.3366146268333382,0.5378266850068776,0.5529573590096286,727,83,15,25,3
1,fixed_d39,fixed,39.0,0.10743304756001855,0.0524594287045852,39.15055248618785,0.502179641609903,0.41660277532042694,0.3328741176353967,0.5983493810178817,0.5900962861072903,727,84,95,36,40
1,fixed_d28,fixed,28.0,0.07682275395104499,0.0354257321120121,28.175414364640883,0.4989311715937921,0.4200710641371146,0.3265893324592273,0.5804676753782668,0.5639614855570839,727,85,93,37,38
3,fixed_d27,fixed,27.0,0.0652549430150316,0.0506587612152504,27.08711600183402,0.4987320053985517,0.42022741517693873,0.4612286847014203,0.6753782668500687,0.6478679504814305,727,86,92,24,28
1,fixed_d29,fixed,29.0,0.0793308394706354,0.0331920265900864,29.168508287292816,0.4984041605627659,0.41833063910973767,0.2898217276553253,0.5749656121045392,0.5584594222833562,727,87,94,38,39
3,fixed_d4,fixed,4.0,0.009178317754000968,0.0062074676470042,4.014901421366346,0.4962864793881962,0.600582970427198,0.38986168286654044,0.5900962861072903,0.579092159559835,727,88,34,25,6
1,fixed_d41,fixed,41.0,0.11015239844704289,0.05354864142815,41.120165745856355,0.4940014675568118,0.40797195016939825,0.323533495598513,0.6189821182943603,0.5969738651994498,727,89,99,39,41
1,fixed_d40,fixed,40.0,0.10737945516944387,0.0509142433398801,40.129834254143645,0.49282129892352694,0.4073617894592888,0.31691668536053413,0.6162310866574966,0.5887207702888583,727,90,100,40,42
3,model_plan,model_plan,,0.045176242024643674,0.031897006514813,17.7457588262265,0.4918898823926071,0.5839860234777723,0.4863381336104055,0.656121045392022,0.6671251719394773,727,91,42,26,10
3,fixed_d28,fixed,28.0,0.06686164829579481,0.0471273323570606,28.087345254470428,0.4915268369653752,0.4118931241531538,0.41445486792543534,0.6781292984869326,0.6299862448418156,727,92,97,27,29
2,fixed_d27,fixed,27.0,0.06627080180771867,0.0465059315855151,27.097661623108667,0.4913126910080952,0.41284110129860074,0.42426468849636134,0.6437414030261348,0.6107290233837689,727,93,96,26,28
1,fixed_d42,fixed,42.0,0.11247664775766567,0.0579508197625395,42.10635359116022,0.4901371738730539,0.4037459765437131,0.33668272131182514,0.6258596973865199,0.6052269601100413,727,94,103,41,43
3,fixed_d30,fixed,30.0,0.07144895936613058,0.0500738176013665,30.08711600183402,0.4894479518313754,0.40811518238039546,0.41042789907689253,0.6781292984869326,0.6258596973865199,727,95,98,28,30
1,model_plan,model_plan,,0.053099785129252265,0.0304308871299698,18.806629834254142,0.489258990912289,0.5868583918993949,0.4505470844390654,0.6162310866574966,0.6258596973865199,727,96,40,42,19
3,fixed_d31,fixed,31.0,0.07395697188332993,0.0478309796619835,31.085281980742778,0.48905259760478526,0.4072135786994024,0.37980703463759186,0.6781292984869326,0.6203576341127923,727,97,101,29,31
3,fixed_d32,fixed,32.0,0.07612447942495956,0.0496973996892143,32.079779917469054,0.4861379875551123,0.40370023642225805,0.38195271341572573,0.6643741403026134,0.6299862448418156,727,98,104,30,32
2,fixed_d28,fixed,28.0,0.06798169625056721,0.0473049197061725,28.09353507565337,0.4845607124346644,0.4049588376160075,0.41598109169730746,0.6423658872077029,0.6024759284731774,727,99,102,27,29
1,fixed_d43,fixed,43.0,0.1145301119999528,0.0598344412770652,43.100828729281766,0.48368974610093207,0.39709920161255735,0.3429499360536863,0.6354883081155434,0.6052269601100413,727,100,109,43,44
2,fixed_d31,fixed,31.0,0.07552369844318789,0.0490214802791201,31.097661623108667,0.48324075084905505,0.40143005271725635,0.3890376497091655,0.656121045392022,0.6258596973865199,727,101,105,28,30
3,fixed_d29,fixed,29.0,0.06799070170442305,0.0474314247102698,29.089408528198074,0.4820117796911397,0.4013526299443601,0.4026864848345239,0.672627235213205,0.6231086657496562,727,102,106,31,33
2,fixed_d30,fixed,30.0,0.07274844195275894,0.0464579282300674,30.099724896836314,0.4819249153848181,0.4006214887428723,0.381452901779013,0.6492434662998624,0.6162310866574966,727,103,107,29,31
3,fixed_d35,fixed,35.0,0.08254286634664348,0.0503808004532083,35.07381934892251,0.481337687321916,0.39665307554576085,0.351459391038808,0.6629986244841816,0.6203576341127923,727,104,110,32,35
3,fixed_d33,fixed,33.0,0.07759142150587861,0.0501991315211957,33.077028885832185,0.4806372531776249,0.39751161059952456,0.3740275274104193,0.6795048143053645,0.6231086657496562,727,105,108,33,34
2,model_plan,model_plan,,0.04687529606124234,0.0337123081583576,18.165061898211828,0.48034203933490666,0.5726045906297167,0.5140406286489734,0.6368638239339752,0.6396148555708391,727,106,48,30,15
1,fixed_d44,fixed,44.0,0.11635174115013004,0.0598344412770652,44.10635359116022,0.4776750694321762,0.3905933575256735,0.33507025935783474,0.640990371389271,0.5997248968363136,727,107,116,44,45
3,fixed_d36,fixed,36.0,0.08418431648322,0.0514262982106836,36.074048601558914,0.47733078509946775,0.39233259897431366,0.3510333515867635,0.6698762035763411,0.6354883081155434,727,108,114,34,37
3,fixed_d34,fixed,34.0,0.0796201675233746,0.0468546487186291,34.07634112792297,0.47721815128418366,0.3931649761510633,0.3393854160210815,0.6629986244841816,0.6011004126547456,727,109,113,35,36
1,fixed_d45,fixed,45.0,0.11927379380414575,0.0589957952155171,45.113259668508285,0.47674835353638045,0.38931417258837925,0.3211282166383401,0.6451169188445667,0.5914718019257221,727,110,118,45,46
2,fixed_d32,fixed,32.0,0.07707623361054027,0.0536523228730646,32.09215955983494,0.47574897020828427,0.3933385152569722,0.4053123764505159,0.6492434662998624,0.6272352132049519,727,111,112,31,33
2,fixed_d35,fixed,35.0,0.08429259140264544,0.051399358691722,35.08734525447043,0.4755167049233573,0.39085563255537215,0.3608783960148819,0.6341127922971114,0.6107290233837689,727,112,115,32,34
2,fixed_d29,fixed,29.0,0.06928942260924932,0.0444829778756563,29.095598349381017,0.4753004126083215,0.3946719678518505,0.3781912156006613,0.6533700137551581,0.6011004126547456,727,113,111,33,32
2,fixed_d33,fixed,33.0,0.07908581593115765,0.0509323959768635,33.09078404401651,0.4736122371774792,0.39051315337311937,0.3793574881283842,0.6506189821182944,0.6176066024759285,727,114,117,34,35
1,fixed_d46,fixed,46.0,0.1218905529660514,0.0639442557875626,46.103591160220994,0.47344942407413254,0.3855093849231457,0.3428981527614964,0.6437414030261348,0.5983493810178817,727,115,121,46,47
3,fixed_d37,fixed,37.0,0.0856912721191673,0.0486454815084379,37.075653370013754,0.47146454372224844,0.38640263475621084,0.3235088397268384,0.6836313617606602,0.6286107290233838,727,116,119,36,38
2,fixed_d34,fixed,34.0,0.0809898506537966,0.0457351851121273,34.08872077028886,0.47003119421559836,0.38600308683715817,0.33145533674269645,0.6354883081155434,0.6121045392022009,727,117,120,35,36
3,fixed_d38,fixed,38.0,0.08774319535389606,0.0531925741593351,38.073590096286104,0.4699783704660541,0.3847015235230941,0.3436888595850049,0.6891334250343879,0.6423658872077029,727,118,122,37,39
2,fixed_d36,fixed,36.0,0.08561062758370515,0.0545190176238842,36.08940852819807,0.4696711092884761,0.3846963960803015,0.37159328853577567,0.6437414030261348,0.6258596973865199,727,119,123,36,37
1,fixed_d47,fixed,47.0,0.1227943303197855,0.0668458555659567,47.103591160220994,0.4646571950817476,0.37656816385072267,0.3528097306866877,0.6396148555708391,0.5928473177441541,727,120,125,47,48
3,fixed_d39,fixed,39.0,0.08886835517710048,0.055914396029993,39.076111875286564,0.4628920603852917,0.3773510102326526,0.3505821645747971,0.6685006877579092,0.6354883081155434,727,121,124,38,40
2,fixed_d37,fixed,37.0,0.08665622577511524,0.053080317100455,37.08940852819807,0.46116382506008063,0.3761257495120963,0.3522517623700154,0.6547455295735901,0.6231086657496562,727,122,126,37,38
3,fixed_d40,fixed,40.0,0.08975960333171304,0.0600837308173309,40.06946354883081,0.45687983691866635,0.3712022699873095,0.3675917469510028,0.6740027510316369,0.6464924346629987,727,123,127,39,41
3,fixed_d43,fixed,43.0,0.09662196556550533,0.0598028375943096,43.060522696011006,0.45642529327567166,0.36945709465924204,0.3403927422227917,0.6932599724896836,0.6533700137551581,727,124,129,40,42
2,fixed_d38,fixed,38.0,0.08794933148444707,0.0508249243028389,38.08940852819807,0.4560263189697569,0.3707724061302463,0.32876382822756,0.6643741403026134,0.6313617606602476,727,125,128,38,39
