pattern,is_st_label,event_year,event_count,unique_symbol_count,unique_event_date_count,d1_observed_count,d1_missing_count,d1_close_mean,d1_close_median,d1_close_positive_probability,d1_close_ge_1pct_probability,d1_close_ge_3pct_probability,d1_high_mean,d1_high_positive_probability,d1_open_mean,d1_open_positive_probability,d2_observed_count,d2_missing_count,d2_close_mean,d2_close_median,d2_close_positive_probability,d2_close_ge_1pct_probability,d2_close_ge_3pct_probability,d2_high_mean,d2_high_positive_probability,d2_open_mean,d2_open_positive_probability,d3_observed_count,d3_missing_count,d3_close_mean,d3_close_median,d3_close_positive_probability,d3_close_ge_1pct_probability,d3_close_ge_3pct_probability,d3_high_mean,d3_high_positive_probability,d3_open_mean,d3_open_positive_probability,d5_observed_count,d5_missing_count,d5_close_mean,d5_close_median,d5_close_positive_probability,d5_close_ge_1pct_probability,d5_close_ge_3pct_probability,d5_high_mean,d5_high_positive_probability,d5_open_mean,d5_open_positive_probability,success_to_3board_observed_count,success_to_3board_count,success_to_3board_rate,industry_joined_count,industry_join_rate
B,ST,2021,15,15,15,14,1,-0.007750088617460349,-0.006420794577835509,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.020371675297491818,0.7142857142857143,-0.003986732511085651,0.2857142857142857,15,0,-0.013893267006800557,-0.010779436152570598,0.4,0.3333333333333333,0.26666666666666666,0.019162266092307898,0.7333333333333333,-0.01204002118717821,0.4,15,0,-0.023720875274530897,-0.03095975232198145,0.3333333333333333,0.26666666666666666,0.2,0.006939590032852383,0.4666666666666667,-0.015249370655274711,0.3333333333333333,14,1,-0.012679656143988487,-0.006757075582986605,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.00030882787506248636,0.5,-0.021645768011893576,0.42857142857142855,0,0,,15,1.0
B,ST,2022,11,11,11,11,0,0.0048146275511309344,0.016574585635359185,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.03318274753441866,0.9090909090909091,-0.0020943845051104378,0.2727272727272727,11,0,0.007914951233790057,0.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.026351330864155198,0.7272727272727273,0.0035658229746994992,0.36363636363636365,11,0,0.0016076136634098903,0.0060975609756097615,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.031221682308908285,0.7272727272727273,-0.000237173748343402,0.5454545454545454,11,0,0.0005957377907087815,0.012618296529968376,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.03140498229493432,0.6363636363636364,-0.0018035925751888262,0.6363636363636364,0,0,,11,1.0
B,ST,2023,5,5,5,5,0,0.008154836809519894,0.0076045627376426506,0.6,0.4,0.4,0.026495092888359696,0.8,0.000767658184234632,0.4,5,0,-0.0030602233640457666,-0.010101010101010055,0.2,0.2,0.2,0.023971771453885293,0.6,0.002533541087618385,0.6,5,0,-0.015966677259559314,-0.017110266159695797,0.2,0.2,0.2,0.010328343133536389,0.4,-0.00895689998822995,0.4,5,0,-0.029981473928513712,-0.04562737642585557,0.2,0.2,0.2,-0.014748647124590165,0.2,-0.03518473933688622,0.2,0,0,,5,1.0
B,ST,2024,12,12,11,12,0,-0.011272360856750152,-0.02030927835051549,0.25,0.25,0.25,0.025039194535087888,0.75,0.00447652156090389,0.3333333333333333,11,1,-0.001604861181725365,-0.0018529956763434496,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.019703944750905502,0.45454545454545453,-0.007186962579273335,0.2727272727272727,11,1,-0.006542651910602579,-0.05072463768115931,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.027036482840759494,0.5454545454545454,0.005612249967482572,0.45454545454545453,10,2,-0.017060503916408988,-0.035620375389192216,0.4,0.4,0.4,0.00953323252323578,0.5,-0.012870997257327276,0.5,0,0,,12,1.0
B,ST,2025,12,12,10,12,0,-0.008242504062811462,-0.017592567948223115,0.4166666666666667,0.3333333333333333,0.25,0.027406225794049176,0.9166666666666666,0.005736962783005765,0.5833333333333334,12,0,-0.01412259806801644,-0.014284044109882432,0.25,0.16666666666666666,0.16666666666666666,0.012308057271584618,0.5,-0.01247680046281266,0.4166666666666667,12,0,-0.01455205460293845,-0.021567978184651393,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.01338132590641015,0.5,-0.01746177068790018,0.25,12,0,0.015471654036169366,-0.02553522587946805,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.03239235736148511,0.5833333333333334,-0.0048392818714276436,0.4166666666666667,0,0,,12,1.0
B,ordinary,2020,74,74,55,74,0,-0.013387162052879513,-0.024783320493066308,0.3918918918918919,0.35135135135135137,0.2972972972972973,0.03443249291275965,0.6351351351351351,-0.010410176404454236,0.32432432432432434,74,0,-0.020288308888024846,-0.04012559045214431,0.33783783783783783,0.3108108108108108,0.20270270270270271,0.01987865127875176,0.44594594594594594,-0.017778173553469744,0.35135135135135137,74,0,-0.020173438669042282,-0.05622982620410649,0.36486486486486486,0.36486486486486486,0.28378378378378377,0.013041507660607358,0.43243243243243246,-0.028175485683570804,0.3108108108108108,74,0,-0.02038306614575604,-0.05585762548262546,0.33783783783783783,0.32432432432432434,0.28378378378378377,0.012207462947611537,0.40540540540540543,-0.01917860240309268,0.32432432432432434,0,0,,74,1.0
B,ordinary,2021,57,57,49,57,0,-0.00256095959555753,-0.005235602094240788,0.40350877192982454,0.3684210526315789,0.3157894736842105,0.03786606415821132,0.7192982456140351,-0.009658278228683141,0.2982456140350877,57,0,-0.006748112004879893,-0.01045856798069178,0.38596491228070173,0.3508771929824561,0.2631578947368421,0.039131226303723815,0.5789473684210527,-0.007409465467491362,0.3684210526315789,57,0,-0.004352874548040932,-0.03584123222748814,0.3508771929824561,0.3333333333333333,0.3333333333333333,0.038391547258488666,0.5263157894736842,-0.011147160277989102,0.3508771929824561,57,0,-0.010215434040708073,-0.03255484784147211,0.38596491228070173,0.3684210526315789,0.3684210526315789,0.03384259884666997,0.49122807017543857,-0.010644770930699484,0.40350877192982454,0,0,,57,1.0
B,ordinary,2022,64,63,52,64,0,-0.01794948480219948,-0.03215467328370558,0.390625,0.359375,0.25,0.032305929635890955,0.671875,-0.02489728288352155,0.1875,64,0,-0.024298060022402597,-0.04767609474832479,0.328125,0.296875,0.265625,0.012974393267451246,0.46875,-0.030823775459365606,0.328125,64,0,-0.0316642884174738,-0.04061310782241012,0.359375,0.3125,0.25,0.008696901077611585,0.46875,-0.03184948087282037,0.34375,64,0,-0.03410891647511678,-0.05997759670822056,0.328125,0.3125,0.265625,-0.0004989074176532122,0.453125,-0.03668451477322748,0.296875,0,0,,63,0.984375
B,ordinary,2023,45,45,42,45,0,-0.021470618302592136,-0.03125,0.37777777777777777,0.35555555555555557,0.26666666666666666,0.02058956975815561,0.6,-0.024546572642342036,0.3111111111111111,45,0,-0.021228516913796455,-0.04078549848942603,0.35555555555555557,0.28888888888888886,0.26666666666666666,0.01506545123125421,0.4666666666666667,-0.030597139464140492,0.3111111111111111,45,0,-0.025762039348314458,-0.04600484261501214,0.35555555555555557,0.3111111111111111,0.24444444444444444,0.009832476554564932,0.4444444444444444,-0.033390782178614506,0.28888888888888886,45,0,-0.04058613701554511,-0.06752873563218387,0.28888888888888886,0.26666666666666666,0.24444444444444444,-0.006549234595854375,0.35555555555555557,-0.03829447037653421,0.28888888888888886,0,0,,45,1.0
B,ordinary,2024,87,84,60,87,0,-0.01685437132837957,-0.04850746268656725,0.3448275862068966,0.3218390804597701,0.28735632183908044,0.02850051414670305,0.5287356321839081,-0.01578675361238644,0.26436781609195403,87,0,-0.017195250869058216,-0.038374717832957095,0.3448275862068966,0.3103448275862069,0.28735632183908044,0.018402856784787827,0.47126436781609193,-0.01966828719239803,0.28735632183908044,87,0,-0.026157285380754906,-0.061493411420204924,0.3218390804597701,0.27586206896551724,0.27586206896551724,0.01928025335472478,0.40229885057471265,-0.020493956480037347,0.3103448275862069,87,0,-0.05726998585399572,-0.07843880257673363,0.26436781609195403,0.25287356321839083,0.20689655172413793,-0.020579347363582325,0.367816091954023,-0.0570733766006073,0.25287356321839083,0,0,,87,1.0
B,ordinary,2025,112,111,82,112,0,-0.011298588317084258,-0.03163272617469587,0.39285714285714285,0.36607142857142855,0.33035714285714285,0.0326716483101201,0.6071428571428571,-0.02482082091039659,0.125,112,0,-0.02548805016475265,-0.041330786503154804,0.30357142857142855,0.2857142857142857,0.25,0.01635804708334284,0.44642857142857145,-0.026599507349732533,0.33035714285714285,112,0,-0.030318416175466583,-0.04442073558643961,0.32142857142857145,0.29464285714285715,0.2857142857142857,0.008403101602532336,0.4375,-0.03673415343483282,0.29464285714285715,112,0,-0.04803618177643698,-0.06025652785421637,0.26785714285714285,0.25,0.21428571428571427,-0.020082776593543853,0.29464285714285715,-0.054133021071498456,0.23214285714285715,0,0,,112,1.0
