变更日期,证券代码,证券简称,变更前全称,变更后全称
2000-10-25,000685,中山公用,佛山市兴华集团股份有限公司,中山公用科技股份有限公司
2000-10-30,000900,现代投资,湖南长永高速公路股份有限公司,现代投资股份有限公司
2000-11-02,000520,凤凰航运,武汉凤凰股份有限公司,中国石化武汉凤凰股份有限公司
2000-11-07,000631,顺发恒能,长春兰宝实业股份有限公司,兰宝科技信息股份有限公司
2000-11-09,001896,豫能控股,河南豫能股份有限公司,河南豫能控股股份有限公司
2000-11-09,000957,中通客车,中通客车股份有限公司,中通客车控股股份有限公司
2000-11-22,000777,中核科技,中核苏州阀门股份有限公司,中核苏阀科技实业股份有限公司
2000-11-24,000727,冠捷科技,南京华东电子集团股份有限公司,南京华东电子信息科技股份有限公司
2000-11-24,000540,*ST中天,中天企业股份有限公司,世纪中天投资股份有限公司
2000-12-07,200581,苏威孚Ｂ,无锡威孚股份有限公司,无锡威孚高科技股份有限公司
2000-12-07,000581,威孚高科,无锡威孚股份有限公司,无锡威孚高科技股份有限公司
2000-12-22,000603,盛达资源,广东威达集团股份有限公司,威达医用科技股份有限公司
2000-12-25,000504,南华生物,北京港澳实业股份有限公司,北京赛迪传媒投资股份有限公司
2000-12-28,000892,欢瑞世纪,重庆三爱海陵股份有限公司,重庆长丰通信股份有限公司
2000-12-28,000996,中期退,哈尔滨捷利实业股份有限公司,捷利实业股份有限公司
2001-01-12,000766,通化金马,通化金马药业股份有限公司,通化金马药业集团股份有限公司
2001-02-13,000812,陕西金叶,陕西省金叶印务股份有限公司,陕西金叶科教集团股份有限公司
2001-02-16,000555,神州信息,贵州凯涤股份有限公司,深圳市太光电信股份有限公司
2001-03-02,000034,神州数码,深圳市华宝(集团)股份有限公司,深圳市深信泰丰(集团)股份有限公司
2001-03-19,000518,四环生物,江苏振新实业股份有限公司,江苏四环生物股份有限公司
2001-03-21,000065,北方国际,深圳西林实业股份有限公司,北方国际合作股份有限公司
2001-03-28,000702,正虹科技,湖南正虹饲料股份有限公司,湖南正虹科技发展股份有限公司
2001-04-18,000004,国华退,深圳市蛇口安达实业股份有限公司,深圳市北大高科技股份有限公司
2001-04-19,000012,南  玻Ａ,中国南玻集团股份有限公司,中国南玻科技控股(集团)股份有限公司
2001-04-19,200012,南  玻Ｂ,中国南玻集团股份有限公司,中国南玻科技控股(集团)股份有限公司
2001-04-20,000863,三湘印象,沈阳北方商用技术设备股份有限公司,沈阳和光现代商务股份有限公司
2001-05-11,000703,恒逸石化,北海国际招商股份有限公司,世纪光华科技股份有限公司
2001-06-08,000526,学大教育,厦门海发投资实业股份有限公司,厦门旭飞实业股份有限公司
2001-06-11,000719,中原传媒,焦作市碱业股份有限公司,焦作鑫安科技股份有限公司
2001-06-15,000519,中兵红箭,成都动力配件股份有限公司,成都银河创新科技股份有限公司
2001-06-18,200028,一致Ｂ,深圳市益力矿泉水股份有限公司,深圳一致药业股份有限公司
2001-06-18,000028,国药一致,深圳市益力矿泉水股份有限公司,深圳一致药业股份有限公司
2001-07-04,000605,渤海股份,中联建设装备股份有限公司,四环药业股份有限公司
2001-07-20,200725,京东方Ｂ,北京东方电子集团股份有限公司,京东方科技集团股份有限公司
2001-07-20,000725,京东方Ａ,北京东方电子集团股份有限公司,京东方科技集团股份有限公司
2001-07-27,000712,锦龙股份,广东金泰发展股份有限公司,广东锦龙发展股份有限公司
2001-08-14,000889,中嘉博创,秦皇岛华联商城股份有限公司,秦皇岛华联商城控股股份有限公司
2001-08-15,000979,中弘退,安徽省科苑应用技术开发(集团)股份有限公司,安徽省科苑(集团)股份有限公司
2001-08-30,000752,*ST西发,西藏拉萨啤酒股份有限公司,西藏银河科技发展股份有限公司
2001-09-25,001696,宗申动力,成都联益实业股份有限公司,成都宗申联益实业股份有限公司
2001-09-28,000416,*ST民控,青岛国货集团股份有限公司,青岛健特生物投资股份有限公司
2001-10-08,000048,京基智农,深圳市中科创业(集团)股份有限公司,深圳市康达尔(集团)股份有限公司
2001-10-10,000547,航天发展,福建省福发股份有限公司,福建省福发集团股份有限公司
2001-11-14,000863,三湘印象,沈阳和光现代商务股份有限公司,深圳和光现代商务股份有限公司
2001-11-15,000915,华特达因,山东声乐股份有限公司,山东山大华特科技股份有限公司
2001-11-23,000835,长动退,北京隆源实业股份有限公司,北京隆源双登实业股份有限公司
2001-12-17,000571,新大洲A,海南新大洲摩托车股份有限公司,海南新大洲控股股份有限公司
2001-12-25,000662,天夏退,广西康达(集团)股份有限公司,广西红日股份有限公司
