sample_group,selection_ranker,selection_seed,strategy_id,policy_id,entry_year,trade_row_count,total_pnl,mean_trade_net_return,trade_win_rate,mean_holding_trading_days
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_3d,2023,92,-827.8246012055715,-0.00015149741832351112,0.42391304347826086,3.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_5d,2022,225,-19027.859099563815,-0.004270622635381552,0.4488888888888889,5.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_5d,2023,74,140.79133179125347,0.0006510677370952008,0.44594594594594594,5.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,2022,468,-7793.936800123736,-0.0007543304932106846,0.4893162393162393,1.8269230769230769
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,2023,140,-4260.0320423089215,-0.0016250168241509133,0.4785714285714286,2.2785714285714285
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,2022,774,-35773.46604988791,-0.002895833510072661,0.4095607235142119,1.2609819121447028
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,2023,237,-8690.633499388981,-0.003836611861933159,0.4008438818565401,1.4430379746835442
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,2022,386,-13965.227968001118,-0.0017288308492098494,0.46632124352331605,2.784974093264249
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,2023,91,3586.532992467037,0.0026458743168335285,0.45054945054945056,3.89010989010989
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_1d,2022,671,-36239.66701070513,-0.004180714478711655,0.353204172876304,1.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_1d,2023,178,-3858.3708531520383,-0.0036136074613832866,0.3258426966292135,1.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_2d,2022,453,-23641.505051683613,-0.003001257321327693,0.40397350993377484,2.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_2d,2023,135,-3076.0094938885068,-0.001567881165558637,0.45185185185185184,2.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_3d,2022,405,1024.8138231175744,0.0005590497702374775,0.43703703703703706,3.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_3d,2023,150,23990.963273206464,0.007858789985893445,0.4666666666666667,3.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_5d,2022,185,-17493.365238137776,-0.00460024332709259,0.44324324324324327,5.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_5d,2023,54,9855.52549293112,0.011647021698673736,0.5370370370370371,5.0
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,2022,538,-37460.212088860404,-0.004579897769086234,0.4275092936802974,1.8197026022304832
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,2023,150,-5191.660023018931,-0.0032925887597695927,0.4266666666666667,2.3533333333333335
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,2022,801,-46166.67097667878,-0.0038148717477804006,0.43196004993757803,1.227215980024969
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,2023,184,-3515.5642422788915,-0.0018280449280685216,0.44565217391304346,1.4565217391304348
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,2022,446,-35529.29369082268,-0.00495870419514112,0.45739910313901344,2.726457399103139
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,2023,120,-1800.2994184488934,-0.0025091666596812443,0.4583333333333333,3.7083333333333335
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_1d,2022,983,-43098.69813863456,-0.002881128062526254,0.41302136317395727,1.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_1d,2023,267,-3130.200665379557,-0.0010776636057531345,0.4232209737827715,1.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_2d,2022,516,-21522.273696363853,-0.002096641970408404,0.4418604651162791,2.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_2d,2023,180,-3186.398118483011,-0.0011666156475567107,0.4166666666666667,2.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_3d,2022,316,-12716.752020560347,-0.0016909865352539887,0.4525316455696203,3.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_3d,2023,90,-10205.266810133959,-0.007677669741435663,0.43333333333333335,3.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_5d,2022,245,-23434.583735729815,-0.004891814239905708,0.4816326530612245,5.0
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_5d,2023,90,6440.308502649072,0.006108586806446653,0.4666666666666667,5.0
