sample_group,market_regime,strategy_id,ma_period,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,neutral,s0_liquidity_matched,20,3825391,-0.0029074703659777586,-0.0030162529300138408,0.15539599978354882,-0.002818462086892854,-0.0030162529300138408,0.22603388090053836,-0.002849670460329445,-0.0030162529300138408,0.2675376689990706,-0.003014415663943792,-0.0030162529300139518,0.31160490650668304,-0.00286045473228677,-0.004153712995125125,0.4169891903298931,-0.0031063151019043445,-0.005226859907995984,0.42267928920194975,-0.004507613129996429,-0.006861369309897891,0.41563066785223673,-0.005931910248902687,-0.008216615247070402,0.424676693706877
primary_development_2022_2023_partial,neutral,s0_liquidity_matched,40,2691931,-0.0029098348086369955,-0.0030162529300138408,0.1586774139383664,-0.0028176545943122727,-0.0030162529300138408,0.22814300828882805,-0.0028377230694267893,-0.0030162529300138408,0.26914306306841823,-0.0030116192558734,-0.0030162529300139518,0.3129663120165488,-0.0029266881451818936,-0.004213112170193822,0.41689094181422687,-0.0033163012214950985,-0.005356590364450464,0.4218256043078858,-0.004956124788588201,-0.007254228475475966,0.4117827025695175,-0.006624332982207791,-0.00901615511900089,0.4176674590601853
primary_development_2022_2023_partial,neutral,s0_liquidity_matched,60,2255032,-0.002907372743889893,-0.0030162529300138408,0.15918833787799436,-0.002834280207714076,-0.0030162529300138408,0.2281645707149769,-0.0028547520731182926,-0.0030162529300138408,0.26802663888715195,-0.0030022496540226596,-0.0030162529300139518,0.31334703042012974,-0.0029270092069905974,-0.004205971005276421,0.4165880419331912,-0.0033360245952875718,-0.00541048270050859,0.42043182638087945,-0.004895013225032873,-0.007295153132030885,0.4113889688607388,-0.006657452407443843,-0.009064688200408288,0.41702481359247034
primary_development_2022_2023_partial,neutral,s0_liquidity_matched,120,1616324,-0.002903586862393789,-0.0030162529300138408,0.16140212594435374,-0.002832254637596995,-0.0030162529300138408,0.22912755913306565,-0.0028576266743442743,-0.0030162529300138408,0.2706418981419894,-0.003020427286604833,-0.0030162529300139518,0.31440133024658695,-0.002984181919387178,-0.0042380467376977315,0.41697537711423793,-0.0033007237043988532,-0.005412848475855103,0.42160933162913,-0.004942873691900724,-0.007360408690667453,0.41194855665111063,-0.00643334507607715,-0.008835224216414417,0.4196964547944118
primary_development_2022_2023_partial,neutral,s0_liquidity_matched,240,1368035,-0.002902425080834753,-0.0030162529300138408,0.1620975594066788,-0.002798988091401345,-0.0030162529300138408,0.23093483002824577,-0.0028120987995619924,-0.0030162529300138408,0.27126856233890223,-0.0030080557253792184,-0.0030162529300139518,0.3128764875806165,-0.0028234077340481374,-0.004069590222216535,0.41902957595740103,-0.0030089110707812315,-0.004950891507769395,0.42731234625673836,-0.004241701205154211,-0.0065516562884181395,0.42010416308091864,-0.005384143054272603,-0.007635806939183976,0.4285310293644671
primary_development_2022_2023_partial,neutral,s0_random_matched,10,1208029,-0.0029897997046202866,-0.0030162529300138408,0.11921814828427721,-0.0029999723756664663,-0.0030162529300138408,0.19530719005110384,-0.003061474983881366,-0.0030162529300139518,0.24690210169435395,-0.003221059735423964,-0.0033318539895486055,0.2959202684877196,-0.003078959347096331,-0.004316666513148437,0.4125287707032986,-0.0035595645585032973,-0.005626158027055683,0.41683487387361984,-0.0049729824239995914,-0.007240760332852925,0.41096501668340674,-0.006456761398363027,-0.00881604203455133,0.41874785327074426
primary_development_2022_2023_partial,neutral,s0_random_matched,20,1207714,-0.0029897812723138355,-0.0030162529300138408,0.11844863905247051,-0.002997013008836065,-0.0030162529300138408,0.19599827099073555,-0.003043918152592465,-0.0030162529300139518,0.2480151714028993,-0.00321107525760711,-0.0032100866681031848,0.296453543557522,-0.003077568986962466,-0.004317798291724073,0.4129308135624426,-0.0035629675855017636,-0.005639894369671605,0.41684225196019553,-0.004982778246227233,-0.007222935407102615,0.41106737075277205,-0.006502347053599455,-0.008849409909457706,0.41848508513708993
primary_development_2022_2023_partial,neutral,s0_random_matched,40,1206584,-0.0029864883312696487,-0.0030162529300138408,0.1190688916110403,-0.0029959916626615415,-0.0030162529300138408,0.19530381016319798,-0.0030617172895463364,-0.0030162529300139518,0.24739722348400703,-0.0032192838358967002,-0.0033272677002577633,0.295869403374846,-0.0030916023845109844,-0.00431103701711788,0.4129291409958213,-0.0035632358930036425,-0.005605821104221809,0.4169081443718397,-0.0049866798383312585,-0.00722806936055731,0.41088933379059855,-0.0064880204522353244,-0.008835224216414361,0.4190607906901407
primary_development_2022_2023_partial,neutral,s0_random_matched,60,1206580,-0.0029810460366160984,-0.0030162529300138408,0.11935177211738253,-0.0029886140509238278,-0.0030162529300138408,0.19639632023168052,-0.0030418418153174338,-0.0030162529300138408,0.2481852988692777,-0.003211605867350126,-0.00323974177714903,0.2961707426466138,-0.0030620638565195288,-0.004276662218344773,0.41323196277213453,-0.0035550360222974453,-0.0056193436534341945,0.41704992406812197,-0.004943636744408729,-0.007196478284605012,0.41102188932438716,-0.006449796862243703,-0.008783927499840194,0.41901498538011694
primary_development_2022_2023_partial,neutral,s0_random_matched,120,1204625,-0.002984159734241841,-0.0030162529300138408,0.11867454426667176,-0.002993608881559742,-0.0030162529300138408,0.1961022303212443,-0.003056438357085309,-0.0030162529300139518,0.24711713693858997,-0.003215003270145071,-0.0031965393218890137,0.2959574377979524,-0.0030890997043552114,-0.0043023793270348665,0.41289913297392933,-0.003574176715857653,-0.005639894369671605,0.41697257396247944,-0.004999283868703703,-0.0072357680635707355,0.4106571026002306,-0.006510991810927341,-0.00881267006414177,0.4188560564774793
primary_development_2022_2023_partial,neutral,s0_random_matched,240,1198551,-0.0029891787472053188,-0.0030162529300138408,0.11865060128375103,-0.0029960064634729747,-0.0030162529300138408,0.19549759276410758,-0.0030702979847398704,-0.0030162529300139518,0.2467806323912775,-0.0032305016720541205,-0.003318506605038851,0.2957518317257657,-0.003068362485604358,-0.004298753361398899,0.41305870240311815,-0.0035748620687883277,-0.005629578610407193,0.4170786099859407,-0.004983668851215032,-0.007205260270643943,0.41123814921724855,-0.006465936409871836,-0.008734445811319547,0.4192087995524631
primary_development_2022_2023_partial,neutral,s0_strong_no_ma,10,568451,-0.003023150337681795,-0.0030162529300138408,0.18539811099363704,-0.002963221409245946,-0.0030162529300139518,0.23941417073492546,-0.0030283377544733825,-0.0030162529300139518,0.2680879587194297,-0.0032347381418494675,-0.004101110108544748,0.3065448748178753,-0.003143574190546688,-0.004837782309557226,0.4087135942430933,-0.0035722476063083206,-0.005848593120553969,0.4145174052724238,-0.00501252294540305,-0.00762531378684006,0.4067511307112817,-0.006489363025370093,-0.008749339457155836,0.4187406659014249
primary_development_2022_2023_partial,neutral,s0_strong_no_ma,20,568227,-0.0030233055418483618,-0.0030162529300138408,0.1854289601089713,-0.002963650231996036,-0.0030162529300139518,0.23945751591426273,-0.0030284592086907724,-0.003016252930014063,0.2681531700397234,-0.0032389584622533802,-0.004103476209261436,0.30657597329897124,-0.0031574634495179802,-0.004840559877991812,0.4086229052199618,-0.003593469729126666,-0.005851815350576772,0.41445574123666085,-0.005039037015430828,-0.007626201754764916,0.4067167205645346,-0.006529057693040765,-0.008746044579841405,0.4187226701615933
primary_development_2022_2023_partial,neutral,s0_strong_no_ma,40,567925,-0.0030229904061632325,-0.0030162529300138408,0.1854483282005772,-0.002962676788042666,-0.0030162529300139518,0.23950209456258947,-0.0030276693587759067,-0.003016252930014063,0.2682077280819614,-0.003240690932115091,-0.00410525756908553,0.3065946182053874,-0.0031672631820197318,-0.004842230488749988,0.4085699874074518,-0.003609592985251255,-0.005851815350576772,0.4144278106748936,-0.00506056819135634,-0.007624806460383493,0.40669348293991037,-0.006557648074924173,-0.008746044579841294,0.41872449771979614
primary_development_2022_2023_partial,neutral,s0_strong_no_ma,60,567651,-0.003022702907788243,-0.0030162529300138408,0.18544271351737965,-0.00296244297981163,-0.0030162529300139518,0.23951376348821846,-0.0030276965027871065,-0.003016252930014063,0.26821916022290226,-0.0032414522206825006,-0.004105852653587594,0.3066016789663995,-0.003170929481545661,-0.004842230488750099,0.4085268267549393,-0.003617954660268148,-0.005851815350576772,0.4144068783685052,-0.005070316915189397,-0.007621258690152621,0.4066836585202261,-0.0065652337092531364,-0.008746044579841183,0.4187316587386509
primary_development_2022_2023_partial,neutral,s0_strong_no_ma,120,566850,-0.0030238309365879772,-0.0030162529300138408,0.18534134491555027,-0.002963910252372223,-0.0030162529300139518,0.2394358742749072,-0.0030292895490319784,-0.003016252930014063,0.26815184138376363,-0.00324329542247635,-0.004105852653587538,0.30655222492601814,-0.0031693542132651153,-0.0048388923213665835,0.40851832284033623,-0.003609423285555108,-0.005848593120553525,0.4144430247538663,-0.0050631062521290324,-0.007617716378029216,0.40666725585505964,-0.006549757289973269,-0.008729626838724358,0.41880293519582706
primary_development_2022_2023_partial,neutral,s0_strong_no_ma,240,564843,-0.003024023190474643,-0.0030162529300138408,0.18524924801580628,-0.0029640880666647307,-0.0030162529300139518,0.23937841814251343,-0.0030302832632915777,-0.003016252930014063,0.2680866509087368,-0.003244288418737837,-0.00410466313423874,0.3065002266738447,-0.003165853677346505,-0.004835566337075936,0.4084737317154049,-0.003605620363054022,-0.005840569493951175,0.4144496132829889,-0.005055280189717606,-0.007610648077801652,0.4067164642420652,-0.006541909181062679,-0.00870148943481952,0.4189428743299139
primary_development_2022_2023_partial,neutral,s1_break_reclaim_stable3,10,333676,-0.0029885138199784726,-0.0030162529300138408,0.15369676626607126,-0.002873602995911097,-0.0030162529300138408,0.22127614937361387,-0.002868447405614131,-0.0030162529300139518,0.26607701622088215,-0.003105264128312007,-0.003653506843129928,0.3063253725347954,-0.003276278560194053,-0.004591266748449785,0.40786799821099995,-0.003633664894673069,-0.005454291861863303,0.4158905442164616,-0.004894298108733371,-0.006890542102565567,0.4120790539465428,-0.006255802406381101,-0.007996191726567292,0.4243967780107039
primary_development_2022_2023_partial,neutral,s1_break_reclaim_stable3,20,217518,-0.0029522821501360877,-0.0030162529300138408,0.15984718225033792,-0.0028059739049530125,-0.0030162529300138408,0.22954874600583894,-0.00283492339158011,-0.0030162529300139518,0.2697140650215865,-0.0030174405260237763,-0.00362195386991071,0.3101177639111781,-0.002946631814359536,-0.004382920163831294,0.4117441228740596,-0.0031231773182185947,-0.005127015979562111,0.42314759806021085,-0.0044710479502870675,-0.00653501909614318,0.4182485516656996,-0.006138926876734455,-0.007861860449187574,0.42799299829563775
primary_development_2022_2023_partial,neutral,s1_break_reclaim_stable3,40,141855,-0.0028945327997431957,-0.0030162529300138408,0.1661203341440203,-0.0027329882276747775,-0.0030162529300138408,0.23569469803247023,-0.0027445789060258022,-0.0030162529300138408,0.27681743838474987,-0.002952213319456012,-0.003435153664076762,0.3153515853598347,-0.0028693235576118603,-0.004251672690942954,0.415319449346982,-0.0030771499872634406,-0.005213462289947568,0.4243156029119975,-0.004598286055843023,-0.006975811193278836,0.416346534094119,-0.006481291894637846,-0.008593004525966286,0.4246114721672789
primary_development_2022_2023_partial,neutral,s1_break_reclaim_stable3,60,113982,-0.002868791169746205,-0.0030162529300138408,0.16953122943700155,-0.002717662110737264,-0.0030162529300138408,0.23658489506562785,-0.0027113728618212624,-0.0030162529300139518,0.2773751447724002,-0.00285112610225105,-0.0030162529300139518,0.3188315505909813,-0.0028676533998880952,-0.004238046737697454,0.41817463106113845,-0.0030256731831496994,-0.004957168725737371,0.42882122929572514,-0.004484824999264208,-0.006917705818620001,0.42016629458399984,-0.006649566761881462,-0.009215947052078788,0.4227319098040595
primary_development_2022_2023_partial,neutral,s1_break_reclaim_stable3,120,71101,-0.0028030481838755648,-0.0030162529300138408,0.17902050690596077,-0.0027175650062403623,-0.0030162529300138408,0.2432873398314978,-0.0027132013074704494,-0.0030162529300139518,0.28218580772206203,-0.002898299297731433,-0.0035580552382802333,0.3198148773351339,-0.0027779932883924318,-0.004324846940980287,0.42056338028169016,-0.003055236716645247,-0.005364306973984712,0.4270318245213643,-0.00463369471091261,-0.006962749702185911,0.418828835177225,-0.006585944036719,-0.008741344176519061,0.42486644960322495
primary_development_2022_2023_partial,neutral,s1_break_reclaim_stable3,240,53345,-0.002917557676246006,-0.0030162529300138408,0.17133751991751806,-0.0028276592389526512,-0.0030162529300138408,0.23502174565086983,-0.002840225933016855,-0.0030162529300139518,0.2734993063627161,-0.003038701935258531,-0.003631168892433645,0.30977333658298806,-0.00284192455671502,-0.004597302906725997,0.41218422731879434,-0.0029338807189949016,-0.005311687497327466,0.42167928036207253,-0.004289510875229209,-0.006933674333039153,0.4144335317646617,-0.0053649172624519745,-0.008529531790643308,0.42080342715418434
primary_development_2022_2023_partial,neutral,s1_near_reversal,10,447827,-0.003093172789765826,-0.0030162529300138408,0.13628791668155346,-0.002995744024565012,-0.0030162529300138408,0.2047300888315238,-0.003003261686762552,-0.0030162529300139518,0.24896214596280922,-0.003219666511246886,-0.003737137779666777,0.2982477300901263,-0.003237825287664755,-0.004412588710223764,0.4085812758743315,-0.0034540384013861747,-0.005148078476136297,0.41872793890670923,-0.0047066800746317335,-0.006596086851270444,0.41359377936057695,-0.005947349487246085,-0.007497078759542086,0.4262313791043173
primary_development_2022_2023_partial,neutral,s1_near_reversal,20,296958,-0.0030349126942623554,-0.0030162529300138408,0.1430976771125883,-0.002928454038542985,-0.0030162529300138408,0.21125565325152465,-0.002941863753299717,-0.0030162529300139518,0.25331294768994517,-0.0031457295194893217,-0.0036804659527120975,0.29904376324130244,-0.0029576954482055775,-0.004215992697848003,0.4104264955333808,-0.0030797933511205774,-0.004926183479956214,0.423593424794314,-0.004406090393942749,-0.006370841580989439,0.4185887250486629,-0.005856746151713465,-0.007276867233731554,0.42982959338619875
primary_development_2022_2023_partial,neutral,s1_near_reversal,40,195691,-0.003005457318855009,-0.0030162529300138408,0.14733942797573726,-0.0028804103363383837,-0.0030162529300138408,0.21570160511428965,-0.002910201725919612,-0.0030162529300139518,0.25809221083185985,-0.0031033117652137254,-0.0035872630944298045,0.3044267146427604,-0.003008580521185341,-0.004167504370048314,0.4122396766105511,-0.0031221698800773558,-0.005091861008577059,0.4236298407856825,-0.004590546985709512,-0.0067087853265694886,0.4164145873320537,-0.006288104570475173,-0.008155344409755794,0.4253783302275101
primary_development_2022_2023_partial,neutral,s1_near_reversal,60,155913,-0.00297563998137646,-0.0030162529300138408,0.15009845360494128,-0.0028439755057907096,-0.0030162529300138408,0.21749225509752484,-0.0028488743384407424,-0.0030162529300139518,0.25897014867933243,-0.0029778773506670005,-0.0032351297131244516,0.30782307470250503,-0.002946798621620471,-0.004039281320418364,0.4169545728927191,-0.0031089698701166303,-0.004876297234248872,0.4278519717613202,-0.0045078587014423304,-0.006559194461890239,0.4211719959652809,-0.006470648521016987,-0.008812670064141548,0.4240334243933794
primary_development_2022_2023_partial,neutral,s1_near_reversal,120,96949,-0.002974861654934664,-0.0030162529300138408,0.15522754466311836,-0.0028950137505369122,-0.0030162529300138408,0.22140160501722608,-0.0029244620074029837,-0.0030162529300139518,0.2622078270377323,-0.003044170103299787,-0.003640538307014274,0.31101756992375706,-0.002999436869175998,-0.004281059586982938,0.41794421487603306,-0.003236072414135565,-0.005342936120375619,0.4239468490716153,-0.004663231282242359,-0.006988299731089331,0.4178535254356409,-0.0066349349642422905,-0.00867863526631385,0.42505814855016283
primary_development_2022_2023_partial,neutral,s1_near_reversal,240,73264,-0.0030146131054739,-0.0030162529300138408,0.1515068792312732,-0.002954166477576421,-0.0030162529300138408,0.21505787289801268,-0.00302380341232259,-0.0030162529300139518,0.2552927205470851,-0.0031909769940730256,-0.0037982014479454596,0.30170648464163824,-0.0031748031881425596,-0.004552437440137225,0.40709512551758065,-0.0032038835421066164,-0.005247322452750003,0.4205173073768251,-0.004305695977333325,-0.006865611026809049,0.4149795633808593,-0.0052626237267801405,-0.008128990094475208,0.4220440772103586
primary_development_2022_2023_partial,neutral,s1_touch_immediate,10,422947,-0.0028638876933309073,-0.0030162529300138408,0.17085477037149127,-0.002799256919864198,-0.0030162529300138408,0.23291561251270895,-0.002795643448956563,-0.0030162529300138408,0.27418511994135936,-0.003068098938546801,-0.003016252930014063,0.31481884400718946,-0.0032206876858126947,-0.0044145471054275465,0.41206727512989444,-0.0033022784097209742,-0.00513134468884785,0.4220134813151625,-0.004671041667650429,-0.006571988292865205,0.4167227233107212,-0.0056695153062507235,-0.007358516636764623,0.43002459517479635
primary_development_2022_2023_partial,neutral,s1_touch_immediate,20,274577,-0.0028041116499401618,-0.0030162529300138408,0.17892977197653118,-0.0026935049254095465,-0.0030162529300138408,0.2427241041479253,-0.002690172143177958,-0.0030162529300138408,0.2828436978707595,-0.0028888139908074192,-0.0030162529300139518,0.3205328554099686,-0.002865672701687557,-0.004196115352582019,0.41548011554284714,-0.0028233757138049114,-0.004917382004690718,0.4277990193216975,-0.004325482399635448,-0.006484022485039764,0.421302629994856,-0.005662895320715462,-0.00738898866277693,0.4320105096064371
primary_development_2022_2023_partial,neutral,s1_touch_immediate,40,178984,-0.0027883478313203633,-0.0030162529300138408,0.18378737764269432,-0.002665463084318631,-0.0030162529300138408,0.24835597074549812,-0.0027062541443823316,-0.0030162529300138408,0.2851723136062936,-0.002941399410113035,-0.0030162529300139518,0.3226803317164763,-0.0030142475573113853,-0.004203845243378801,0.4164918229070503,-0.002959539191287433,-0.0051292530108332235,0.42702282215730386,-0.004616841385214146,-0.006895567120947632,0.41830595741108656,-0.006397330051971723,-0.008471704350369591,0.4256332745542587
