sample_group,strategy_id,ma_period,signal_count,date_count,symbol_count,author_id,hypothesis_id,author_label,is_control
primary_development_2022_2023_partial,s4_reclaim_volume_normal,40,453881,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_normal,60,363834,331,3068,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_normal,120,237130,331,3045,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_normal,240,179659,331,3031,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,10,804909,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,20,533876,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,40,352866,331,3070,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,60,280895,331,3067,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,120,183081,331,3046,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,240,138636,331,3032,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_vwap_support,10,902304,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_vwap_support,20,597544,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_vwap_support,40,394558,331,3070,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_vwap_support,60,313373,331,3067,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_vwap_support,120,203928,331,3047,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_vwap_support,240,154744,331,3032,,,rule_or_control,False
supplemental_2023_09_legacy,cs_r3_leader_confirmation,10,11475,20,2895,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
supplemental_2023_09_legacy,cs_r3_leader_confirmation,20,9403,20,2805,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
supplemental_2023_09_legacy,cs_r3_leader_confirmation,40,6966,20,2515,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
supplemental_2023_09_legacy,cs_r3_leader_confirmation,60,5834,20,2299,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
supplemental_2023_09_legacy,cs_r3_leader_confirmation,120,4477,20,1764,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
supplemental_2023_09_legacy,cs_r3_leader_confirmation,240,2980,20,1253,chong_sheng_san_hu_yi_ge,CS-R3,重生之散户一哥,False
supplemental_2023_09_legacy,fu_r3_core_pullback,10,3486,11,2056,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
supplemental_2023_09_legacy,fu_r3_core_pullback,20,3488,11,1995,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
supplemental_2023_09_legacy,fu_r3_core_pullback,40,3025,11,1722,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
supplemental_2023_09_legacy,fu_r3_core_pullback,60,2491,11,1499,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
supplemental_2023_09_legacy,fu_r3_core_pullback,120,1897,11,1141,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
supplemental_2023_09_legacy,fu_r3_core_pullback,240,1165,11,764,fu_ge_long_kong_long,FU-R3,付哥龙空龙,False
supplemental_2023_09_legacy,ht_r3_core_pullback,10,8226,20,2713,hai_tang_jun,HT-R3,海棠君_,False
supplemental_2023_09_legacy,ht_r3_core_pullback,20,7019,20,2573,hai_tang_jun,HT-R3,海棠君_,False
supplemental_2023_09_legacy,ht_r3_core_pullback,40,5278,20,2219,hai_tang_jun,HT-R3,海棠君_,False
supplemental_2023_09_legacy,ht_r3_core_pullback,60,4412,20,2020,hai_tang_jun,HT-R3,海棠君_,False
supplemental_2023_09_legacy,ht_r3_core_pullback,120,3450,20,1549,hai_tang_jun,HT-R3,海棠君_,False
supplemental_2023_09_legacy,ht_r3_core_pullback,240,2253,20,1077,hai_tang_jun,HT-R3,海棠君_,False
supplemental_2023_09_legacy,ng_r1_auction_reclaim,10,18296,11,3025,niu_ge_xun_shi,NG-R1,牛哥寻势,False
supplemental_2023_09_legacy,ng_r1_auction_reclaim,20,14037,11,2974,niu_ge_xun_shi,NG-R1,牛哥寻势,False
supplemental_2023_09_legacy,ng_r1_auction_reclaim,40,9872,11,2710,niu_ge_xun_shi,NG-R1,牛哥寻势,False
supplemental_2023_09_legacy,ng_r1_auction_reclaim,60,8263,11,2478,niu_ge_xun_shi,NG-R1,牛哥寻势,False
supplemental_2023_09_legacy,ng_r1_auction_reclaim,120,5639,11,1833,niu_ge_xun_shi,NG-R1,牛哥寻势,False
supplemental_2023_09_legacy,ng_r1_auction_reclaim,240,3444,11,1248,niu_ge_xun_shi,NG-R1,牛哥寻势,False
supplemental_2023_09_legacy,ng_r3_volume_quality,10,50551,20,3049,niu_ge_xun_shi,NG-R3,牛哥寻势,False
supplemental_2023_09_legacy,ng_r3_volume_quality,20,37408,20,3047,niu_ge_xun_shi,NG-R3,牛哥寻势,False
supplemental_2023_09_legacy,ng_r3_volume_quality,40,25938,20,3002,niu_ge_xun_shi,NG-R3,牛哥寻势,False
supplemental_2023_09_legacy,ng_r3_volume_quality,60,21799,20,2886,niu_ge_xun_shi,NG-R3,牛哥寻势,False
