sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
supplemental_2023_09_legacy,flow_quality,momentum_trail_4pct_5d,1,1,1.0,0,0.0,0.0074352101,0.0074352101,0.0,0.0074352101,0.0074352101,-0.0331359261,-0.0331359261,-0.0331359261,26.0,26,0,1
supplemental_2023_09_legacy,flow_quality,next_open_1d,8,2,0.25,0,0.0,-0.040100021537499995,-0.05974010345,0.04222002897065145,-0.0766892109,0.0404497253,-0.066947818825,-0.07527309174999999,-0.1240969292,87.875,703,2,8
supplemental_2023_09_legacy,flow_quality,next_open_2d,2,0,0.0,0,0.0,-0.04474815285,-0.04474815285,0.035987750750000005,-0.0807359036,-0.0087604021,-0.0715236459,-0.0715236459,-0.1063933448,48.0,96,0,2
supplemental_2023_09_legacy,flow_quality,next_open_3d,1,0,0.0,0,0.0,-0.032757125,-0.032757125,0.0,-0.032757125,-0.032757125,-0.0627321113,-0.0627321113,-0.0627321113,31.0,31,0,1
supplemental_2023_09_legacy,flow_quality,next_open_5d,1,1,1.0,0,0.0,0.04483977,0.04483977,0.0,0.04483977,0.04483977,-0.0480806024,-0.0480806024,-0.0480806024,19.0,19,0,1
supplemental_2023_09_legacy,flow_quality,protect_3pct_target6pct_3d,3,2,0.6666666666666666,0,0.0,0.006110227633333333,0.0132285366,0.01585350791229091,-0.0158608205,0.0209629668,-0.039447687399999994,-0.0386960221,-0.0425224678,40.333333333333336,121,0,3
supplemental_2023_09_legacy,random_hash,fast_failure_2pct_target4pct_2d,11,0,0.0,0,0.0,-0.048941553081818176,-0.0485449037,0.018760134423579468,-0.0855309036,-0.0151270273,-0.07042512945454546,-0.0651594493,-0.1013343967,57.0,627,0,11
supplemental_2023_09_legacy,random_hash,momentum_trail_4pct_5d,1,1,1.0,0,0.0,0.0064966832,0.0064966832,0.0,0.0064966832,0.0064966832,-0.0307709141,-0.0307709141,-0.0307709141,27.0,27,0,1
supplemental_2023_09_legacy,random_hash,next_open_1d,6,1,0.16666666666666666,0,0.0,-0.03848439758333332,-0.0501283151,0.041902823501293096,-0.0787833538,0.0326498936,-0.0667281732,-0.0647756656,-0.1261440162,88.5,531,2,6
supplemental_2023_09_legacy,random_hash,next_open_2d,2,0,0.0,0,0.0,-0.051586491750000005,-0.051586491750000005,0.029149411850000004,-0.0807359036,-0.0224370799,-0.0730895689,-0.0730895689,-0.1063933448,48.0,96,0,2
supplemental_2023_09_legacy,random_hash,next_open_3d,4,0,0.0,0,0.0,-0.038108039824999995,-0.0428080816,0.015313695625379084,-0.0539974483,-0.0128185478,-0.07902871547499998,-0.0801676653,-0.1024835009,30.75,123,0,4
