sample_group,strategy_id,ma_period,mean_1d,mean_2d,mean_5d,mean_60m,median_1d,median_2d,median_5d,median_60m,profit_factor_1d,profit_factor_2d,profit_factor_5d,profit_factor_60m,signal_count_1d,signal_count_2d,signal_count_5d,signal_count_60m,win_rate_1d,win_rate_2d,win_rate_5d,win_rate_60m,daily_bh_q_value_1d,daily_bh_q_value_2d,daily_bh_q_value_5d,daily_bh_q_value_60m,daily_mean_daily_return_1d,daily_mean_daily_return_2d,daily_mean_daily_return_5d,daily_mean_daily_return_60m,daily_positive_date_fraction_1d,daily_positive_date_fraction_2d,daily_positive_date_fraction_5d,daily_positive_date_fraction_60m,control_mean_daily_difference_s0_liquidity_matched_1d,control_mean_daily_difference_s0_liquidity_matched_2d,control_mean_daily_difference_s0_liquidity_matched_5d,control_mean_daily_difference_s0_liquidity_matched_60m,control_mean_daily_difference_s0_random_matched_1d,control_mean_daily_difference_s0_random_matched_2d,control_mean_daily_difference_s0_random_matched_5d,control_mean_daily_difference_s0_random_matched_60m,control_positive_date_fraction_s0_liquidity_matched_1d,control_positive_date_fraction_s0_liquidity_matched_2d,control_positive_date_fraction_s0_liquidity_matched_5d,control_positive_date_fraction_s0_liquidity_matched_60m,control_positive_date_fraction_s0_random_matched_1d,control_positive_date_fraction_s0_random_matched_2d,control_positive_date_fraction_s0_random_matched_5d,control_positive_date_fraction_s0_random_matched_60m,screen_note
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,-0.0021853783993636,-0.0026108832860499,-0.0026870841451698,-0.0028566448988411,-0.0045987668142519,-0.0055693483130356,-0.0065491506871717,-0.0044304142733753,0.8434084985367161,0.8539533948690176,0.8974028168449721,0.6049960298100472,163598,163598,163598,163598,0.4293177684001641,0.4315276186742301,0.4466477519930877,0.3352162616536757,0.002808938374099399,0.011375887313386264,0.17852783299782657,3.220730675510521e-31,-0.002789439271453812,-0.0034500998802006284,-0.0035304776690284825,-0.0032226775888363132,0.4501510574018127,0.48036253776435045,0.48036253776435045,0.18429003021148035,0.0006410785642107,4.858569681122628e-05,0.0002283245920942,-0.0001926637775704,-0.0032171399091421,-0.0032088755125297,-0.0032083804363429,-0.0032637312052556,0.4954682779456193,0.4894259818731117,0.4773413897280967,0.4622356495468278,0.0362537764350453,0.0362537764350453,0.0362537764350453,0.039274924471299,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,fu_r3_core_pullback,240,0.0021751356274274,0.0038467320624049,0.0055934069160717,-0.0018926895056072,-0.001403010620839,-0.0006239703935531,-0.0001314619952051,-0.0030162529300139,1.1860557094224038,1.267664517265286,1.26140117239794,0.7303040413577103,15915,15915,15915,15915,0.4772398161556381,0.4929098128190584,0.4987080103359173,0.3599170437405731,0.5853602463085323,0.674906078283218,0.831705834590893,4.687774586231589e-18,-0.000570748673696274,0.000660109714515487,0.000562175723738646,-0.0030166166556537853,0.5175879396984925,0.542713567839196,0.5577889447236181,0.22613065326633167,0.0018501432337588,0.0012398251981565,0.0022149593201418,0.0001148564010259,-0.0040460898649237,-0.0040791554494192,-0.0040902489474653,-0.0040427647882319,0.6130653266331658,0.542713567839196,0.5276381909547738,0.5326633165829145,0.0603015075376884,0.0552763819095477,0.050251256281407,0.0954773869346733,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ht_r3_core_pullback,10,-0.0023475430543644,-0.0028007005329581,-0.0027741295078804,-0.0029330477184513,-0.0046242912317395,-0.0056029417621767,-0.0065474822584788,-0.0041402481352788,0.8288551192212479,0.8434877475191912,0.894825829285751,0.5580167822785577,116070,116070,116070,116070,0.4274479674726565,0.4304953640554587,0.4470659354894425,0.3240727974631187,0.0005507312032606742,0.005221288024815278,0.1589022707688449,8.300650694265726e-40,-0.0033227287695659813,-0.004068429464851489,-0.004345813910257115,-0.0034356117816355617,0.4259818731117825,0.47129909365558914,0.4743202416918429,0.16012084592145015,0.000136495747938,-0.00043671990524,-0.000342304901046,-0.0003334496219121,-0.0048387169642654,-0.0048272285343973,-0.004822732862807,-0.0048428746719814,0.4712990936555891,0.4652567975830816,0.4501510574018127,0.4229607250755287,0.0,0.0,0.0,0.0,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ht_r3_core_pullback,20,-0.0017688163141858,-0.0018044742088242,-0.0023361090080373,-0.0027442627363086,-0.0042620934103273,-0.0049403131105501,-0.0061318271396075,-0.0039956082807703,0.8679831418616794,0.8957894539517407,0.910887636607888,0.5781862953781923,91775,91775,91775,91775,0.4325327510917031,0.4379393912929566,0.4515325628645708,0.3257699601124698,0.000327735429679444,0.006310651706076562,0.16700753432864746,4.655091274041131e-43,-0.0035543530878098194,-0.0039642653317743266,-0.003915590847606002,-0.003539081349385067,0.43202416918429004,0.459214501510574,0.49244712990936557,0.1540785498489426,0.0003972509475923,0.0001925887240507,0.0004378359016764,-0.0002125537906362,-0.0048073592878489,-0.0047979003306464,-0.0048108420800381,-0.0048464730627539,0.5105740181268882,0.5015105740181269,0.5045317220543807,0.4471299093655589,0.0,0.0,0.0,0.0,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ht_r3_core_pullback,40,-0.0015827271240683,-0.0018457087932503,-0.0022646617927781,-0.0026370712940309,-0.0037064499533758,-0.004720498651501,-0.0054840344821671,-0.0038249467030914,0.8803654501324932,0.8931802454003813,0.9132446103148144,0.5915281514996031,66342,66342,66342,66342,0.4376547683759135,0.4427380628794056,0.457053916827853,0.3296698326549073,0.0001098545559553578,0.0031172510521098643,0.1589022707688449,5.862891450423263e-44,-0.004130799057852467,-0.004678382831242216,-0.004312762068208268,-0.003488703288345698,0.4380664652567976,0.4501510574018127,0.5015105740181269,0.1510574018126888,-0.0003049258130504,-0.0006776866122624,0.0004024702755773,-0.000266506395848,-0.0049370297071898,-0.0049347640759869,-0.0049322217473061,-0.0049522473670393,0.513595166163142,0.4773413897280967,0.513595166163142,0.5015105740181269,0.0,0.0,0.0030211480362537,0.0030211480362537,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ht_r3_core_pullback,60,-0.0015596403757306,-0.0016731732431686,-0.0023986701527385,-0.0026651662104732,-0.0037968249548099,-0.0043209209271722,-0.0051303540139058,-0.003885008373609,0.8823847384396118,0.90286708517282,0.9081376746872544,0.5915380874643059,54528,54528,54528,54528,0.4380027178903294,0.4483537884912177,0.4599121210449874,0.3269565855358485,0.00025963508558641277,0.004851890310690376,0.1589022707688449,1.0590992702490591e-38,-0.003926059747198253,-0.00442429010773202,-0.004233755787132123,-0.003456120952927883,0.42900302114803623,0.4501510574018127,0.5105740181268882,0.1540785498489426,-0.0001305924162821,-0.0001436580285531,0.0003495688844399,-0.0003190969123837,-0.0049467472577613,-0.004936475171198,-0.0049503936433828,-0.0049801117774424,0.5075528700906344,0.4833836858006042,0.5075528700906344,0.4984894259818731,0.0,0.0,0.0,0.0030211480362537,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ht_r3_core_pullback,120,-0.0012975599463864,-0.0011503320581325,-0.0019423406846069,-0.0026883157949327,-0.0034597532321646,-0.0038624712023479,-0.005065551485142,-0.0038885046772317,0.8996265576688203,0.9316896987903136,0.9236689749276508,0.5914015645638717,38088,38088,38088,38088,0.4384105611949718,0.4532803703898563,0.4584133666622813,0.326032721447517,0.0007867675247155803,0.014394219469767416,0.19084295123557768,1.768768130918157e-30,-0.003136790024112227,-0.003303694739223662,-0.0033874973938671413,-0.003340109460738133,0.45317220543806647,0.4773413897280967,0.5166163141993958,0.17522658610271905,0.0004906835341298,0.0004314360471536,0.0009878764473743,7.596994675444737e-05,-0.0049949832939825,-0.0049924554419562,-0.0049948929337798,-0.0050021276866109,0.540785498489426,0.5196374622356495,0.525679758308157,0.5589123867069486,0.0060422960725075,0.0060422960725075,0.0060422960725075,0.0090634441087613,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ht_r3_core_pullback,240,-0.0007044600573418,-0.0004533132512064,6.816744084246154e-06,-0.0025526953540991,-0.0030162529300139,-0.0036835780619214,-0.0045197874594174,-0.0037028808549932,0.9431829358312548,0.971446449279164,1.000290794534007,0.6065448274830673,28805,28805,28805,28805,0.4389709716669563,0.4511830201809325,0.4635300668151447,0.3248845526197007,0.0019114166825897733,0.015452522959648324,0.17852783299782657,3.3767496800010524e-35,-0.0028217221289497936,-0.0031111435791874764,-0.003515600619910217,-0.00330980399009651,0.4393939393939394,0.46060606060606063,0.48484848484848486,0.18484848484848485,0.0008997394328712,0.000303568711622,8.351578719173806e-06,-8.853190846894902e-07,-0.0050070807497224,-0.0050026155184005,-0.0049961678951365,-0.0050743663757947,0.5333333333333333,0.5121212121212121,0.4969696969696969,0.5181818181818182,0.006060606060606,0.003030303030303,0.006060606060606,0.009090909090909,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ng_r1_auction_reclaim,10,-0.0005650097379601,0.0003638871101224,0.0010099339831093,-0.0024805976448402,-0.0020162692318496,-0.0020330342445404,-0.0025991049186874,-0.0030162529300138,0.945794212522447,1.0271596449220108,1.0485469461396049,0.5619297015203145,323179,323179,323179,323179,0.4598384052513644,0.470280625292544,0.4786507934046782,0.3311110698434511,0.019731762831438737,0.23621770282745375,0.4580984044635413,2.7321972214622374e-28,-0.0024307245052895806,-0.0017157528046394487,-0.0017858329483057143,-0.0031124575565989695,0.4619289340101523,0.4873096446700508,0.5380710659898477,0.14720812182741116,-6.18892093828891e-05,-0.0004838441661637,-0.0003882337454659,-0.0001033029994669,-0.0015508607622848,-0.0015497003324817,-0.0015493804760079,-0.0016069244880375,0.5076142131979695,0.4213197969543147,0.4060913705583756,0.3807106598984771,0.1573604060913705,0.1573604060913705,0.1624365482233502,0.1116751269035533,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ng_r1_auction_reclaim,20,-0.0001655358864266,0.0008671581794704,0.0016264686967928,-0.0023955253667023,-0.0018935234851152,-0.0014608960703102,-0.0014657338832484,-0.0030162529300138,0.9838781044691728,1.065032611274643,1.0794298198070706,0.575592753543364,222984,222984,222984,222984,0.4610671936758893,0.4773795297098649,0.4854925260442415,0.3328982133164668,0.013105579078364689,0.20746442816240987,0.3897351421847786,4.159198515305285e-31,-0.0025233385553284807,-0.0018168482332998463,-0.002062150313673756,-0.00317136579987361,0.467005076142132,0.5076142131979695,0.5126903553299492,0.14720812182741116,8.762820351998938e-05,-0.0003709330939107,-0.0006167805987114,-6.22668789346034e-05,-0.0018939065173788,-0.0018908548152339,-0.0018979191130276,-0.0020264673721152,0.5025380710659898,0.4974619289340101,0.4467005076142132,0.4416243654822335,0.0609137055837563,0.0609137055837563,0.0609137055837563,0.0710659898477157,descriptive screen only; no winner is selected
primary_development_2022_2023_partial,ng_r1_auction_reclaim,40,0.0002467196842635,0.0015445719195082,0.0025927255733184,-0.0022572808086081,-0.0014003959655567,-0.0007295929596699,-0.0007075291270515,-0.0030162529300138,1.0245535961981236,1.1200319839710489,1.1296963255674966,0.5993522225622828,149097,149097,149097,149097,0.4708592768721328,0.4884027199182949,0.4931716758965536,0.3372847357793118,0.021841514132868178,0.29544907502782297,0.6096963666799424,9.337802112774259e-32,-0.0023369785212429954,-0.001523352667148885,-0.0012670717036055638,-0.003163711342786379,0.47715736040609136,0.5279187817258884,0.5076142131979695,0.13705583756345177,0.000145951888378,-0.0002583257589576,0.0001815601249697,-1.9560687372775638e-05,-0.0020352623321049,-0.0020364129455828,-0.0020369397476307,-0.0021964873594078,0.4974619289340101,0.4873096446700508,0.5380710659898477,0.4771573604060913,0.0609137055837563,0.0609137055837563,0.0609137055837563,0.0609137055837563,descriptive screen only; no winner is selected
