sample_group,selection_ranker,selection_seed,strategy_id,policy_id,equity_row_count,equity_start_date,equity_end_date,minimum_marked_equity,maximum_marked_equity,mean_daily_return,daily_return_std,daily_sharpe,annualized_geometric_return,minimum_daily_return,maximum_daily_return,mean_position_count,invested_day_fraction,maximum_position_count
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_1d,342,2022-01-04,2023-06-02,52315.76534344234,112397.79587847601,-0.0017027582753616135,0.017935037334240997,-1.50713093778616,-0.3751009324056136,-0.051860067586206315,0.06672814298306151,4.935672514619883,1.0,5
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_2d,342,2022-01-04,2023-06-02,65820.55027230838,101770.77223838103,-0.0009513955364789293,0.01373822717064215,-1.0993365985499874,-0.23191639641269202,-0.057998745664815776,0.03690443733416959,4.912280701754386,1.0,5
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_3d,342,2022-01-04,2023-06-02,79469.48992195606,125015.77709632403,0.0007840680799085502,0.016156451257395083,0.770385445664907,0.17882073316087865,-0.056836377314329334,0.054589968261731237,4.868421052631579,0.9736842105263158,5
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_5d,342,2022-01-04,2023-06-02,70580.52214268062,106383.6988541609,-0.00033070005072616227,0.01621413227667547,-0.32377314228644105,-0.10998243437748279,-0.05588190726295783,0.05043541220612746,4.93859649122807,1.0,5
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,53578.497394405844,109231.72873892401,-0.0016395178438384844,0.01881453894695606,-1.3833205789668053,-0.367678738704703,-0.07563354430195113,0.0667930666140717,4.874269005847953,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,54430.90101641398,102116.12969324001,-0.001639846330482191,0.015675148997553966,-1.6607021392248598,-0.3590611425988648,-0.0835034696612148,0.05358625060694244,4.906432748538012,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,57560.71891017133,102157.01055605702,-0.001249819167581662,0.015111525642237146,-1.3129226444140703,-0.29129235787430696,-0.08237238157513993,0.05619500099360719,4.856725146198831,0.9766081871345029,5
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_1d,342,2022-01-04,2023-06-02,56667.22278852204,102115.30199746201,-0.0015188457755832205,0.015576354371376519,-1.5479186359956052,-0.3389087889797828,-0.08233561004933854,0.046337290681262244,4.9035087719298245,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_2d,342,2022-01-04,2023-06-02,74405.55586497509,103404.21432017101,-0.0006109377544113922,0.014611448145994726,-0.6637491432315888,-0.16557142223111432,-0.0532841646653861,0.04567997860443551,4.883040935672515,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_3d,342,2022-01-04,2023-06-02,76545.46935217718,107580.00878441,-0.000563859838834779,0.015453701990415321,-0.5792137995591148,-0.15844810883586047,-0.07334156928693936,0.038772258833146944,4.921052631578948,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_5d,342,2022-01-04,2023-06-02,66098.62740415613,102224.70931039006,-0.00039632352860980336,0.017147093649723822,-0.366910049077158,-0.12824308238594873,-0.08526652929727818,0.04541127318835536,4.89766081871345,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,64759.25576228149,102115.30199746201,-0.0005178422112046327,0.01778497395197359,-0.4622154790619324,-0.1568379516638858,-0.0682993571100049,0.04813478404991156,4.891812865497076,1.0,5
