sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,random_hash,protect_3pct_target6pct_3d,31,3,0.0967741935483871,31,1.0,-0.37600237382903223,-0.4128640354,0.19099952048022845,-0.6108328124,0.0788730868,-0.4308271055612904,-0.4355743928,-0.6266162472,895.6129032258065,27764,1961,0
primary_development_2022_2023_partial,sector_leader,momentum_trail_4pct_5d,10,0,0.0,10,1.0,-0.6346790493,-0.6346790493,0.06350485620000001,-0.6981839055,-0.5711741931,-0.6423024858499999,-0.64230248585,-0.7053246949,823.0,8230,15,0
primary_development_2022_2023_partial,sector_leader,next_open_2d,5,0,0.0,5,1.0,-0.3787117127,-0.3787117127,0.0,-0.3787117127,-0.3787117127,-0.4172713278,-0.4172713278,-0.4172713278,830.0,4150,0,0
primary_development_2022_2023_partial,sector_leader,next_open_3d,10,10,1.0,10,1.0,0.3431690716,0.3431690716,0.1210954529,0.2220736187,0.4642645245,-0.32886028555,-0.32886028555,-0.3681686265,554.5,5545,1200,0
primary_development_2022_2023_partial,sector_leader,next_open_5d,10,10,1.0,10,1.0,0.21503077104999999,0.21503077105,0.07527751665,0.1397532544,0.2903082877,-0.25440399805,-0.25440399805,-0.2698743643,317.5,3175,0,0
primary_development_2022_2023_partial,trend_structure,fast_failure_2pct_target4pct_2d,3,0,0.0,3,1.0,-0.6605833718333333,-0.6855309959,0.04551862883922721,-0.6995014891,-0.5967176305,-0.6695107672666666,-0.7002111473,-0.7007884515,1354.6666666666667,4064,12,0
primary_development_2022_2023_partial,trend_structure,momentum_trail_4pct_5d,65,1,0.015384615384615385,65,1.0,-0.3782502627692308,-0.3815960278,0.16214423045929346,-0.6852033898,0.0151638783,-0.440996805696923,-0.4189321359,-0.721527167,625.0307692307692,40627,1664,0
primary_development_2022_2023_partial,trend_structure,next_open_2d,8,0,0.0,8,1.0,-0.4894178212875,-0.49199170985,0.048435900816909704,-0.5561239257,-0.4112687806,-0.5151054841375,-0.511250988,-0.5650252376,830.0,6640,4,0
primary_development_2022_2023_partial,trend_structure,next_open_3d,23,4,0.17391304347826086,23,1.0,-0.2387742348608696,-0.2661995531,0.2159205476696183,-0.574353995,0.1453532342,-0.402720169,-0.3942501225,-0.6220743,541.2173913043479,12448,540,0
primary_development_2022_2023_partial,trend_structure,next_open_5d,60,7,0.11666666666666667,60,1.0,-0.223290411365,-0.21669939765000001,0.18024016822217762,-0.5651786689,0.187264204,-0.351892068785,-0.33143584800000003,-0.5843628302,334.3666666666667,20062,2963,0
primary_development_2022_2023_partial,trend_structure,protect_3pct_target6pct_3d,22,0,0.0,22,1.0,-0.45441383727272733,-0.5180690403,0.14651039688456677,-0.6917268198,-0.2113779571,-0.4896162532636364,-0.53455566195,-0.7102731545,897.5454545454545,19746,702,0
supplemental_2023_09_legacy,flow_quality,fast_failure_2pct_target4pct_2d,98,16,0.16326530612244897,98,1.0,-0.030722923598979598,-0.032109122399999995,0.0328436161921732,-0.1097413624,0.0631705561,-0.06122712675510204,-0.05742463345,-0.1342649794,65.15306122448979,6385,10,0
supplemental_2023_09_legacy,flow_quality,momentum_trail_4pct_5d,109,15,0.13761467889908258,109,1.0,-0.02626889391559633,-0.0265964618,0.02753685604330162,-0.089743661,0.05689999,-0.0580377981559633,-0.055208336,-0.0966141117,26.706422018348626,2911,6,0
supplemental_2023_09_legacy,flow_quality,next_open_1d,102,13,0.12745098039215685,102,1.0,-0.039418590470588245,-0.0427510582,0.035733811773567783,-0.1352230536,0.0503057979,-0.06826859339509804,-0.06496647075,-0.1473068615,95.58823529411765,9750,3,0
supplemental_2023_09_legacy,flow_quality,next_open_2d,108,31,0.28703703703703703,108,1.0,-0.02146153991574074,-0.022564335499999998,0.03527591048975375,-0.0904589734,0.0752456231,-0.058147779397222224,-0.05457136755,-0.1236259125,48.148148148148145,5200,2,0
supplemental_2023_09_legacy,flow_quality,next_open_3d,109,38,0.3486238532110092,109,1.0,-0.014854420225688074,-0.0145487821,0.03692098604359249,-0.1004562989,0.0806692331,-0.05065645158165137,-0.0453753116,-0.1136229552,34.08256880733945,3715,6,0
supplemental_2023_09_legacy,flow_quality,next_open_5d,109,25,0.22935779816513763,109,1.0,-0.02383639786146789,-0.0294892198,0.031314947406303396,-0.0824823299,0.0633787884,-0.06023300117706422,-0.0569083478,-0.1106253117,20.0,2180,5,0
