sample_group,selection_ranker,selection_seed,strategy_id,policy_id,trade_row_count,distinct_signal_count,distinct_symbol_count,total_entry_notional,total_buy_cost,total_sell_cost,total_cost,mean_cost_rate,total_pnl,total_proceeds,mean_pnl,mean_trade_net_return,median_trade_net_return,trade_win_rate,mean_holding_trading_days,max_holding_trading_days,total_exit_attempt_count
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_5d,214,214,212,3837143.0,3885.74347307069,7741.311356119175,11627.054829189876,0.0030337521850199254,-2163.9224275901925,3838864.821045481,-10.111787044813983,0.0007199080016760277,-0.004376747461294587,0.4766355140186916,5.0,5,214.0
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,831,831,745,11412141.5,12371.137557349592,23774.229985021982,36145.36754237163,0.003204793858827391,-36514.17042628662,11387998.467131056,-43.94003661406332,-0.002676310922581945,-0.005778630869656769,0.44404332129963897,1.6630565583634176,3,1064.0
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,1247,1247,1030,17745417.099999998,18943.714188228358,36695.18276274619,55638.896950974566,0.0031550924521124564,-44550.84479999753,17719809.969388213,-35.72641924618888,-0.0022148407122183082,-0.0033578405842399866,0.43785084202085006,1.2582197273456295,2,1250.0
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,595,595,534,10897491.1,11111.025670996862,22032.244378048985,33143.270049045816,0.003049049517239387,-15038.949480209345,10893563.1761908,-25.275545344889654,-0.0010318523937421582,-0.00301625293001375,0.48403361344537815,2.788235294117647,5,596.0
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_1d,1520,1520,1223,20534813.1,22269.12287992013,42816.29479548937,65085.41767540944,0.0031949575937590745,-49066.51865672294,20508015.704223204,-32.28060437942299,-0.0021745189848594412,-0.0033803810992193086,0.4039473684210526,1.0,1,1520.0
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_2d,607,607,566,9798167.1,10147.47051746895,19950.313852090574,30097.78436955949,0.0031245248992919114,-24137.45184352114,9784177.118673928,-39.76515954451588,-0.001954724703139759,-0.003068606128494564,0.4464579901153213,2.0016474464579903,3,847.0
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_3d,555,555,514,9014840.6,9242.715283213556,18268.07678312145,27510.79206633496,0.003056300305478382,-20549.12491253629,9003534.190370684,-37.025450292858174,-0.001976536799042325,-0.004472526285650808,0.44144144144144143,3.0,3,555.0
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_5d,335,335,316,6253114.0,6324.371682067542,12586.914658072634,18911.286340140177,0.0030261250185695315,-13335.048538904774,6246103.323143162,-39.806115041506786,-0.001549804206144216,-0.003016252930013572,0.4835820895522388,5.0,5,335.0
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,826,826,722,13216144.400000002,13703.815147162804,26921.994923530317,40625.81007069309,0.0030889966515714666,-35635.998903813175,13194212.216243334,-43.14285581575445,-0.002566963045590577,-0.0059698953569552425,0.4443099273607748,1.841404358353511,3,832.0
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,812,812,722,13138470.6,13647.574584983164,26798.320013162334,40445.894598145496,0.003097859066511579,-28942.336259049174,13123175.83832594,-35.643271254986665,-0.0021585753529931146,-0.005372014510516942,0.4433497536945813,1.2586206896551724,2,813.0
