sample_group,strategy_id,ma_period,horizon,event_observed_count,event_mean,event_median,event_win_rate,event_profit_factor,daily_date_count,daily_mean,daily_median,positive_date_fraction,daily_bh_q_value,author_id,hypothesis_id,author_label,is_control
primary_development_2022_2023_partial,s0_liquidity_matched,40,3d,8335842,-0.0022113000277642,-0.0044254172368264,0.4476069723970296,0.8805827513295591,331,-0.0029130777438849,-0.002165749693085,0.459214501510574,0.0667110523050425,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,40,5d,8334117,-0.0027045586644426,-0.0054380757973903,0.449809499914628,0.8852921490657427,331,-0.0028025851979251,0.0002868092909856,0.5075528700906344,0.202668959463207,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,40,5m,8353157,-0.0028881833893469,-0.0030162529300138,0.1606571024583878,0.1855535516152016,331,-0.0029208419011739,-0.0029199984909659,0.0,5.726660329658447e-265,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,40,60m,8350299,-0.0026425781907282,-0.0030162529300138,0.3301333281598659,0.5553391776778286,331,-0.0029268675621474,-0.0028271301941499,0.1359516616314199,2.2600959281266783e-46,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,15m,7003303,-0.0028076960121114,-0.0030162529300138,0.2341262401469706,0.3287108167294295,331,-0.0028705956209924,-0.0028148478431382,0.0090634441087613,9.005725393057882e-152,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,1d,6990948,-0.0022690459497869,-0.0030162529300139,0.4316669212816345,0.8098090635181378,331,-0.0030280713139041,-0.0018664984913757,0.4471299093655589,0.0005507312032606,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,2d,6990060,-0.0021453012998322,-0.0038388467807314,0.442873737850605,0.8617063594027544,331,-0.0029049516899868,-0.0009883752036243,0.4712990936555891,0.0171456957941806,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,30m,7002954,-0.0027460893300085,-0.0030162529300138,0.2798953127494483,0.4310216145525041,331,-0.0028839990529607,-0.0026379261087347,0.0302114803625377,1.896465196172175e-93,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,3d,6989150,-0.0022668640958145,-0.0045595714239302,0.4458088608772168,0.8776585609552092,331,-0.0028078090273851,-0.0021693630613009,0.4743202416918429,0.0712972077195381,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,5d,6987183,-0.002756543644448,-0.005527547003238,0.4488475541573764,0.8834349751388884,331,-0.0026570080542771,0.0002053781652701,0.5075528700906344,0.2097150036945636,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,5m,7003443,-0.0028915538000814,-0.0030162529300138,0.1620191668583581,0.18753553912139,331,-0.0029148330526213,-0.0029287275556979,0.0,5.844186451445427e-261,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,60,60m,7001195,-0.0026554680568671,-0.0030162529300139,0.3310377728373513,0.5548724748137589,331,-0.0029069923544559,-0.0028302244911074,0.1299093655589124,7.829440625883873e-47,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,15m,5117723,-0.002805110356184,-0.0030162529300138,0.23528686488112,0.3326706627112889,331,-0.002855382135777,-0.0028154192890959,0.0090634441087613,3.2968689039309238e-152,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,1d,5108671,-0.0025342034809684,-0.0030162529300139,0.4296549924628147,0.7927632288495648,331,-0.0029782063671727,-0.001887639374627,0.4501510574018127,0.0006114960088914,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,2d,5107842,-0.0024726888354076,-0.0042474770696495,0.4399862016092118,0.8444641478270077,331,-0.0027911320569753,-0.000919788636446,0.4712990936555891,0.0207919133856913,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,30m,5117382,-0.0027493572354156,-0.0030162529300138,0.2807976813143908,0.4345479772021074,331,-0.002861542257916,-0.0027330096056643,0.0332326283987915,2.225869222487996e-93,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,3d,5106719,-0.0025397265692046,-0.004723416880476,0.4445697912886924,0.8655182630386045,331,-0.0026839681041605,-0.0019075186347387,0.4803625377643504,0.0807136096906694,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,5d,5106040,-0.0028126160955539,-0.0054598405453815,0.4497393283248858,0.8822691519019396,331,-0.0024849322463993,0.0003635837768684,0.513595166163142,0.2235662975296561,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,5m,5117883,-0.0028841258315991,-0.0030162529300138,0.1640309088738449,0.1917187036927664,331,-0.0029020766061247,-0.002907937401214,0.0,1.148486078210897e-259,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,120,60m,5116113,-0.0026819602336936,-0.0030162529300139,0.3310607095660318,0.5554096146863775,331,-0.0028906953959099,-0.0028730976876718,0.1359516616314199,3.015430369878931e-46,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,15m,4317800,-0.002783766866736,-0.0030162529300138,0.2356922506832183,0.3347395261849679,331,-0.0028446144397009,-0.0027843240363779,0.0090634441087613,2.236836414596557e-151,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,1d,4310569,-0.0023388357721392,-0.0030162529300139,0.4313391109155195,0.8052698715487343,331,-0.0030331000970732,-0.0019983321992905,0.4410876132930513,0.0005507312032606,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,2d,4309632,-0.0020525680266749,-0.0035999670676425,0.4450890470462443,0.8675871746298005,331,-0.0028532928650402,-0.0012767618076952,0.4743202416918429,0.0189624986402539,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,30m,4317593,-0.0027235793535087,-0.0030162529300138,0.281488319996813,0.4360451995628115,331,-0.0028572081369968,-0.0026658985520411,0.0302114803625377,6.183989358212233e-92,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,3d,4308637,-0.0018653702973252,-0.0040746220882622,0.4506729158200145,0.898109202668574,331,-0.0027321402955556,-0.001523156804588,0.4743202416918429,0.077829607070198,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,5d,4308069,-0.0017101477196275,-0.0043923519597858,0.4590244492370015,0.9253864111718072,331,-0.0025766481069796,0.0005789830696387,0.5075528700906344,0.2173714778615457,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,5m,4317912,-0.0028795793018495,-0.0030162529300138,0.1639848148827488,0.1921192544597782,331,-0.0028991076674496,-0.0028786969315985,0.0,2.0608382137836472e-256,,,rule_or_control,True
primary_development_2022_2023_partial,s0_liquidity_matched,240,60m,4316465,-0.002648195317591,-0.0030162529300138,0.332038137689058,0.5579833960153375,331,-0.0029002723146615,-0.0028330788512891,0.1268882175226586,4.644056221927483e-46,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,15m,3905048,-0.003001252722953,-0.0030162529300138,0.2065301117937602,0.2619735962039243,331,-0.003001254929573,-0.0029862982506199,0.0,7.893808164748961e-201,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,1d,3898198,-0.0027980888261724,-0.003484673205791,0.4251025730350279,0.7689893851650045,331,-0.002802587625778,-0.0019364017250342,0.4441087613293051,0.0007867675247156,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,2d,3897607,-0.0026653361333916,-0.0043933023044198,0.4370807523693384,0.8324757327869111,331,-0.0026734189459677,-0.0013007344653309,0.4803625377643504,0.02231977467481,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,30m,3904558,-0.0029951941625397,-0.0030162529300138,0.2627649531649933,0.3813722694568976,331,-0.0029953013432032,-0.0029509027470994,0.0181268882175226,2.8350799846379557e-115,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,3d,3897018,-0.0025828082727169,-0.0047653472231191,0.4440454213965653,0.8635752549487403,331,-0.0025939408652495,-0.0021318844359338,0.4712990936555891,0.0822632407131589,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,5d,3896078,-0.0024296542759324,-0.0053055382275341,0.4515890082282747,0.8977899098495173,331,-0.0024485882654425,0.0003975588859479,0.5045317220543807,0.2235662975296561,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,5m,3905363,-0.0029995764655147,-0.0030162529300138,0.1255609273708999,0.1224030720221534,331,-0.0029995211650632,-0.0029892940425698,0.0,0.0,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,10,60m,3903696,-0.0029883955872491,-0.0030162529300139,0.3158629667883975,0.5092832564651688,331,-0.0029885559119935,-0.0028808410858127,0.1178247734138972,2.7711879844047734e-50,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,20,15m,3904101,-0.0029967331135123,-0.0030162529300138,0.2069608342612038,0.2621955943701479,331,-0.0029967691809958,-0.0029793781851747,0.0,5.685106837782884e-200,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,20,1d,3897247,-0.0028018439483376,-0.003502823816822,0.4250482455949033,0.7686045237579247,331,-0.0028069237179487,-0.0019128665083777,0.4441087613293051,0.0007867675247156,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,20,2d,3896647,-0.0026710412087933,-0.0044003118107219,0.4372756885599337,0.8320194352224171,331,-0.0026806393511001,-0.0012173117780902,0.4803625377643504,0.02231977467481,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,20,30m,3903659,-0.0029918783775624,-0.0030162529300138,0.2630444923596041,0.3815938057689655,331,-0.0029920439124038,-0.0029608550203727,0.0151057401812688,6.027656130382692e-114,,,rule_or_control,True
primary_development_2022_2023_partial,s0_random_matched,20,3d,3896080,-0.0025909565084428,-0.0047521503422074,0.4441933943861522,0.8630547310045352,331,-0.0026040294070326,-0.0019721966517962,0.4682779456193353,0.0822632407131589,,,rule_or_control,True
