sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_break_reclaim_stable3,next_open_5d,100000.0,86664.951461095,86664.951461095,-0.1333504854,-0.2465970818,1769178,337,335,1765935,2,2906,335,0.4835820896,-0.0015498042,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.0674592237, 'maximum_drawdown': -0.2365400645}, {'year': 2023, 'net_return': -0.0706577807, 'maximum_drawdown': -0.2465970818}]",0,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_near_reversal,momentum_trail_4pct_5d,100000.0,51614.5556448606,51614.5556448606,-0.4838544436,-0.491236379,2174833,595,583,2170181,12,4057,583,0.4579759863,-0.0052141573,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.4620436683, 'maximum_drawdown': -0.4664986829}, {'year': 2023, 'net_return': -0.0405437653, 'maximum_drawdown': -0.491236379}]",0,220,0,178,185,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_near_reversal,next_open_2d,100000.0,77661.3579832341,77661.3579832341,-0.2233864202,-0.2848270519,2174833,832,830,2170522,2,3479,830,0.434939759,-0.001296308,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.1780664733, 'maximum_drawdown': -0.2412745788}, {'year': 2023, 'net_return': -0.0551382142, 'maximum_drawdown': -0.2848270519}]",1,0,0,830,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_near_reversal,next_open_3d,100000.0,73174.874878451,73174.874878451,-0.2682512512,-0.2981935245,2174833,559,555,2170485,4,3789,555,0.4612612613,-0.0025058112,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.2415998446, 'maximum_drawdown': -0.2919090421}, {'year': 2023, 'net_return': -0.0351416155, 'maximum_drawdown': -0.2981935245}]",0,0,0,555,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_near_reversal,next_open_5d,100000.0,79008.4726684791,79008.4726684791,-0.2099152733,-0.3682736015,2174833,336,335,2170948,1,3549,335,0.447761194,-0.0032500531,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.1310785689, 'maximum_drawdown': -0.3682736015}, {'year': 2023, 'net_return': -0.090729382, 'maximum_drawdown': -0.2079906201}]",0,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_immediate,next_open_3d,100000.0,86367.0923032027,86367.0923032027,-0.136329077,-0.2493253237,2091935,558,555,2088003,3,3374,555,0.4324324324,-0.0010945375,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.2059948616, 'maximum_drawdown': -0.2493253237}, {'year': 2023, 'net_return': 0.0877397151, 'maximum_drawdown': -0.1901478828}]",0,0,0,555,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_immediate,next_open_5d,100000.0,67926.7888009599,67926.7888009599,-0.320732112,-0.323970497,2091935,337,335,2088120,2,3478,335,0.447761194,-0.005451841,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.3197560157, 'maximum_drawdown': -0.323970497}, {'year': 2023, 'net_return': -0.0014349209, 'maximum_drawdown': -0.3107759934}]",1,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_reclaim,momentum_trail_4pct_5d,100000.0,82505.1749745188,82505.1749745188,-0.1749482503,-0.2772966354,1981977,586,582,1977850,4,3541,582,0.4845360825,-0.0014206172,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.1635382709, 'maximum_drawdown': -0.2772966354}, {'year': 2023, 'net_return': -0.0136407667, 'maximum_drawdown': -0.2086343521}]",1,212,0,181,189,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_reclaim,next_open_2d,100000.0,57689.34037984,57689.34037984,-0.4231065962,-0.450661506,1981977,834,830,1977998,4,3145,830,0.4192771084,-0.0030294275,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.3701688872, 'maximum_drawdown': -0.413609617}, {'year': 2023, 'net_return': -0.0840506414, 'maximum_drawdown': -0.450661506}]",1,0,0,830,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_reclaim,next_open_3d,100000.0,59210.1817263548,59210.1817263548,-0.4078981827,-0.4998723454,1981977,619,554,1978061,65,3297,554,0.4259927798,-0.0045503509,240,0,0,0.0,"[{'year': 2022, 'net_return': -0.3491364585, 'maximum_drawdown': -0.3765496725}, {'year': 2023, 'net_return': -0.0902827098, 'maximum_drawdown': -0.4998723454}]",240,0,0,554,0,True,False
