sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,120,gross_return,5m,262941,0.00014207912594131888,0.0,0.00658853274129903,0.38309354570036624,1.0787163983413706,262942,331,3048,1,262942,262942
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,60,gross_return,5m,401143,0.00017697057363979867,0.0,0.006326601227725698,0.38229259889864714,1.1044455800686468,401147,331,3068,1,401147,401147
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,240,gross_return,5m,199064,7.189723788440631e-05,0.0,0.006492336258714814,0.3776674838242977,1.0399480513168047,199064,331,3033,1,199064,199064
primary_development_2022_2023_partial,s4_reclaim_vwap_support,10,gross_return,5m,902289,-6.0251488265391085e-06,0.0,0.006197154662105802,0.3642735309861918,0.9965947406964287,902304,331,3073,1,902304,902304
primary_development_2022_2023_partial,s4_reclaim_vwap_support,20,gross_return,5m,597538,6.488425762258765e-05,0.0,0.006424779458812852,0.36892883799858756,1.0360732167253528,597544,331,3071,1,597544,597544
primary_development_2022_2023_partial,s4_reclaim_vwap_support,40,gross_return,5m,394557,0.0001503375963654168,0.0,0.006759175872883011,0.3739130214392344,1.0814886788798146,394558,331,3070,1,394558,394558
primary_development_2022_2023_partial,s4_reclaim_vwap_support,120,gross_return,5m,203926,0.0001488949818656432,0.0,0.007180702514650385,0.3772103606210096,1.0750751254148472,203928,331,3047,1,203928,203928
primary_development_2022_2023_partial,s4_reclaim_vwap_support,60,gross_return,5m,313367,0.0001565531274387012,0.0,0.006879173024838,0.37354603388359336,1.0833513068510756,313373,331,3067,1,313373,313373
primary_development_2022_2023_partial,s4_reclaim_vwap_support,240,gross_return,5m,154744,2.343177819971566e-05,0.0,0.00705073016586115,0.36701907666856226,1.011727862368002,154744,331,3032,1,154744,154744
primary_development_2022_2023_partial,s1_near_reversal,40,gross_return,5m,587379,2.067439560341304e-05,0.0,0.004950909876444553,0.36753612233328053,1.0143489959436576,587382,331,3070,1,587382,587382
primary_development_2022_2023_partial,s1_near_reversal,10,gross_return,5m,1262358,-5.015305877925985e-05,0.0,0.004734437953328034,0.36231085001243707,0.9646643804415418,1262374,331,3073,1,1262374,1262374
