sample_group,strategy_id,ma_period,control_id,horizon,matched_date_count,mean_daily_difference,median_daily_difference,std_daily_difference,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_liquidity_matched,2d,20,-0.0013318273038944203,-0.0007338697457433131,0.003361721367037181,0.45,0.10041150968507268,0.8238029479980469,0.4016460387402907
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_liquidity_matched,3d,20,-0.0011757651346743464,-0.0007143773462919704,0.004827630005332187,0.45,0.3017230124948894,0.8238029479980469,0.5455813376619918
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_liquidity_matched,5d,20,-0.0011314923908756782,-0.0004469834104616101,0.0065094586936120255,0.5,0.4579398141699758,1.0,0.9195060533020851
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,5m,20,-0.00024201973575924447,-0.0002612609961966702,0.0004766624423581499,0.3,0.03932105521942527,0.11531829833984375,0.0508860714604327
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,15m,20,-0.0003751543260534367,-0.00036546102746686876,0.0006254165603143089,0.3,0.01704272078024594,0.11531829833984375,0.021223010782947777
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,30m,20,-0.0004610149578053935,-0.00060669367416413,0.0005973112222937629,0.2,0.0032571624222476492,0.01181793212890625,0.004623069244480534
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,60m,20,-0.00047014217755876245,-0.00048439206933385473,0.0005028850251714915,0.2,0.0006454342403289467,0.01181793212890625,0.0009906665084118717
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,1d,20,-0.00045558092444687015,-0.00044266238326576523,0.0003084585949623534,0.05,3.587997741777884e-06,4.00543212890625e-05,6.400212188036226e-06
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,2d,20,-0.00046037133600939875,-0.0004358434932204531,0.00030706844791084656,0.05,2.9373021202751954e-06,4.00543212890625e-05,5.311286025703093e-06
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,3d,20,-0.00045746176689660356,-0.00044226479516003503,0.00030781919293268163,0.05,3.3036796213304376e-06,4.00543212890625e-05,5.973776849529011e-06
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,s0_random_matched,5d,20,-0.00045742372856973844,-0.00044760262865996595,0.00031572958108614643,0.05,4.629079746290669e-06,4.00543212890625e-05,8.147180353471578e-06
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,5m,20,-0.00023034078248616413,-0.00023274098445358427,0.00018508178716181747,0.1,3.1058975583591566e-05,0.0004024505615234375,0.0002733189851356058
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,15m,20,-0.0002944865930911195,-0.00035393736088489155,0.00033685187827011814,0.3,0.0011806170291035493,0.11531829833984375,0.009740090490104282
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,30m,20,-0.0003391798262156967,-0.0005009481611786407,0.000462560203744727,0.15,0.0047541538546286115,0.0025768280029296875,0.04827294683161359
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,60m,20,-0.0004232094236747602,-0.0005773591945101773,0.0005526790031728351,0.15,0.0034578237722874237,0.0025768280029296875,0.03260233842442428
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,1d,20,-0.00033523210848976327,-0.00029561917276495295,0.001271564230390529,0.3,0.2647472996461004,0.11531829833984375,0.5350509480248847
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,2d,20,-0.0006765220323535195,-0.0009710624800756717,0.002077998264332272,0.35,0.17206689331201247,0.26317596435546875,0.5457819846589869
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,3d,20,-0.0010183848669043825,-0.0005057233704525363,0.002294810475504541,0.4,0.06809954918239311,0.5034446716308594,0.4259031662627416
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_liquidity_matched,5d,20,-0.0005634491953877316,-0.0010288145266157997,0.00347105515808253,0.4,0.4878009798422175,0.5034446716308594,0.9195060533020851
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,5m,20,-0.0006057886696129898,-0.0006382411460924139,0.00025902981084916134,0.0,3.858073368002048e-09,1.9073486328125e-06,1.2100962593807712e-07
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,15m,20,-0.0013067283655773902,-0.0013954504336807718,0.0005269559531524543,0.05,1.4818036712776313e-09,4.00543212890625e-05,2.794258351552105e-08
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,30m,20,-0.002131635807825417,-0.0020647981068888273,0.0007143191821726982,0.0,6.561225537040669e-11,1.9073486328125e-06,1.0826022136117105e-09
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,60m,20,-0.002494647960676207,-0.002295389996418505,0.0007223957997867583,0.0,5.175386629524048e-12,1.9073486328125e-06,9.759300501388205e-11
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,1d,20,-0.0024388777835878126,-0.0023354924707476347,0.0005025497979665514,0.0,1.1461346848171329e-14,1.9073486328125e-06,2.521496306597692e-13
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,2d,20,-0.002441011595902006,-0.0023275742114991045,0.0005111952126093159,0.0,1.5399383144135423e-14,1.9073486328125e-06,3.3661064864217413e-13
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,3d,20,-0.00243901131999304,-0.0023252918894489036,0.0005105615253941786,0.0,1.5281693778362615e-14,1.9073486328125e-06,3.361972631239775e-13
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,s0_random_matched,5d,20,-0.002433495921558073,-0.0023221381903695652,0.0005007553488121933,0.0,1.1178545283936464e-14,1.9073486328125e-06,2.459279962466022e-13
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,5m,20,-0.0002802382779139782,-0.00026234835135716036,0.0001956674005688375,0.0,5.382007559661737e-06,1.9073486328125e-06,8.880312473441866e-05
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,15m,20,-0.00037912804981734606,-0.000351034336934388,0.0003522541743407734,0.15,0.0001589624273835475,0.0025768280029296875,0.0021976568888016925
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,30m,20,-0.0005276759722256882,-0.00048238927042492286,0.00040163543287080275,0.1,1.6110180340999136e-05,0.0004024505615234375,0.002126543805011886
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,60m,20,-0.0005534931377591288,-0.0006439850060223126,0.0006240222399325577,0.25,0.0010399769897142758,0.04138946533203125,0.021510049166048924
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,1d,20,-0.0006350521455411837,-0.0006535653580356405,0.0019282334876731821,0.3,0.1673819319159796,0.11531829833984375,0.3945431252305234
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,2d,20,-0.0006564283482782517,-0.0008496650303648354,0.0025576459331475166,0.35,0.27720212170604464,0.26317596435546875,0.562933539464583
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,3d,20,-0.0008927804409347703,-0.0009969094454835255,0.003060056896733397,0.25,0.21881890690963252,0.04138946533203125,0.46542375066644526
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_liquidity_matched,5d,20,-0.00023840910550859874,-0.0007133046268331975,0.005046289680569691,0.45,0.8390332064964453,0.8238029479980469,0.9349837888662906
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,5m,20,-0.0006314007038662381,-0.000681899025769265,0.00020224602653041426,0.0,3.012396910670052e-11,1.9073486328125e-06,3.976363922084469e-09
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,15m,20,-0.0013668681337560694,-0.0013422559751241374,0.00046279442088822714,0.0,7.832097638683337e-11,1.9073486328125e-06,6.204298974822908e-09
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,30m,20,-0.002372654580800766,-0.0022918705673504918,0.000528212171169558,0.0,4.684500614234847e-14,1.9073486328125e-06,1.5458852026974994e-12
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,60m,20,-0.002640129632998353,-0.002461629056708977,0.0005620343068810133,0.0,2.0763238434477954e-14,1.9073486328125e-06,6.851868683377725e-13
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,1d,20,-0.0026405592145750745,-0.0025901188078115128,0.00039727456113615336,0.0,3.4625723699940244e-17,1.9073486328125e-06,1.142648882098028e-15
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,2d,20,-0.002641059705944209,-0.0025890214070792214,0.000401064634176128,0.0,4.1167072555210294e-17,1.9073486328125e-06,1.3585133943219398e-15
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,3d,20,-0.0026387409173546424,-0.0025728473609655,0.00039197528787645865,0.0,2.7318854526324863e-17,1.9073486328125e-06,9.015221993687205e-16
