sample_group,strategy_id,ma_period,horizon,gross_observed_count,gross_mean,gross_median,gross_win_rate,gross_profit_factor,net_observed_count,net_mean,net_median,net_win_rate,net_profit_factor,mean_cost_drag,median_cost_drag,win_rate_change,observed_count_difference
primary_development_2022_2023_partial,s1_touch_reclaim,20,60m,760265,0.0002041760328526,0.0,0.4278021479352594,1.0471614785762002,760265,-0.0028126927437156,-0.003016252930014,0.3244947485416269,0.5439490855669374,0.0030168687765681997,0.003016252930014,-0.10330739939363248,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,15m,510052,0.0002449736979164,0.0,0.4068643981397975,1.0985684246724912,510052,-0.002772018134728,-0.0030162529300138,0.2430693341071106,0.3808644110606612,0.0030169918326443997,0.0030162529300138,-0.16379506403268693,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,1d,509249,0.0007732353334184,0.0,0.4743475195827581,1.074809613093841,509249,-0.0022453498699354,-0.0030162529300139,0.4306164567824384,0.8119791816017693,0.0030185852033538,0.0030162529300139,-0.04373106280031974,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,2d,509164,0.0008347956374007,-0.0006505475518306,0.4773884249475611,1.059733793155319,509164,-0.0021839752474004,-0.0036648382658851,0.4452592877736839,0.8595253391985802,0.0030187708848011,0.0030142907140545,-0.03212913717387722,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,30m,510023,0.0002989433750985,0.0,0.4204535873872355,1.093102914683684,510023,-0.002718211243744,-0.0030162529300139,0.2851361605260939,0.468827706972924,0.0030171546188425,0.0030162529300139,-0.13531742686114157,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,3d,509107,0.0008174686732247,-0.0011261261261261,0.4782314916117829,1.048058793110101,509107,-0.0022012499490697,-0.0041389823749122,0.4520562475078912,0.8814150943245136,0.0030187186222944,0.0030128562487860997,-0.026175244103891715,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,5d,508944,0.0004279985510245,-0.0020340462270789,0.475808733377346,1.0193169079018207,508944,-0.0025895453308725,-0.0050441639592006,0.4557161495174321,0.8907110431197368,0.003017543881897,0.0030101177321217,-0.020092583859913915,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,5m,510071,0.0001425650915502,0.0,0.3788747056782291,1.0858358789408349,510071,-0.0028741178508335,-0.0030162529300138,0.1772772810059776,0.2449056164085069,0.0030166829423837,0.0030162529300138,-0.20159742467225153,0
primary_development_2022_2023_partial,s1_touch_reclaim,40,60m,509923,0.0003038635294669,0.0,0.4330242016931968,1.069318580052186,509923,-0.0027133059298064,-0.0030162529300139,0.3308205356495,0.562703806383874,0.0030171694592733,0.0030162529300139,-0.1022036660436968,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,15m,409094,0.0002820497499092,0.0,0.4074662546994089,1.1122962684141642,409094,-0.0027350539134891,-0.0030162529300138,0.2454985895662121,0.3921944479439454,0.0030171036633983,0.0030162529300138,-0.1619676651331968,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,1d,408494,0.0008393327229328,0.0,0.4768589012323314,1.080042150593651,408494,-0.0021794518468659,-0.0030162529300139,0.4340235107492399,0.8196196240351407,0.0030187845697987,0.0030162529300139,-0.042835390483091484,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,2d,408406,0.0009373757760499,0.0,0.4814326919780806,1.0664389177580271,408406,-0.0020817045163949,-0.0030162529300139,0.4500399112647708,0.8671285694631605,0.0030190802924448,0.0030162529300139,-0.03139278071330981,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,30m,409073,0.0003885529025959,0.0,0.4232105272164137,1.1199986933103698,409073,-0.0026288720012492,-0.0030162529300138,0.288679526637055,0.4881071624808838,0.0030174249038450998,0.0030162529300138,-0.13453100057935874,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,3d,408296,0.0007787233063618,-0.0010183299389002,0.4793924015910026,1.045255167586307,408296,-0.0022398784501064,-0.004031511328252,0.4538814977369359,0.8805762219535792,0.0030186017564682,0.0030131813893518,-0.02551090385406668,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,5d,408149,0.0002434674324457,-0.002232142857143,0.4750985546944866,1.0108067258377993,408149,-0.0027735198569242,-0.0052416630797238,0.4557428782135935,0.884759668937821,0.0030169872893699,0.0030095202225808,-0.01935567648089309,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,5m,409103,0.0001625087265948,0.0,0.3806498607930032,1.0964316924072113,409103,-0.0028542343708406,-0.0030162529300138,0.1799571257116178,0.2536432794576233,0.0030167430974354,0.0030162529300138,-0.20069273508138544,0
primary_development_2022_2023_partial,s1_touch_reclaim,60,60m,408998,0.0004409044059354,0.0,0.4363542120010367,1.100119196366688,408998,-0.0025766784032851,-0.0030162529300139,0.3352754781196974,0.5852826808038403,0.0030175828092205,0.0030162529300139,-0.10107873388133931,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,15m,267781,0.0002194648666497,0.0,0.4070751845724678,1.0820116334022212,267781,-0.0027974500249121,-0.0030162529300138,0.2508915867817358,0.3992571169672378,0.0030169148915618,0.0030162529300138,-0.156183597790732,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,1d,267351,0.0004838280798062,-0.0006718172657036,0.4708080388702492,1.0441064469143615,267351,-0.002533884198071,-0.0036860438249213,0.429977819420911,0.7985868318281786,0.0030177122778772,0.0030142265592177,-0.04083021944933818,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,2d,267261,0.0004663128261924,-0.0012222448563862,0.4736119373945319,1.0317236285897196,267261,-0.0025513466212498,-0.0042348111867708,0.4435439514182765,0.8432653105081863,0.0030176594474422003,0.0030125663303846003,-0.030067985976255374,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,30m,267768,0.0002897116413411,0.0,0.4200016432135281,1.0840419594453266,267768,-0.0027274151322605,-0.0030162529300139,0.2920438588628962,0.4897525913766979,0.0030171267736015996,0.0030162529300139,-0.12795778435063193,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,3d,267214,0.000362676911547,-0.0017076989103487,0.4733434625431302,1.020489159763741,267214,-0.0026546699437638,-0.0047188009885206,0.4480117059734894,0.8622073632567668,0.0030173468553108,0.0030111020781719003,-0.025331756569640818,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,5d,267208,-9.169852845987908e-05,-0.0024804538905955,0.4736310290111074,0.9960029462706298,267208,-0.0031076748725185,-0.0054892251442941,0.4539684440585611,0.873068142183869,0.003015976344058621,0.0030087712536985994,-0.019662584952546247,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,5m,267788,0.000137038125487,0.0,0.382754268301791,1.0764694745952803,267788,-0.0028796281461757,-0.0030162529300138,0.1865916321866551,0.2646474305946423,0.0030166662716627,0.0030162529300138,-0.1961626361151359,0
primary_development_2022_2023_partial,s1_touch_reclaim,120,60m,267711,0.0003011295617675,0.0,0.4317865160564937,1.0645200856413597,267711,-0.0027160316511698,-0.003016252930014,0.3365793710381717,0.5809607315484729,0.0030171612129373,0.003016252930014,-0.095207145018322,0
