sample_group,strategy_id,ma_period,event_trigger,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,s0_distance_only,20,distance_only,1048526,-0.0028601377470800693,-0.0030162529300138408,0.15940453267030416,-0.0027746707606730947,-0.0030162529300138408,0.22722933231855902,-0.00275075548787098,-0.0030162529300138408,0.26953957320341604,-0.0027805739414467935,-0.0030162529300139518,0.32151504801665365,-0.002436610724250946,-0.0030162529300139518,0.42486070634040474,-0.0023276950900117375,-0.00369597597486393,0.4406573521712379,-0.002251151536160279,-0.0038570573081611603,0.45012182188207644,-0.0024535894039233474,-0.004430414273375538,0.4568527288105626
primary_development_2022_2023_partial,s0_distance_only,40,distance_only,705367,-0.0028252579513355818,-0.0030162529300138408,0.16438934901511565,-0.00273142367354579,-0.0030162529300138408,0.23239460581383478,-0.002689091715688512,-0.0030162529300138408,0.2759548121283612,-0.002695384139059215,-0.0030162529300138408,0.3271358857740924,-0.0023010040404759942,-0.0030162529300138408,0.4305974430188508,-0.0022099224001565455,-0.0030162529300139518,0.44543027548991765,-0.0022156437636449053,-0.003642236864967785,0.45245436456932336,-0.002608905132697965,-0.004790245362522816,0.45556616345446227
primary_development_2022_2023_partial,s0_distance_only,60,distance_only,562790,-0.0028020731404499013,-0.0030162529300138408,0.16743782738793295,-0.0027007500742930357,-0.0030162529300138408,0.2352227274584957,-0.002635391589719972,-0.0030162529300138408,0.2779720590378102,-0.0025933871262131406,-0.0030162529300138408,0.3305659384703434,-0.002241794702887144,-0.0030162529300138408,0.43280788194870756,-0.0021448635679285383,-0.0030162529300139518,0.4483677370438794,-0.0022180423313423532,-0.0037294029636834036,0.45375442144295247,-0.0027801997581681135,-0.005014216350995748,0.4551285475674078
primary_development_2022_2023_partial,s0_distance_only,120,distance_only,365879,-0.0028322219351491268,-0.0030162529300138408,0.17404661103807542,-0.002757118665440932,-0.0030162529300138408,0.24031365817927386,-0.002722499876236954,-0.0030162529300138408,0.28144534186106895,-0.0027094288509944345,-0.0030162529300139518,0.3318150874996241,-0.002567586014420868,-0.0030162529300139518,0.42929601213139795,-0.002590672502829996,-0.003937041477897363,0.44339999780949146,-0.00270574328839826,-0.004426413816958741,0.44771001982714237,-0.0030782471440114886,-0.005236706709679628,0.4544177256792287
primary_development_2022_2023_partial,s0_distance_only,240,distance_only,279823,-0.002882616642070926,-0.0030162529300138408,0.16832783581049449,-0.002813540678176852,-0.0030162529300138408,0.23532270745479236,-0.0027916859047720775,-0.0030162529300138408,0.2764391805926837,-0.002797158383457478,-0.0030162529300139518,0.32689399761920934,-0.0026541449102845784,-0.0035542905700950422,0.4216810121145966,-0.0025156310713196992,-0.003988920000325802,0.43946162657502863,-0.0022073403741840526,-0.004220339581064603,0.4479179347631494,-0.0018195606795043979,-0.004726345120528497,0.4554189511984615
primary_development_2022_2023_partial,s0_liquidity_matched,10,liquidity_matched_stock,16239010,-0.0028900441028920122,-0.0030162529300138408,0.1574960922395878,-0.0028042601629547216,-0.0030162529300138408,0.22988925360341628,-0.0027592353909034095,-0.0030162529300138408,0.276126180278022,-0.002705546317288929,-0.0030162529300139518,0.3277978925590382,-0.00237799700646741,-0.0030162529300139518,0.42883424194167014,-0.0022436499349563458,-0.004262482613851315,0.43863176889470906,-0.0021980533476806895,-0.004653336258535923,0.44476120205987146,-0.002238381982983958,-0.005189277662075775,0.4521660093836436
primary_development_2022_2023_partial,s0_liquidity_matched,20,liquidity_matched_stock,11604391,-0.002889200302217116,-0.0030162529300138408,0.15863040727017147,-0.0027978887387888987,-0.0030162529300138408,0.23147416349853303,-0.002760970365604093,-0.0030162529300138408,0.2775915982465867,-0.0026787493942810655,-0.0030162529300139518,0.32822348178333094,-0.0022511853850229924,-0.0030162529300139518,0.43083729914640595,-0.002025608519540257,-0.0038524148649342616,0.44265390943933114,-0.001958620504801273,-0.0043101967938293795,0.4485651446685451,-0.0021872603596536887,-0.004978819361253883,0.45410108576646435
primary_development_2022_2023_partial,s0_liquidity_matched,40,liquidity_matched_stock,8353238,-0.0028881833893469972,-0.0030162529300138408,0.16065710245838788,-0.002791716346795158,-0.0030162529300138408,0.23317607683547856,-0.002726319410772668,-0.0030162529300138408,0.27938564290739437,-0.0026425781907282245,-0.0030162529300138408,0.3301333281598659,-0.0022109088018137345,-0.0030162529300139518,0.43300390417091716,-0.002095047547206347,-0.003731449305243495,0.44427151909977425,-0.0022113000277642148,-0.004425417236826434,0.4476069723970296,-0.0027045586644426412,-0.005438075797390307,0.44980949991462804
primary_development_2022_2023_partial,s0_liquidity_matched,60,liquidity_matched_stock,7003515,-0.002891553800081443,-0.0030162529300138408,0.1620191668583581,-0.002807696012111426,-0.0030162529300138408,0.23412624014697064,-0.0027460893300085797,-0.0030162529300138408,0.2798953127494483,-0.002655468056867132,-0.0030162529300139518,0.33103777283735136,-0.002269045949786976,-0.0030162529300139518,0.4316669212816345,-0.002145301299832261,-0.003838846780731431,0.442873737850605,-0.0022668640958145134,-0.004559571423930264,0.44580886087721683,-0.00275654364444802,-0.005527547003238098,0.4488475541573764
primary_development_2022_2023_partial,s0_liquidity_matched,120,liquidity_matched_stock,5117908,-0.002884125831599196,-0.0030162529300138408,0.16403090887384492,-0.00280511035618406,-0.0030162529300138408,0.23528686488112,-0.0027493572354156466,-0.0030162529300138408,0.2807976813143908,-0.0026819602336936197,-0.0030162529300139518,0.33106070956603184,-0.0025342034809684843,-0.0030162529300139518,0.4296549924628147,-0.002472688835407699,-0.004247477069649563,0.43998620160921187,-0.0025397265692046317,-0.004723416880476061,0.4445697912886924,-0.00281261609555398,-0.005459840545381511,0.44973932832488583
primary_development_2022_2023_partial,s0_liquidity_matched,240,liquidity_matched_stock,4317956,-0.00287957930184952,-0.0030162529300138408,0.16398481488274888,-0.002783766866736046,-0.0030162529300138408,0.2356922506832183,-0.0027235793535087087,-0.0030162529300138408,0.28148831999681306,-0.0026481953175910367,-0.0030162529300138408,0.33203813768905804,-0.002338835772139236,-0.0030162529300139518,0.4313391109155195,-0.0020525680266749503,-0.00359996706764254,0.4450890470462443,-0.0018653702973252338,-0.004074622088262259,0.45067291582001456,-0.0017101477196275366,-0.004392351959785823,0.45902444923700153
primary_development_2022_2023_partial,s0_random_matched,10,random_minute,3905499,-0.002999576465514789,-0.0030162529300138408,0.12556092737089997,-0.0030012527229530666,-0.0030162529300138408,0.20653011179376027,-0.0029951941625397235,-0.0030162529300138408,0.2627649531649933,-0.002988395587249189,-0.0030162529300139518,0.3158629667883975,-0.002798088826172413,-0.0034846732057910446,0.42510257303502796,-0.0026653361333916835,-0.0043933023044198105,0.4370807523693384,-0.0025828082727169985,-0.004765347223119165,0.4440454213965653,-0.002429654275932465,-0.005305538227534101,0.4515890082282747
primary_development_2022_2023_partial,s0_random_matched,20,random_minute,3904539,-0.0030001820718133444,-0.0030162529300138408,0.12508135013173535,-0.0029967331135123962,-0.0030162529300138408,0.2069608342612038,-0.0029918783775624443,-0.0030162529300138408,0.26304449235960414,-0.002992410821710982,-0.0030162529300139518,0.31608893963390305,-0.002801843948337643,-0.003502823816822098,0.4250482455949033,-0.002671041208793367,-0.00440031181072198,0.4372756885599337,-0.0025909565084428344,-0.004752150342207495,0.44419339438615224,-0.002441736208286247,-0.005295072923316324,0.4516244561462692
primary_development_2022_2023_partial,s0_random_matched,40,random_minute,3902386,-0.002998516679438358,-0.0030162529300138408,0.12517659660888383,-0.0029952414880574808,-0.0030162529300138408,0.20685602400838551,-0.0029969407020135216,-0.0030162529300138408,0.2627999242347932,-0.0029931637631101654,-0.0030162529300139518,0.3157676820867429,-0.0028010263311491553,-0.0034921401601188395,0.42510157628734757,-0.0026697975216638282,-0.0043933023044199215,0.4371589259619787,-0.0025918594043196747,-0.004755178070252164,0.4441619248835816,-0.00244514989374085,-0.005295941376057933,0.45174328743596454
primary_development_2022_2023_partial,s0_random_matched,60,random_minute,3900109,-0.0029936297210877566,-0.0030162529300138408,0.1255952248168396,-0.0029903020884991132,-0.0030162529300138408,0.207168853628084,-0.0029886259117298027,-0.0030162529300138408,0.26304835882813665,-0.0029868668362339275,-0.0030162529300139518,0.3161494546989012,-0.0027948388559665524,-0.0034530954139804226,0.42513621195890905,-0.0026656868927271535,-0.004385736099066118,0.4373146307825433,-0.0025846956510050304,-0.00474113830556766,0.44413712010368855,-0.0024395453787205285,-0.005272614831275946,0.4518145587244243
