sample_group,strategy_id,ma_period,signal_count,recent_high_breakout_true_count,recent_high_breakout_true_fraction,prior_acceleration_true_count,prior_acceleration_true_fraction,breakout_recent_true_count,breakout_recent_true_fraction,daily_trend_positive_true_count,daily_trend_positive_true_fraction,market_supportive_true_count,market_supportive_true_fraction,sector_strong_true_count,sector_strong_true_fraction,leader_sync_true_count,leader_sync_true_fraction,auction_confirmed_true_count,auction_confirmed_true_fraction,volume_normal_true_count,volume_normal_true_fraction,not_repeated_cross_true_count,not_repeated_cross_true_fraction,sector_strength_rank_finite_count,sector_strength_rank_invalid_count,sector_strength_rank_finite_mean,sector_strength_rank_finite_median,sector_breadth_finite_count,sector_breadth_invalid_count,sector_breadth_finite_mean,sector_breadth_finite_median,leader_relative_return_finite_count,leader_relative_return_invalid_count,leader_relative_return_finite_mean,leader_relative_return_finite_median,vwap_deviation_finite_count,vwap_deviation_invalid_count,vwap_deviation_finite_mean,vwap_deviation_finite_median,volume_acceleration_5_20_finite_count,volume_acceleration_5_20_invalid_count,volume_acceleration_5_20_finite_mean,volume_acceleration_5_20_finite_median,amount_curve_surprise_finite_count,amount_curve_surprise_invalid_count,amount_curve_surprise_finite_mean,amount_curve_surprise_finite_median
supplemental_2023_09_legacy,s2_first_touch_reclaim,240,1505,430.0,0.2857142857142857,739.0,0.49102990033222593,0.0,0.0,531.0,0.35282392026578074,400.0,0.26578073089701,392.0,0.26046511627906976,436.0,0.28970099667774085,622.0,0.4132890365448505,487.0,0.32358803986710966,1505.0,1.0,1505,0,0.5374686005996272,0.5487804878048781,1505,0,0.4263568630590424,0.37606837606837606,1505,0,0.008761038947177988,0.0027656944917042554,1505,0,1.698143574603084,0.8417531077176512,878,627,3.1467049021231857,1.0971818583749766,1505,0,6.313405771666908,1.5161507731376824
supplemental_2023_09_legacy,s2_reclaim_acceleration,10,43469,8693.0,0.19998159607996505,43469.0,1.0,0.0,0.0,5052.0,0.11622075502081944,16024.0,0.368630518300398,9431.0,0.2169592123122225,5910.0,0.13595895925832202,18824.0,0.43304423842278406,20520.0,0.47206054889691507,43469.0,1.0,43469,0,0.5409885598315318,0.5487804878048781,43469,0,0.48539813813263827,0.4857142857142857,43469,0,0.0008132253511000697,0.0010199613199888009,43469,0,1.7972583257469852,0.8959286956735897,29378,14091,0.9530153269855429,0.3108204817412832,43469,0,1.4300691988531875,0.17858972612364798
supplemental_2023_09_legacy,s2_reclaim_acceleration,20,31828,6964.0,0.2188010556742491,31828.0,1.0,0.0,0.0,2794.0,0.08778434083197185,11715.0,0.3680721377403544,7587.0,0.23837501570943823,5744.0,0.18047002639185622,14248.0,0.44765615181601104,15082.0,0.4738594947844665,31828.0,1.0,31828,0,0.5487176500519434,0.5609756097560976,31828,0,0.48443694852446445,0.4827586206896552,31828,0,0.0011101040477127502,0.0012424977191458455,31828,0,1.8130773555474262,0.8984780652804955,22244,9584,1.1452222776494227,0.3839088352072031,31828,0,1.2427977490263942,0.18588682694369385
supplemental_2023_09_legacy,s2_reclaim_acceleration,40,21794,4786.0,0.2196017252454804,21794.0,1.0,0.0,0.0,1107.0,0.05079379645774066,8498.0,0.38992383224740756,5498.0,0.2522712673212811,4573.0,0.20982839313572543,9560.0,0.43865284023125634,10167.0,0.4665045425346426,21794.0,1.0,21794,0,0.5491850520505572,0.5609756097560976,21794,0,0.49540480481621285,0.5,21794,0,0.001743216503210692,0.0014183812790632532,21794,0,1.7398154434733841,0.8468586909617538,15219,6575,1.247005862355595,0.4021215043394406,21794,0,1.3208187317362403,0.23525280825716188
supplemental_2023_09_legacy,s2_reclaim_acceleration,60,18410,4262.0,0.23150461705594785,18410.0,1.0,0.0,0.0,958.0,0.05203693644758284,7271.0,0.39494839760999456,4742.0,0.25757740358500814,4054.0,0.22020640956002172,8162.0,0.4433460076045627,8699.0,0.47251493753394896,18410.0,1.0,18410,0,0.5513480213563613,0.573170731707317,18410,0,0.49952257186433824,0.5081967213114754,18410,0,0.0022152296100532765,0.001590353401910043,18410,0,1.777129748047527,0.8332843214915733,12874,5536,1.2758100742198477,0.4081183996718669,18410,0,1.5179985514511023,0.3358479994131365
supplemental_2023_09_legacy,s2_reclaim_acceleration,120,10452,2644.0,0.2529659395331037,10452.0,1.0,0.0,0.0,1644.0,0.15729047072330654,4186.0,0.40049751243781095,3142.0,0.3006123230003827,2803.0,0.26817833907386146,4919.0,0.4706276310753923,4948.0,0.47340221967087637,10452.0,1.0,10452,0,0.5772882771881606,0.6097560975609756,10452,0,0.523315772753588,0.5454545454545454,10452,0,0.00422103652663605,0.002777526572673791,10452,0,1.7185106187500077,0.8880039813004658,7226,3226,1.2323707022695094,0.39771733452358504,10452,0,2.5750625885886365,0.6968525390481146
supplemental_2023_09_legacy,s2_reclaim_acceleration,240,7347,1741.0,0.23696746971553015,7347.0,1.0,0.0,0.0,1288.0,0.17530965019735947,2657.0,0.36164420852048457,1959.0,0.2666394446712944,1843.0,0.25085068735538313,3205.0,0.4362324758404791,3407.0,0.4637266911664625,7347.0,1.0,7347,0,0.561488511985983,0.5853658536585366,7347,0,0.49732152326588963,0.5020408163265306,7347,0,0.004374603272085656,0.002606662902439407,7347,0,1.6154560546806158,0.8221229773636001,5091,2256,1.3029781751703013,0.4386411889596602,7347,0,2.853083993434871,0.602832935656819
supplemental_2023_09_legacy,s2_reclaim_bull_stack,10,2727,506.0,0.18555188852218554,341.0,0.12504583791712504,0.0,0.0,2664.0,0.976897689768977,702.0,0.25742574257425743,563.0,0.20645397873120647,218.0,0.07994132746607994,1066.0,0.3909057572423909,1344.0,0.49284928492849284,2706.0,0.9922992299229924,2727,0,0.5438165767796298,0.5365853658536586,2727,0,0.41771942115461086,0.37254901960784315,2727,0,-0.0006215381108222928,0.0007250503445993539,2727,0,1.5438187737707414,0.6947277734980704,1804,923,0.8279356477678724,0.32101369032477856,2725,2,5.5635582841361595,0.7306605124614269
supplemental_2023_09_legacy,s2_reclaim_bull_stack,20,2032,305.0,0.1500984251968504,195.0,0.09596456692913385,0.0,0.0,1980.0,0.9744094488188977,514.0,0.2529527559055118,292.0,0.1437007874015748,105.0,0.05167322834645669,671.0,0.3302165354330709,989.0,0.4867125984251969,2018.0,0.9931102362204725,2032,0,0.49118974457461134,0.47560975609756095,2032,0,0.35811435892546123,0.2993422348261058,2032,0,-0.00320809224829956,-0.0008502313999279049,2032,0,1.4696872735274646,0.7846837572720847,1348,684,0.784655723566485,0.2686208556349552,2031,1,3.9235803488152743,0.5396861398321426
supplemental_2023_09_legacy,s2_reclaim_bull_stack,40,900,114.0,0.12666666666666668,83.0,0.09222222222222222,0.0,0.0,859.0,0.9544444444444444,236.0,0.26222222222222225,99.0,0.11,26.0,0.028888888888888888,237.0,0.2633333333333333,426.0,0.47333333333333333,882.0,0.98,900,0,0.4484417344173438,0.43902439024390244,900,0,0.3178386535510007,0.2551020408163265,900,0,-0.008426196308881851,-0.0035956396742346415,900,0,1.4307925985284085,0.7758252641159112,614,286,0.9482698747406536,0.35701684836345204,900,0,3.147963623179153,0.5182504697574902
supplemental_2023_09_legacy,s2_reclaim_bull_stack,60,342,38.0,0.1111111111111111,37.0,0.10818713450292397,0.0,0.0,313.0,0.9152046783625731,96.0,0.2807017543859649,35.0,0.1023391812865497,10.0,0.029239766081871343,74.0,0.21637426900584794,173.0,0.5058479532163743,335.0,0.97953216374269,342,0,0.4361360718870353,0.4146341463414634,342,0,0.30445629554263304,0.21748310810810811,342,0,-0.011535015851593219,-0.006187384944876013,342,0,1.766843552586977,1.003629611819409,237,105,0.9379916944144066,0.3879148403256105,342,0,3.2366381490470504,0.5812284784075539
supplemental_2023_09_legacy,s2_reclaim_bull_stack,120,85,12.0,0.1411764705882353,22.0,0.25882352941176473,0.0,0.0,62.0,0.7294117647058823,25.0,0.29411764705882354,13.0,0.15294117647058825,0.0,0.0,22.0,0.25882352941176473,39.0,0.4588235294117647,83.0,0.9764705882352941,85,0,0.4424677187948351,0.4146341463414634,85,0,0.34398126814908625,0.2459016393442623,85,0,-0.013875780298952483,-0.007582144886202416,85,0,2.075097582866373,1.003569790010101,58,27,0.7585732136080442,0.12130695103787292,85,0,3.8943616951520137,1.0280051997279376
supplemental_2023_09_legacy,s2_reclaim_bull_stack,240,23,2.0,0.08695652173913043,6.0,0.2608695652173913,0.0,0.0,17.0,0.7391304347826086,5.0,0.21739130434782608,4.0,0.17391304347826086,0.0,0.0,2.0,0.08695652173913043,12.0,0.5217391304347826,23.0,1.0,23,0,0.49151643690349944,0.4878048780487805,23,0,0.3365344000971314,0.25229357798165136,23,0,-0.01828861581904647,-0.011122526711631558,23,0,1.679491065478177,0.6986158807897076,15,8,0.7720180335358363,0.5287277701778386,23,0,5.5163646848504815,2.418273730953469
supplemental_2023_09_legacy,s2_reclaim_daily_trend,10,21875,4220.0,0.1929142857142857,5052.0,0.23094857142857142,0.0,0.0,21875.0,1.0,5345.0,0.24434285714285714,3940.0,0.18011428571428573,1522.0,0.06957714285714285,8201.0,0.37490285714285715,10672.0,0.48786285714285715,21875.0,1.0,21875,0,0.5262528222996451,0.524390243902439,21875,0,0.40895426987873007,0.36363636363636365,21875,0,-0.0002870065800584435,0.00047659543632903043,21875,0,1.6065750794354594,0.8265412334935489,14550,7325,0.7636207707025299,0.2671844205009849,21875,0,3.2240209447975796,0.5071642108744729
supplemental_2023_09_legacy,s2_reclaim_daily_trend,20,15942,2929.0,0.18372851587002886,2794.0,0.1752603186551248,0.0,0.0,15942.0,1.0,3623.0,0.22726132229331325,2820.0,0.17689123071132856,1340.0,0.0840546982812696,5723.0,0.3589888345251537,7736.0,0.4852590641073893,15942.0,1.0,15942,0,0.5130954894419039,0.5,15942,0,0.38974008957270184,0.33401360544217684,15942,0,-0.001204293133102989,0.0,15942,0,1.5909541601963408,0.8370792069659765,10715,5227,0.8462068304273398,0.2830255057167985,15942,0,2.6037405363710944,0.46659900722496395
supplemental_2023_09_legacy,s2_reclaim_daily_trend,40,11667,2078.0,0.17810919688008914,1107.0,0.09488300334276163,0.0,0.0,11667.0,1.0,2684.0,0.23005056998371476,1739.0,0.14905288420330848,772.0,0.06616953801319962,3910.0,0.33513328190623126,5818.0,0.4986714665295277,11667.0,1.0,11667,0,0.47769401710473863,0.4634146341463415,11667,0,0.36246400984833493,0.3076923076923077,11667,0,-0.0018180747685174997,-0.0004853186944380459,11667,0,1.6726995747102604,0.8951528657946906,7999,3668,0.8312932606235527,0.29625801116394457,11667,0,2.0081221979509967,0.380828564994077
supplemental_2023_09_legacy,s2_reclaim_daily_trend,60,9555,1622.0,0.1697540554683412,958.0,0.10026164311878598,0.0,0.0,9555.0,1.0,2032.0,0.21266352694924123,1189.0,0.12443746729461015,366.0,0.038304552590266876,2900.0,0.3035060177917321,4784.0,0.5006802721088436,9555.0,1.0,9555,0,0.45959464461206717,0.45121951219512196,9555,0,0.33421458101553186,0.27450980392156865,9555,0,-0.0030697337209213164,-0.0012838241853874524,9555,0,1.6356014222551878,0.8046447720108025,6486,3069,0.7693826547856678,0.2967396524073731,9555,0,1.8818071656385211,0.32650344962060784
supplemental_2023_09_legacy,s2_reclaim_daily_trend,120,7357,1089.0,0.14802229169498438,1644.0,0.22346064972135382,0.0,0.0,7357.0,1.0,1190.0,0.16175071360608945,739.0,0.10044855239907571,188.0,0.025553894250373795,2043.0,0.27769471251868966,3716.0,0.505097186353133,7357.0,1.0,7357,0,0.43682141116639844,0.4146341463414634,7357,0,0.2983691428762383,0.23076923076923078,7357,0,-0.003908031272194335,-0.0019538386845719385,7357,0,1.6473898859662293,0.8289001270261693,5137,2220,0.8599537539708885,0.3085004775549187,7357,0,1.91298968012788,0.31703972693820837
supplemental_2023_09_legacy,s2_reclaim_daily_trend,240,5630,1102.0,0.19573712255772646,1288.0,0.22877442273534637,0.0,0.0,5630.0,1.0,1195.0,0.21225577264653642,951.0,0.1689165186500888,474.0,0.08419182948490231,1908.0,0.338898756660746,2722.0,0.4834813499111901,5630.0,1.0,5630,0,0.49660139496599237,0.4878048780487805,5630,0,0.37212182300173735,0.3157894736842105,5630,0,-0.0009270565086461627,-0.0005670319582534032,5630,0,1.6545426017077711,0.9521767290657035,3809,1821,1.023967261156113,0.33638902814581395,5630,0,3.29253669969813,0.6521198944792739
