sample_group,metric,horizon,strategy_id,ma_period,observed_count,positive_count,mean_exact,min_exact,max_exact,q01,q05,q25,q50,q75,q95,q99,positive_q99,tail_estimate_method
primary_development_2022_2023_partial,net_return,15m,s2_reclaim_daily_trend,60,166416,42336,-0.0027556898548865296,-0.1219225713879023,0.14876518922674276,-0.024909722599465146,-0.014007307564309547,-0.006347842117706288,-0.0030162529300138494,7.997697628608867e-05,0.009910326952346019,0.02585270859258487,0.04732066045992303,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,30m,s2_reclaim_daily_trend,60,166407,49937,-0.0026299294461429386,-0.11482751428365734,0.14876518922674276,-0.030789734996874516,-0.017373788360174197,-0.007397037035028654,-0.0030162529300138607,0.001086768128470373,0.014095592014538619,0.034878172504685216,0.0596922669480113,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,60m,s2_reclaim_daily_trend,60,166378,57800,-0.0025802398391928196,-0.1421302641490817,0.15422035189384897,-0.04028759829579488,-0.022754132236364688,-0.009198103387678711,-0.003017028116196097,0.0028292920182520402,0.01993333322073307,0.04573660575664031,0.07461281031803438,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,1d,s2_reclaim_daily_trend,60,166187,72150,-0.0028596653116128535,-0.20559063978487147,0.26374426317790167,-0.09168281037163328,-0.05290566630923187,-0.019174273340064166,-0.003377032302026916,0.011940839056735224,0.04955538747621039,0.0994762151858647,0.1188387513046086,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,2d,s2_reclaim_daily_trend,60,166146,74806,-0.0028758002852704405,-0.28503157580638416,0.3770142343901246,-0.11651252423293536,-0.06842730840644012,-0.025369600751543583,-0.00361565282833948,0.01696845203413705,0.06768446240155206,0.13266506520237029,0.17632439667733435,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,3d,s2_reclaim_daily_trend,60,166092,74772,-0.003167398059818787,-0.34990834022395323,0.5153516921175387,-0.1368125698618465,-0.0814444952808279,-0.030580757582664427,-0.0046771560452184115,0.020488286958702178,0.08104226426918192,0.16304478321980626,0.21566666157868566,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5d,s2_reclaim_daily_trend,60,166008,74590,-0.004012167082913206,-0.44389989715669853,0.8333688363184912,-0.16755099557101447,-0.10373763764836409,-0.040962303156909144,-0.006349503413284599,0.02715676697205709,0.10396107541231159,0.2089272005844863,0.2642609796440885,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5m,s2_reclaim_daily_trend,60,166419,65790,0.0001691545735350676,-0.07407407407407407,0.1215686274509804,-0.014876424471433981,-0.007237875412529874,-0.0022202073153417532,0.0,0.002063764612070506,0.008479872316997048,0.01908956574889523,0.027350885518935247,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,15m,s2_reclaim_daily_trend,60,166416,70247,0.0002613513769847473,-0.11926605504587162,0.1522406384284838,-0.021959705696099424,-0.011024306731776803,-0.003341668505112153,0.0,0.0031055971728720334,0.012965687675801618,0.028956301050484582,0.04153540875232535,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,30m,s2_reclaim_daily_trend,60,166407,72633,0.00038749225853166946,-0.11214953271028039,0.1522406384284838,-0.027857507355043207,-0.014400972405373125,-0.004394037633902676,0.0,0.004115434249096315,0.0171636147478252,0.0380090704046742,0.053821576347604864,duckdb_approx_quantile_per_ma_period
