strategy_id,selection_ranker,policy_id,shared_account_count,same_return_sign_fraction,primary_mean_return,supplemental_mean_return,primary_median_return,supplemental_median_return
ht_r3_core_pullback,sector_leader,next_open_1d,5,1.0,-0.4221197619,-0.082393967,-0.4221197619,-0.082393967
ht_r3_core_pullback,sector_leader,next_open_2d,5,1.0,-0.23832895110000002,-0.0482128426,-0.2383289511,-0.0482128426
ht_r3_core_pullback,sector_leader,next_open_3d,5,1.0,-0.388011931,-0.0674984856,-0.388011931,-0.0674984856
ht_r3_core_pullback,sector_leader,next_open_5d,5,0.0,0.02170607,-0.0088156606,0.02170607,-0.0088156606
ht_r3_core_pullback,sector_leader,protect_3pct_target6pct_3d,5,1.0,-0.5618830181,-0.0494541508,-0.5618830181,-0.0494541508
ht_r3_core_pullback,trend_structure,fast_failure_2pct_target4pct_2d,5,0.8,-0.6387833655799999,-0.010451237620000001,-0.6776588315,-0.0192994026
ht_r3_core_pullback,trend_structure,momentum_trail_4pct_5d,5,0.4,-0.57694889064,-0.001187055540000001,-0.629188091,0.0183424968
ht_r3_core_pullback,trend_structure,next_open_1d,5,1.0,-0.69112356822,-0.03513546366,-0.6897841124,-0.0340740239
ht_r3_core_pullback,trend_structure,next_open_2d,5,0.2,-0.45905037952,0.0221099489,-0.4459664133,0.0282150771
ht_r3_core_pullback,trend_structure,next_open_3d,5,0.8,-0.39684510378,-0.00797126004,-0.4022819306,-0.0142663433
ht_r3_core_pullback,trend_structure,next_open_5d,5,0.6,-0.28526717856,-0.006934958959999999,-0.2857960265,-0.0040616394
ht_r3_core_pullback,trend_structure,protect_3pct_target6pct_3d,5,0.4,-0.6301843932800001,0.00834679706,-0.6229691227,0.0073147292
ng_r1_auction_reclaim,flow_quality,fast_failure_2pct_target4pct_2d,5,0.6,-0.10574724788,-0.009904956900000001,-0.1223191005,-0.0101088152
ng_r1_auction_reclaim,flow_quality,momentum_trail_4pct_5d,5,0.4,-0.004077098619999997,-0.015132472260000002,-0.0708497516,-0.0051167132
ng_r1_auction_reclaim,flow_quality,next_open_1d,5,0.2,-0.13001467966,0.028379289620000005,-0.1674553402,0.0255970607
ng_r1_auction_reclaim,flow_quality,next_open_2d,5,0.8,-0.14074516824,-0.00901700462,-0.1595825505,-0.0203869866
ng_r1_auction_reclaim,flow_quality,next_open_3d,5,0.4,-0.011761844179999998,-0.01022351472,0.0085265707,-0.0184054809
ng_r1_auction_reclaim,flow_quality,next_open_5d,5,1.0,-0.16937038512,-0.028328891919999998,-0.1802099478,-0.0280533357
ng_r1_auction_reclaim,flow_quality,protect_3pct_target6pct_3d,5,0.6,-0.0740275597,-0.017327305100000003,-0.0642623407,-0.0160528396
ng_r1_auction_reclaim,random_hash,fast_failure_2pct_target4pct_2d,5,0.6,-0.08970856416,-0.011429339739999999,-0.1222930785,-0.0108758911
ng_r1_auction_reclaim,random_hash,momentum_trail_4pct_5d,5,0.6,-0.03440161128000001,-0.02289573738,-0.064658463,-0.0378608948
ng_r1_auction_reclaim,random_hash,next_open_1d,5,0.6,-0.11539996402,0.0055699005400000005,-0.157885047,0.0042168215
ng_r1_auction_reclaim,random_hash,next_open_2d,5,0.6,-0.18047072718,0.000412146020000001,-0.2679367421,0.0025395159
ng_r1_auction_reclaim,random_hash,next_open_3d,5,0.6,0.0036624440400000015,-0.00979837668,-0.0030057635,-0.011771791
ng_r1_auction_reclaim,random_hash,next_open_5d,5,0.6,-0.05254362832,-0.023574675679999997,-0.0626975157,-0.0355868402
ng_r1_auction_reclaim,random_hash,protect_3pct_target6pct_3d,5,0.8,-0.01695587812,-0.013904309240000001,-0.0389037833,-0.0055913156
ng_r1_auction_reclaim,sector_leader,fast_failure_2pct_target4pct_2d,5,0.0,-0.1260333532,0.048981217,-0.1260333532,0.048981217
ng_r1_auction_reclaim,sector_leader,momentum_trail_4pct_5d,5,0.0,0.1212264881,-0.0998250932,0.1212264881,-0.0998250932
ng_r1_auction_reclaim,sector_leader,next_open_1d,5,0.0,-0.05458177830000001,0.0269319322,-0.0545817783,0.0269319322
ng_r1_auction_reclaim,sector_leader,next_open_2d,5,1.0,-0.1429228107,-0.0367653034,-0.1429228107,-0.0367653034
ng_r1_auction_reclaim,sector_leader,next_open_3d,5,1.0,-0.20007464879999998,-0.068266986,-0.2000746488,-0.068266986
ng_r1_auction_reclaim,sector_leader,next_open_5d,5,0.0,0.46066969750000003,-0.0419543678,0.4606696975,-0.0419543678
ng_r1_auction_reclaim,sector_leader,protect_3pct_target6pct_3d,5,1.0,0.0408863578,0.0146195768,0.0408863578,0.0146195768
ng_r1_auction_reclaim,trend_structure,fast_failure_2pct_target4pct_2d,5,0.0,-0.25109217893999997,0.01564913238,-0.2536235474,0.0151095689
ng_r1_auction_reclaim,trend_structure,momentum_trail_4pct_5d,5,0.6,-0.22913654432000002,0.00021247408000000002,-0.2404059386,-0.0013112602
ng_r1_auction_reclaim,trend_structure,next_open_1d,5,0.0,-0.34594443184,0.010080845080000001,-0.3294210447,0.0105692817
ng_r1_auction_reclaim,trend_structure,next_open_2d,5,1.0,-0.31981393742,-0.0096349225,-0.3323379558,-0.0096349225
ng_r1_auction_reclaim,trend_structure,next_open_3d,5,1.0,-0.24122333357999998,-0.0153428497,-0.2390306377,-0.0153428497
ng_r1_auction_reclaim,trend_structure,next_open_5d,5,0.0,-0.38729882362,0.0123239904,-0.3875002401,0.0123239904
ng_r1_auction_reclaim,trend_structure,protect_3pct_target6pct_3d,5,0.0,-0.23564231923999998,0.0035543134400000003,-0.2352199307,0.0046095056
ng_r3_volume_quality,flow_quality,fast_failure_2pct_target4pct_2d,5,0.8,-0.48250427405999996,-0.025066326639999997,-0.472527255,-0.0197568805
ng_r3_volume_quality,flow_quality,momentum_trail_4pct_5d,5,0.8,-0.27243196162,-0.031625222120000004,-0.3642879186,-0.0315622885
ng_r3_volume_quality,flow_quality,next_open_1d,5,0.8,-0.57555876196,-0.0313820966,-0.5757644154,-0.0363417855
ng_r3_volume_quality,flow_quality,next_open_2d,5,0.4,-0.24884000512,-0.001276643899999999,-0.3009906958,0.0109963993
ng_r3_volume_quality,flow_quality,next_open_3d,5,0.6,-0.014483761180000007,-0.00803209008,0.0204877396,-0.0035821472
ng_r3_volume_quality,flow_quality,next_open_5d,5,0.6,-0.12864905634,-0.01954643668,-0.1462580107,-0.0295619625
ng_r3_volume_quality,flow_quality,protect_3pct_target6pct_3d,5,0.8,-0.39563162842,-0.02658746648,-0.3835220731,-0.0430882855
ng_r3_volume_quality,random_hash,fast_failure_2pct_target4pct_2d,5,1.0,-0.48496030464000006,-0.04276701946,-0.5314728811,-0.0468171233
ng_r3_volume_quality,random_hash,momentum_trail_4pct_5d,5,1.0,-0.21907509038,-0.027443369540000002,-0.2284916369,-0.0198507182
ng_r3_volume_quality,random_hash,next_open_1d,5,1.0,-0.5776177461199999,-0.03422045898,-0.5685512448,-0.0433372507
ng_r3_volume_quality,random_hash,next_open_2d,5,0.6,-0.3257429904,-0.01391112526,-0.3751291381,-0.0030199225
ng_r3_volume_quality,random_hash,next_open_3d,5,0.8,-0.1512055279,-0.01627706744,-0.0936200867,-0.0150955857
ng_r3_volume_quality,random_hash,next_open_5d,5,0.6,-0.14951201706,-0.024980034800000002,-0.1778606748,-0.0272343425
ng_r3_volume_quality,random_hash,protect_3pct_target6pct_3d,5,0.8,-0.32376122116,-0.04122461652,-0.3545719837,-0.0377087578
ng_r3_volume_quality,sector_leader,fast_failure_2pct_target4pct_2d,5,1.0,-0.48742359999999996,-0.0406265911,-0.4874236,-0.0406265911
ng_r3_volume_quality,sector_leader,momentum_trail_4pct_5d,5,1.0,-0.4895362337,-0.12259943930000002,-0.4895362337,-0.1225994393
ng_r3_volume_quality,sector_leader,next_open_1d,5,1.0,-0.4460258469999999,-0.0603969593,-0.446025847,-0.0603969593
ng_r3_volume_quality,sector_leader,next_open_2d,5,1.0,0.0169288256,0.0326361408,0.0169288256,0.0326361408
ng_r3_volume_quality,sector_leader,next_open_3d,5,1.0,-0.2207219093,-0.0062693597,-0.2207219093,-0.0062693597
ng_r3_volume_quality,sector_leader,next_open_5d,5,1.0,-0.1539859986,-0.0131385006,-0.1539859986,-0.0131385006
ng_r3_volume_quality,sector_leader,protect_3pct_target6pct_3d,5,1.0,-0.6044361628,-0.055654069900000006,-0.6044361628,-0.0556540699
ng_r3_volume_quality,trend_structure,fast_failure_2pct_target4pct_2d,5,1.0,-0.73037899416,-0.06284332888000001,-0.7443585627,-0.0739042031
ng_r3_volume_quality,trend_structure,momentum_trail_4pct_5d,5,0.8,-0.45831289216000004,-0.008360684140000001,-0.3874726567,-0.0103183935
ng_r3_volume_quality,trend_structure,next_open_1d,5,1.0,-0.7067462638,-0.07293212101999999,-0.7062498623,-0.0834788751
ng_r3_volume_quality,trend_structure,next_open_2d,5,0.6,-0.55091722284,-0.030351129119999997,-0.5101670467,-0.0284872032
ng_r3_volume_quality,trend_structure,next_open_3d,5,0.8,-0.30720989072,-0.04603162606,-0.2661995531,-0.0497179303
ng_r3_volume_quality,trend_structure,next_open_5d,5,0.6,-0.46110803104000003,-0.01609025646,-0.4614613152,-0.0349666134
ng_r3_volume_quality,trend_structure,protect_3pct_target6pct_3d,5,0.6,-0.6201059822599999,-0.01424551376,-0.6352958557,-0.013275882
s0_distance_only,flow_quality,fast_failure_2pct_target4pct_2d,5,1.0,-0.44269948378000007,-0.052676471540000006,-0.4316506013,-0.0606063083
s0_distance_only,flow_quality,momentum_trail_4pct_5d,5,0.8,-0.17343243128000002,-0.03883362606,-0.1604514876,-0.02937753
s0_distance_only,flow_quality,next_open_1d,5,1.0,-0.5082197031,-0.051768616239999996,-0.4936505626,-0.0548589332
s0_distance_only,flow_quality,next_open_2d,5,0.8,-0.24117130109999999,-0.031337321200000004,-0.2356796641,-0.0389284773
s0_distance_only,flow_quality,next_open_3d,5,0.8,-0.12037280556,-0.03588525762,-0.1981382326,-0.0365487625
s0_distance_only,flow_quality,next_open_5d,5,0.6,-0.004447424900000008,-0.04174172512,-0.0598265523,-0.0450821749
s0_distance_only,flow_quality,protect_3pct_target6pct_3d,5,0.8,-0.25559935066,-0.029491483460000002,-0.2066757843,-0.0281918487
s0_distance_only,random_hash,fast_failure_2pct_target4pct_2d,5,0.8,-0.3819578094,-0.05442048026,-0.3777099391,-0.0655554109
s0_distance_only,random_hash,momentum_trail_4pct_5d,5,1.0,-0.22879976924000003,-0.02978086726,-0.1844261281,-0.0222594039
s0_distance_only,random_hash,next_open_1d,5,1.0,-0.49146928032000003,-0.05141110602,-0.5172317546,-0.0533503888
s0_distance_only,random_hash,next_open_2d,5,0.8,-0.22441954604000003,-0.031091838160000003,-0.2356175664,-0.0389284773
s0_distance_only,random_hash,next_open_3d,5,0.8,-0.12994556908,-0.03566344452,-0.1873504803,-0.0401113298
s0_distance_only,random_hash,next_open_5d,5,0.8,-0.014495852939999998,-0.0378346316,-0.0859823655,-0.0450821749
s0_distance_only,random_hash,protect_3pct_target6pct_3d,5,0.6,-0.3087553579,-0.02967734348,-0.3918404565,-0.0384917825
s0_distance_only,sector_leader,fast_failure_2pct_target4pct_2d,5,1.0,-0.5864905244,-0.0961078979,-0.5864905244,-0.0961078979
s0_distance_only,sector_leader,momentum_trail_4pct_5d,5,1.0,-0.4854309969,-0.1443530667,-0.4854309969,-0.1443530667
s0_distance_only,sector_leader,next_open_1d,5,1.0,-0.5588599332,-0.1375624919,-0.5588599332,-0.1375624919
s0_distance_only,sector_leader,next_open_2d,5,1.0,-0.0069028537,-0.0227626999,-0.0069028537,-0.0227626999
s0_distance_only,sector_leader,next_open_3d,5,1.0,-0.1082410139,-0.1617494503,-0.1082410139,-0.1617494503
s0_distance_only,sector_leader,next_open_5d,5,1.0,-0.0202478586,-0.0863066343,-0.0202478586,-0.0863066343
s0_distance_only,sector_leader,protect_3pct_target6pct_3d,5,1.0,-0.2792876306,-0.1654246531,-0.2792876306,-0.1654246531
s0_distance_only,trend_structure,fast_failure_2pct_target4pct_2d,5,1.0,-0.5774241349,-0.05777068892,-0.6206845425,-0.0693187635
s0_distance_only,trend_structure,momentum_trail_4pct_5d,5,0.8,-0.38386028292,-0.0389539536,-0.3820409165,-0.0587062025
s0_distance_only,trend_structure,next_open_1d,5,1.0,-0.46822596066,-0.0680644379,-0.4473978805,-0.0659227442
s0_distance_only,trend_structure,next_open_2d,5,0.8,-0.49094428160000003,-0.05609585471999999,-0.4796292784,-0.0523611413
s0_distance_only,trend_structure,next_open_3d,5,1.0,-0.41647559084,-0.05739258128,-0.4289945723,-0.0637817066
s0_distance_only,trend_structure,next_open_5d,5,0.8,-0.10452597593999999,-0.036892692959999994,-0.099730632,-0.050926553
s0_distance_only,trend_structure,protect_3pct_target6pct_3d,5,1.0,-0.5264618939,-0.06879060008,-0.531063631,-0.0591145798
s0_strong_no_ma,flow_quality,fast_failure_2pct_target4pct_2d,5,0.8,-0.54719378342,-0.03563076558,-0.5110228377,-0.0169848602
s0_strong_no_ma,flow_quality,momentum_trail_4pct_5d,5,1.0,-0.37915197475999995,-0.02865933242,-0.3829707448,-0.0308048847
s0_strong_no_ma,flow_quality,next_open_1d,5,1.0,-0.5089365083,-0.06570287554000001,-0.5475892235,-0.0567981242
s0_strong_no_ma,flow_quality,next_open_2d,5,1.0,-0.44371261353999997,-0.050437858,-0.5113569969,-0.0352514679
s0_strong_no_ma,flow_quality,next_open_3d,5,0.8,-0.26888311248,-0.07698254373999999,-0.3132073356,-0.0847972079
s0_strong_no_ma,flow_quality,next_open_5d,5,0.8,-0.14947526338,-0.0171050229,-0.2413536184,-0.0107886928
s0_strong_no_ma,flow_quality,protect_3pct_target6pct_3d,5,1.0,-0.4115831656,-0.0761384255,-0.3407012788,-0.0898535724
s0_strong_no_ma,random_hash,fast_failure_2pct_target4pct_2d,5,0.8,-0.45248438344,-0.04821494006,-0.4347790971,-0.0326312442
s0_strong_no_ma,random_hash,momentum_trail_4pct_5d,5,0.8,-0.3027572617,-0.02965893724,-0.3703787868,-0.0255674812
s0_strong_no_ma,random_hash,next_open_1d,5,1.0,-0.4900306393599999,-0.0621519501,-0.5263195244,-0.0567981242
s0_strong_no_ma,random_hash,next_open_2d,5,1.0,-0.42281823044,-0.04564969346,-0.463516147,-0.0352514679
s0_strong_no_ma,random_hash,next_open_3d,5,0.8,-0.23187143282,-0.07738830886,-0.3044896701,-0.0847972079
s0_strong_no_ma,random_hash,next_open_5d,5,0.6,-0.10917543250000002,-0.0171050229,-0.1872588717,-0.0107886928
s0_strong_no_ma,random_hash,protect_3pct_target6pct_3d,5,1.0,-0.45619645314,-0.07108140892,-0.4293941309,-0.071690355
s0_strong_no_ma,sector_leader,fast_failure_2pct_target4pct_2d,5,1.0,-0.3428268882,-0.0395802972,-0.3428268882,-0.0395802972
s0_strong_no_ma,sector_leader,momentum_trail_4pct_5d,5,0.0,0.0048789537,-0.0002642053,0.0048789537,-0.0002642053
s0_strong_no_ma,sector_leader,next_open_1d,5,0.0,0.1271284622,-0.0243563355,0.1271284622,-0.0243563355
s0_strong_no_ma,sector_leader,next_open_2d,5,1.0,-0.3637848015,-0.0237597767,-0.3637848015,-0.0237597767
s0_strong_no_ma,sector_leader,next_open_3d,5,1.0,-0.2825416499,-0.0178666509,-0.2825416499,-0.0178666509
s0_strong_no_ma,sector_leader,next_open_5d,5,0.0,0.4310192018,-0.0901488266,0.4310192018,-0.0901488266
s0_strong_no_ma,sector_leader,protect_3pct_target6pct_3d,5,0.0,-0.2610120716,0.013726111500000002,-0.2610120716,0.0137261115
s0_strong_no_ma,trend_structure,fast_failure_2pct_target4pct_2d,5,1.0,-0.49366617692000003,-0.05089207496,-0.5248539208,-0.0407479958
s0_strong_no_ma,trend_structure,momentum_trail_4pct_5d,5,0.8,-0.28569049292,-0.0387748918,-0.2976069265,-0.0466936991
s0_strong_no_ma,trend_structure,next_open_1d,5,0.8,-0.46416963569999997,0.03042406138,-0.4656300279,-0.0495727419
s0_strong_no_ma,trend_structure,next_open_2d,5,0.6,-0.53756389846,-0.0441506963,-0.5393307966,-0.0451540939
s0_strong_no_ma,trend_structure,next_open_3d,5,0.6,-0.54922724962,-0.025785221960000004,-0.614629103,-0.060367151
s0_strong_no_ma,trend_structure,next_open_5d,5,0.8,-0.31252834578,-0.02684987882,-0.4296033011,-0.0273112312
s0_strong_no_ma,trend_structure,protect_3pct_target6pct_3d,5,0.8,-0.42121122295999996,-0.05602926558,-0.4211481166,-0.0627077919
s1_break_reclaim_stable3,flow_quality,fast_failure_2pct_target4pct_2d,5,0.4,-0.45063570653999996,0.003723295319999999,-0.4700910329,0.0073263046
s1_break_reclaim_stable3,flow_quality,momentum_trail_4pct_5d,5,0.8,-0.28631356943999997,-0.00715965566,-0.3055416696,-0.0088328449
s1_break_reclaim_stable3,flow_quality,next_open_1d,5,0.4,-0.41193036414,-0.00041546846,-0.4530042214,0.0012844421
s1_break_reclaim_stable3,flow_quality,next_open_2d,5,0.4,-0.13107116552,0.023509367460000003,-0.1434247998,0.0101707984
s1_break_reclaim_stable3,flow_quality,next_open_3d,5,0.6,-0.0471478467,-0.00397622112,0.0278105603,0.0017771698
s1_break_reclaim_stable3,flow_quality,next_open_5d,5,0.4,-0.11725485367999999,-0.006742760740000001,-0.1333504854,-0.0127290717
s1_break_reclaim_stable3,flow_quality,protect_3pct_target6pct_3d,5,1.0,-0.35805606506,-0.02194733914,-0.3761198083,-0.0224669466
s1_break_reclaim_stable3,random_hash,fast_failure_2pct_target4pct_2d,5,0.4,-0.40118225366000004,-0.00338052064,-0.3934146178,0.0026901048
s1_break_reclaim_stable3,random_hash,momentum_trail_4pct_5d,5,0.8,-0.33767675228,-0.01731654334,-0.3304490985,-0.0157209755
