sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count,missing_count,missing_fraction,observed_fraction
primary_development_2022_2023_partial,s2_reclaim_acceleration,20,gross_return,15m,376664,0.0001948138975295,0.0,0.0076867286988041,0.4012408937408406,1.088577378957918,376683,331,3066,1,376683,376683,19,5.044029064226419e-05,0.9999495597093577
primary_development_2022_2023_partial,s2_reclaim_acceleration,40,gross_return,15m,247406,0.0002635650544001,0.0,0.0081281722141438,0.4045172712060338,1.1161473253333325,247414,331,3063,1,247414,247414,8,3.233446773424301e-05,0.9999676655322658
primary_development_2022_2023_partial,s2_reclaim_acceleration,60,gross_return,15m,196371,0.0002081676801025,0.0,0.0085943913703157,0.3967948424156316,1.0863434049068292,196379,331,3062,1,196379,196379,8,4.073755340438642e-05,0.9999592624465956
primary_development_2022_2023_partial,s2_reclaim_acceleration,120,gross_return,15m,127183,0.0001961574774017,0.0,0.0095871909688296,0.4003286602769238,1.072204124259854,127187,331,3042,1,127187,127187,4,3.144975508503228e-05,0.9999685502449149
primary_development_2022_2023_partial,s2_reclaim_acceleration,240,gross_return,15m,93360,6.592015084680407e-05,0.0,0.0095228799988583,0.397407883461868,1.0237896348537416,93362,331,3021,1,93362,93362,2,2.1421991816799127e-05,0.9999785780081832
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,10,gross_return,15m,173444,-0.0001444851008621,0.0,0.0108557707802019,0.3999331196236249,0.9541925531275728,173457,331,3033,1,173457,173457,13,7.494652853444947e-05,0.9999250534714655
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,20,gross_return,15m,105996,-3.4432334494358933e-05,0.0,0.0103122512758491,0.4059021095135665,0.9886313870574576,105999,331,3031,1,105999,105999,3,2.8302153793903717e-05,0.9999716978462061
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,40,gross_return,15m,53871,0.0001731122411364,0.0,0.010092661025668,0.4216554361344694,1.0599367592286797,53873,331,3020,1,53873,53873,2,3.712434800363819e-05,0.9999628756519964
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,60,gross_return,15m,32447,0.0004154829886395,0.0,0.0099724717249015,0.4376059419977193,1.1495234054626504,32448,330,2937,1,32448,32448,1,3.081854043392505e-05,0.999969181459566
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,120,gross_return,15m,14407,0.0004547662716696,0.0,0.0103261975910777,0.434163948080794,1.1585384949602928,14408,330,2459,1,14408,14408,1,6.94058856191005e-05,0.9999305941143809
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,240,gross_return,15m,26234,0.0001536016781115,0.0,0.009788979722515,0.4126324616909354,1.0551142108914306,26235,331,2758,1,26235,26235,1,3.8117019249094724e-05,0.999961882980751
primary_development_2022_2023_partial,s2_reclaim_bull_stack,10,gross_return,15m,100605,-0.0001968156718672,-0.0002892681515764,0.0118536373397898,0.4041349833507281,0.9436590258514892,100611,331,3039,1,100611,100611,6,5.963562632316546e-05,0.9999403643736768
