sample_group,selection_ranker,selection_seed,strategy_id,policy_id,exit_reason,exit_count,total_pnl,mean_trade_net_return
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,stop_loss,181,-104464.51729376777,-0.03156650716433966
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,take_profit,33,34838.346913273046,0.05859323514846773
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,time_stop,236,1235.6787847621908,0.0004221150195580289
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,trailing_stop,158,56336.522753299876,0.01961906877232039
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,stop_loss,382,-115990.25182364775,-0.022814465051202666
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,take_profit,65,32689.556883957062,0.03897284423058227
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,time_stop,307,-1162.640850509566,-0.00020544498531584532
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,trailing_stop,257,39999.23624092335,0.012040117653654227
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,stop_loss,166,-125590.33113019397,-0.042454188798890645
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,time_stop,161,1112.7262031187893,0.0009315428193254315
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,trailing_stop,150,114098.9099515411,0.04313908534494204
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_1d,time_stop,849,-40098.03786385715,-0.00406181571653916
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_2d,time_stop,588,-26717.514545572103,-0.0026721658569929603
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_3d,time_stop,555,25015.77709632404,0.0025319525312255766
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,next_open_5d,time_stop,239,-7637.83974520666,-0.0009293131539068951
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,stop_loss,237,-108725.88310560094,-0.033465159268941634
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,take_profit,34,23754.117127714348,0.05575500153084374
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,time_stop,260,-2862.2286945238748,-0.000930795882941125
primary_development_2022_2023_partial,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,trailing_stop,157,45182.1225605311,0.021144626181664582
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,stop_loss,376,-136059.2362655297,-0.025267213311589758
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,take_profit,74,37447.987783116034,0.03733855147414847
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,time_stop,266,683.0929760727076,0.00024991160156950933
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,trailing_stop,269,48245.92028738322,0.012189109194485365
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,stop_loss,211,-131699.43626425473,-0.044302800970960815
