sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,100000.0,50602.9255227208,61702.9255227208,-0.3829707448,-0.4558608719,1702966,535,533,1699734,2,2697,532,0.4436090226,-0.0036759751,0,1,0,11100.0,"[{'year': 2022, 'net_return': -0.3513652609, 'maximum_drawdown': -0.4558608719}, {'year': 2023, 'net_return': -0.0487261659, 'maximum_drawdown': -0.4359136112}]",0,214,0,139,179,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,next_open_1d,100000.0,28241.9860230279,48603.685627771,-0.5139631437,-0.5217578851,1702966,1394,1377,1699566,17,2006,1376,0.3924418605,-0.0032788297,13,1,0,20361.6996047431,"[{'year': 2022, 'net_return': -0.4790688045, 'maximum_drawdown': -0.5061831106}, {'year': 2023, 'net_return': -0.0669845453, 'maximum_drawdown': -0.5217578851}]",13,0,0,1376,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,next_open_2d,100000.0,37119.7293221813,56137.6518373785,-0.4386234816,-0.4876237799,1702966,573,566,1699979,7,2414,564,0.4326241135,-0.0041034725,1,2,0,19017.9225151972,"[{'year': 2022, 'net_return': -0.4464607926, 'maximum_drawdown': -0.4740849072}, {'year': 2023, 'net_return': 0.0141585471, 'maximum_drawdown': -0.4876237799}]",1,0,0,564,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,next_open_3d,100000.0,44262.8028039838,56624.2848496857,-0.4337571515,-0.4790449682,1702966,499,495,1699928,4,2539,494,0.4170040486,-0.0050444865,1,1,0,12361.4820457018,"[{'year': 2022, 'net_return': -0.4239023087, 'maximum_drawdown': -0.4755194244}, {'year': 2023, 'net_return': -0.0171062008, 'maximum_drawdown': -0.4790449682}]",1,0,0,494,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,next_open_5d,100000.0,59707.5984068798,94325.2602118023,-0.0567473979,-0.3050473587,1702966,217,216,1700080,1,2669,214,0.476635514,0.000719908,0,2,0,34617.6618049225,"[{'year': 2022, 'net_return': -0.1213255021, 'maximum_drawdown': -0.3050473587}, {'year': 2023, 'net_return': 0.0734949112, 'maximum_drawdown': -0.1354225584}]",0,0,0,214,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,100000.0,48103.9196061514,68465.6192108945,-0.3153438079,-0.4283190121,1702966,846,832,1699500,14,2620,831,0.4440433213,-0.0026763109,233,1,0,20361.6996047431,"[{'year': 2022, 'net_return': -0.3253358132, 'maximum_drawdown': -0.4283190121}, {'year': 2023, 'net_return': 0.014810339, 'maximum_drawdown': -0.3555865815}]",233,302,55,228,246,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,100000.0,42394.8967087225,52990.8967087225,-0.4700910329,-0.492061834,1769178,1261,1248,1764940,13,2977,1247,0.437850842,-0.0022148407,3,1,0,10596.0,"[{'year': 2022, 'net_return': -0.3547785086, 'maximum_drawdown': -0.3890304466}, {'year': 2023, 'net_return': -0.1787177362, 'maximum_drawdown': -0.492061834}]",3,467,96,321,363,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_break_reclaim_stable3,next_open_1d,100000.0,38379.577855497,54699.577855497,-0.4530042214,-0.4763857354,1769178,1537,1521,1765133,16,2508,1520,0.4039473684,-0.002174519,0,1,0,16320.0,"[{'year': 2022, 'net_return': -0.306350638, 'maximum_drawdown': -0.3707831465}, {'year': 2023, 'net_return': -0.2114232225, 'maximum_drawdown': -0.4763857354}]",0,0,0,1520,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_break_reclaim_stable3,next_open_2d,100000.0,29061.3336880079,77139.9110648296,-0.2286008894,-0.3172199854,1769178,614,610,1765728,4,2836,607,0.4464579901,-0.0019547247,240,3,0,48078.5773768217,"[{'year': 2022, 'net_return': -0.1151075801, 'maximum_drawdown': -0.3172199854}, {'year': 2023, 'net_return': -0.1282566182, 'maximum_drawdown': -0.2589513167}]",240,0,0,607,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,100000.0,50973.5040425549,68381.5040425549,-0.3161849596,-0.3355619485,1769178,836,827,1765104,9,3238,826,0.4443099274,-0.002566963,6,1,0,17408.0,"[{'year': 2022, 'net_return': -0.237498274, 'maximum_drawdown': -0.3088385583}, {'year': 2023, 'net_return': -0.1031954196, 'maximum_drawdown': -0.3355619485}]",6,290,49,277,210,False,False
