sample_group,sample_variant,selection_ranker,strategy_id,policy_id,seed_count,resolved_seed_count,positive_seed_count,positive_seed_fraction,resolved_positive_seed_count,resolved_positive_seed_fraction,all_periods_positive_seed_count,resolved_all_periods_positive_seed_count,combined_net_return_mean,combined_net_return_median,combined_net_return_standard_deviation,combined_net_return_minimum,combined_net_return_q25,combined_net_return_q75,combined_net_return_maximum,maximum_drawdown_mean,maximum_drawdown_median,maximum_drawdown_standard_deviation,maximum_drawdown_minimum,maximum_drawdown_q25,maximum_drawdown_q75,maximum_drawdown_maximum
primary_development_2022_2023_partial,current_contract,random_hash,s2_reclaim_breakout_recent,next_open_2d,5,0,2,0.4,0,,0,0,-0.12306937780956864,-0.0028280691286129978,0.23780202902328787,-0.4513185986723991,-0.3623174985883011,0.06003174067931294,0.14108553666215706,-0.3638132584419049,-0.37886261415450384,0.07338911524172312,-0.476554691613543,-0.39478376105513724,-0.29911170407797383,-0.2697535213083665
primary_development_2022_2023_partial,current_contract,random_hash,ng_r1_auction_reclaim,next_open_3d,5,1,2,0.4,1,1.0,1,1,0.003662444049037128,-0.0030057635445864817,0.10714611020707514,-0.1435816297401964,-0.07417362795525961,0.08236096573771934,0.1567122757475088,-0.1718869538304884,-0.16007234132942927,0.045190219790146945,-0.25925499510124406,-0.16312797793523448,-0.14656905265094178,-0.13041040213559252
primary_development_2022_2023_partial,current_contract,sector_leader,s0_distance_only,next_open_2d,5,0,0,0.0,0,,0,0,-0.006902853688643629,-0.006902853688643629,0.0,-0.006902853688643629,-0.006902853688643629,-0.006902853688643629,-0.006902853688643629,-0.21749249207825994,-0.21749249207825994,0.0,-0.21749249207825994,-0.21749249207825994,-0.21749249207825994,-0.21749249207825994
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_volume_proxy,next_open_5d,5,1,2,0.4,0,0.0,1,0,-0.023370529898817383,-0.0075508011245610795,0.17732143326836652,-0.3357189940320978,-0.052720035338582716,0.0874009796955344,0.1917362013056203,-0.2592711952804005,-0.255712569387334,0.059199160037886694,-0.35651932576584744,-0.27006380484204573,-0.24223030535212253,-0.1718299710546528
primary_development_2022_2023_partial,current_contract,sector_leader,cs_r3_leader_confirmation,next_open_5d,5,0,0,0.0,0,,0,0,-0.01194288475562788,-0.01194288475562788,0.0,-0.01194288475562788,-0.01194288475562788,-0.01194288475562788,-0.01194288475562788,-0.26508214945568875,-0.26508214945568875,0.0,-0.26508214945568875,-0.26508214945568875,-0.26508214945568875,-0.26508214945568875
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,5,2,2,0.4,0,0.0,1,0,-0.01355211501396807,-0.013516122814364206,0.24589906274979417,-0.324789971520536,-0.17544162368586202,0.03949043243370376,0.40649671051721814,-0.27542341095007594,-0.30074532906851315,0.1096772254127679,-0.44645583430603497,-0.3022903307995771,-0.21185693893041835,-0.11576862164583601
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_breakout_recent,next_open_5d,5,0,0,0.0,0,,0,0,-0.014400182071841572,-0.014400182071841572,0.0,-0.014400182071841572,-0.014400182071841572,-0.014400182071841572,-0.014400182071841572,-0.24260705051586565,-0.24260705051586562,2.7755575615628914e-17,-0.24260705051586562,-0.24260705051586562,-0.24260705051586562,-0.24260705051586562
primary_development_2022_2023_partial,current_contract,sector_leader,s0_distance_only,next_open_5d,5,0,0,0.0,0,,0,0,-0.02024785861035938,-0.02024785861035938,0.0,-0.02024785861035938,-0.02024785861035938,-0.02024785861035938,-0.02024785861035938,-0.29085034714363656,-0.29085034714363656,0.0,-0.29085034714363656,-0.29085034714363656,-0.29085034714363656,-0.29085034714363656
primary_development_2022_2023_partial,current_contract,flow_quality,s4_reclaim_volume_proxy,next_open_5d,5,1,2,0.4,0,0.0,1,0,-0.014503753736590786,-0.021292151530593717,0.1830636375224589,-0.32059023227391836,-0.06951580102937793,0.1298812539055496,0.20899816224538648,-0.25789865303415194,-0.2759127790719489,0.057142611831928786,-0.3414809868669153,-0.27738619474893833,-0.2229050686991536,-0.17180823578380333
primary_development_2022_2023_partial,current_contract,flow_quality,s2_reclaim_daily_trend,next_open_5d,5,3,1,0.2,0,0.0,0,0,-0.05464334065361252,-0.022087020220267983,0.40302748205373573,-0.6298351880160005,-0.22138933953020168,-0.016839685773543778,0.6169345302719513,-0.3565513556280395,-0.3188681701614904,0.1545586763597831,-0.6499284410699255,-0.34581850291807437,-0.26434981806813385,-0.2037918459225735
primary_development_2022_2023_partial,current_contract,sector_leader,s4_reclaim_volume_proxy,next_open_3d,5,0,0,0.0,0,,0,0,-0.03400086857269813,-0.03400086857269813,0.0,-0.03400086857269813,-0.03400086857269813,-0.03400086857269813,-0.03400086857269813,-0.33453270142934355,-0.33453270142934355,0.0,-0.33453270142934355,-0.33453270142934355,-0.33453270142934355,-0.33453270142934355
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_positive_slope,next_open_5d,5,4,2,0.4,2,0.5,0,0,-0.027429644886880954,-0.03877183467306533,0.08676885343744611,-0.1733668423384661,-0.04303094185517431,0.03631055611300815,0.08171083831929282,-0.2660356929113305,-0.25548452494933493,0.032652837901206336,-0.3080063468826293,-0.29750378970612124,-0.2502525372485237,-0.2189312657700433
primary_development_2022_2023_partial,current_contract,random_hash,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,5,2,2,0.4,1,0.5,0,0,-0.01695587812267607,-0.038903783297821626,0.06379226959021997,-0.08985461057122246,-0.07265019203930878,0.050627370735362165,0.06600182455961034,-0.1829791424060209,-0.2004379100705792,0.04521821315715272,-0.22450645070832664,-0.21686387118176076,-0.17351291686795278,-0.09957456320148506
primary_development_2022_2023_partial,current_contract,flow_quality,s2_reclaim_breakout_recent,next_open_2d,5,0,2,0.4,0,,0,0,-0.12995234136765998,-0.04201683420698654,0.2346014516998281,-0.45449054081286955,-0.35773712699516125,0.06747261852241948,0.13701017665429793,-0.366241379472117,-0.3767233719346983,0.07127295348746296,-0.47962454445410874,-0.39027957118927736,-0.3137142261128705,-0.27086518366962986
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,next_open_1d,5,0,0,0.0,0,,0,0,-0.054581778336157405,-0.054581778336157405,0.0,-0.054581778336157405,-0.054581778336157405,-0.054581778336157405,-0.054581778336157405,-0.289965587360292,-0.289965587360292,0.0,-0.289965587360292,-0.289965587360292,-0.289965587360292,-0.289965587360292
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_acceleration,next_open_5d,5,2,0,0.0,0,0.0,0,0,-0.10608841957315462,-0.055785367857493884,0.10162464394270644,-0.299888671489304,-0.11386695115416512,-0.03525823301692388,-0.025642874347886258,-0.29152613410123346,-0.26102607216211915,0.04934961297031937,-0.37345131920137953,-0.32324018452283254,-0.25600178028613285,-0.24391131433370328
