sample_group,strategy_id,ma_period,horizon,date_count,mean_daily_return,median_daily_return,std_daily_return,positive_date_count,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
primary_development_2022_2023_partial,fu_r3_core_pullback,120,60m,199,-0.002679651256441713,-0.0018104218969946745,0.004576428451910005,52,0.2613065326633166,2.3372350287574073e-14,1.0784015496377771e-11,2.4516451350602175e-14
primary_development_2022_2023_partial,fu_r3_core_pullback,120,1d,199,-0.0007350191706187673,-0.0002355759308812148,0.015057017385248816,99,0.49748743718592964,0.49295065516814907,1.0,0.49625904882699573
primary_development_2022_2023_partial,fu_r3_core_pullback,120,2d,199,0.00023213054309107915,0.0014886178832486158,0.021390657661783996,106,0.5326633165829145,0.8787898841571873,0.39501577812011107,0.884687802842806
primary_development_2022_2023_partial,fu_r3_core_pullback,120,3d,199,0.0006651195212517396,0.0018704716395205516,0.026517368164910064,109,0.5477386934673367,0.7245082659421717,0.20184260329879233,0.74949130959535
primary_development_2022_2023_partial,fu_r3_core_pullback,120,5d,199,0.00010429725255412047,0.0032707561387970182,0.03367432055391597,116,0.5829145728643216,0.9652815622035791,0.023062898871225274,0.9717599619499119
primary_development_2022_2023_partial,fu_r3_core_pullback,240,5m,199,-0.0029390198919951233,-0.0030393425281261366,0.0014485105933190851,5,0.02512562814070352,4.0621206402512087e-72,6.315025396439285e-51,4.260965706557212e-72
primary_development_2022_2023_partial,fu_r3_core_pullback,240,15m,199,-0.002952200976136989,-0.002677783954845283,0.0023259865672485107,14,0.07035175879396985,3.924697022209791e-43,2.952003894691242e-39,4.175209598095522e-43
primary_development_2022_2023_partial,fu_r3_core_pullback,240,30m,199,-0.003000740264117096,-0.0026708868045038137,0.0031841091401415677,25,0.12562814070351758,3.864225147370061e-29,1.1475748610302027e-28,4.2002447254022404e-29
primary_development_2022_2023_partial,fu_r3_core_pullback,240,60m,199,-0.0030166166556538122,-0.0029918186914502424,0.0044326201535561105,45,0.22613065326633167,4.312752619332297e-18,3.725013695631135e-15,4.6877745862307576e-18
primary_development_2022_2023_partial,fu_r3_core_pullback,240,1d,199,-0.0005707486736962709,0.0007061187637052406,0.01469648869841337,103,0.5175879396984925,0.5853602463085356,0.6707043457315792,0.5853602463085356
primary_development_2022_2023_partial,fu_r3_core_pullback,240,2d,199,0.0006601097145154909,0.0014108719521304636,0.020408424217409658,108,0.542713567839196,0.6495115249741018,0.2566505912206386,0.6749060782832191
primary_development_2022_2023_partial,fu_r3_core_pullback,240,3d,199,0.001227010827932222,0.0022055922606908696,0.025352027269027227,106,0.5326633165829145,0.49664616011531293,0.39501577812011107,0.5283469788460775
