selection_ranker,selection_seed,strategy_id,policy_id,net_return_primary,maximum_drawdown_primary,fully_resolved_primary,net_return_supplemental,maximum_drawdown_supplemental,fully_resolved_supplemental,same_return_sign,return_difference_primary_minus_supplemental
flow_quality,0,s1_near_reversal,next_open_2d,-0.2233864202,-0.2848270519,True,-0.0102533076,-0.0421237856,True,True,-0.21313311259999998
flow_quality,0,s1_near_reversal,next_open_3d,-0.2682512512,-0.2981935245,True,-0.0454149914,-0.0620546917,True,True,-0.2228362598
flow_quality,0,s1_near_reversal,next_open_5d,-0.2099152733,-0.3682736015,True,-0.0409131391,-0.0714989,True,True,-0.16900213420000001
flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,-0.2539332264,-0.3499774433,False,-0.0433373945,-0.0664309723,True,True,-0.21059583189999997
flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,-0.0961958975,-0.3124584874,False,-0.0321581368,-0.0585879913,True,True,-0.0640377607
flow_quality,0,s1_touch_immediate,momentum_trail_4pct_5d,0.0245937182,-0.1986136004,False,-0.024937465,-0.0524371619,True,False,0.049531183199999995
flow_quality,0,s1_touch_immediate,next_open_1d,-0.1523131842,-0.3642005489,False,-0.0190172485,-0.0406144043,True,True,-0.1332959357
flow_quality,0,s1_touch_immediate,next_open_2d,0.2002510761,-0.180223278,False,-0.0305281952,-0.0654380263,True,False,0.2307792713
flow_quality,0,s1_touch_immediate,next_open_3d,-0.136329077,-0.2493253237,True,-0.0346362361,-0.0611385751,True,True,-0.1016928409
flow_quality,0,s1_touch_immediate,next_open_5d,-0.320732112,-0.323970497,True,-0.073747567,-0.100197999,True,True,-0.246984545
flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,-0.2998772941,-0.3112020358,False,0.0099248906,-0.0314770636,True,False,-0.30980218470000004
flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,-0.3114139442,-0.3716018496,False,0.0126411288,-0.04835834,True,False,-0.324055073
flow_quality,0,s1_touch_reclaim,momentum_trail_4pct_5d,-0.1749482503,-0.2772966354,True,-0.0025669128,-0.0364860987,True,True,-0.1723813375
flow_quality,0,s1_touch_reclaim,next_open_1d,-0.383804206,-0.3915942551,False,-0.0086656992,-0.040181013,True,True,-0.3751385068
flow_quality,0,s1_touch_reclaim,next_open_2d,-0.4231065962,-0.450661506,True,0.032249573,-0.0397006368,True,False,-0.4553561692
flow_quality,0,s1_touch_reclaim,next_open_3d,-0.4078981827,-0.4998723454,True,-0.0800579974,-0.0959355956,True,True,-0.32784018530000003
flow_quality,0,s1_touch_reclaim,next_open_5d,-0.0495246002,-0.2480213617,True,0.0303485863,-0.0456501039,True,False,-0.0798731865
flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,-0.3713143713,-0.3844667348,False,-0.0342567793,-0.0770059881,True,True,-0.337057592
flow_quality,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,-0.3635785524,-0.4220215882,False,-0.0465733027,-0.0723136916,True,True,-0.3170052497
flow_quality,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,-0.2105406007,-0.2954786114,False,-0.0246292757,-0.0605306839,True,True,-0.185911325
flow_quality,0,s2_first_touch_reclaim,next_open_1d,-0.4090683035,-0.4542073778,False,-0.0477789354,-0.0721145357,True,True,-0.3612893681
flow_quality,0,s2_first_touch_reclaim,next_open_2d,-0.3120883242,-0.3507069102,False,-0.0484592802,-0.0888136404,True,True,-0.263629044
flow_quality,0,s2_first_touch_reclaim,next_open_3d,-0.0989056047,-0.2828222861,True,0.0105299073,-0.0343135013,True,False,-0.109435512
