sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,trend_structure,momentum_trail_4pct_5d,115,1,0.008695652173913044,65,0.5652173913043478,-0.3616892085930435,-0.3626967047,0.1620737467951773,-0.6852033898,0.0151638783,-0.4367606255539131,-0.4242573247,-0.721527167,588.4869565217391,67676,8138,74
primary_development_2022_2023_partial,trend_structure,next_open_1d,115,4,0.034782608695652174,0,0.0,-0.47492637425652173,-0.4903930737,0.19684204334473113,-0.83393705,0.1248047988,-0.5336022135017391,-0.5337795812,-0.8353687489,906.6086956521739,104260,6214,354
primary_development_2022_2023_partial,trend_structure,next_open_2d,115,3,0.02608695652173913,8,0.06956521739130435,-0.37995103483826087,-0.3836889184,0.16151218502221476,-0.7984885699,0.1165529521,-0.44582335298260867,-0.4591936275,-0.7995422949,628.3913043478261,72265,6098,213
primary_development_2022_2023_partial,trend_structure,next_open_3d,115,25,0.21739130434782608,23,0.2,-0.2082586416913044,-0.2324793889,0.24261407636574991,-0.6591304454,0.4638081043,-0.398195884793913,-0.3815799574,-0.7774525423,446.55652173913046,51354,12946,164
primary_development_2022_2023_partial,trend_structure,next_open_5d,115,14,0.12173913043478261,60,0.5217391304347826,-0.21036845321478256,-0.2216286865,0.18672909798055323,-0.5752179896,0.2452857055,-0.3467535693295652,-0.3279681861,-0.6517074569,315.23478260869564,36252,8737,71
primary_development_2022_2023_partial,trend_structure,protect_3pct_target6pct_3d,115,0,0.0,22,0.19130434782608696,-0.46713790069391303,-0.4837954011,0.15501315758248102,-0.7899472553,-0.0513194826,-0.513079578813913,-0.5198231602,-0.7947750285,819.7130434782608,94267,8686,148
supplemental_2023_09_legacy,flow_quality,fast_failure_2pct_target4pct_2d,110,16,0.14545454545454545,98,0.8909090909090909,-0.03153096951,-0.0321516842,0.03168960023238572,-0.1097413624,0.0631705561,-0.062151948934545447,-0.05952488845,-0.1342649794,64.4,7084,10,12
supplemental_2023_09_legacy,flow_quality,momentum_trail_4pct_5d,110,16,0.14545454545454545,109,0.990909090909091,-0.02596249297,-0.02608620775,0.027597429013958178,-0.089743661,0.05689999,-0.05781141750090908,-0.05502231885,-0.0966141117,26.7,2937,6,1
supplemental_2023_09_legacy,flow_quality,next_open_1d,110,15,0.13636363636363635,102,0.9272727272727272,-0.03946814909363637,-0.04313785665,0.036245129125415464,-0.1352230536,0.0503057979,-0.06817253706272727,-0.0652184683,-0.1473068615,95.02727272727273,10453,5,8
supplemental_2023_09_legacy,flow_quality,next_open_2d,110,31,0.2818181818181818,108,0.9818181818181818,-0.021884932878181818,-0.022564335499999998,0.03542587078432913,-0.0904589734,0.0752456231,-0.058390976969999994,-0.05457136755,-0.1236259125,48.14545454545455,5296,2,2
supplemental_2023_09_legacy,flow_quality,next_open_3d,110,38,0.34545454545454546,109,0.990909090909091,-0.015017172087272726,-0.014798989700000001,0.03679203805626506,-0.1004562989,0.0806692331,-0.05076623030636364,-0.0454982426,-0.1136229552,34.054545454545455,3746,6,1
supplemental_2023_09_legacy,flow_quality,next_open_5d,110,26,0.23636363636363636,109,0.990909090909091,-0.023212069062727273,-0.0288741491,0.03184647347513096,-0.0824823299,0.0633787884,-0.06012252482454545,-0.05689002305,-0.1106253117,19.990909090909092,2199,5,1
supplemental_2023_09_legacy,flow_quality,protect_3pct_target6pct_3d,110,15,0.13636363636363635,107,0.9727272727272728,-0.02920068055,-0.02977077375,0.03224077848564183,-0.1064571252,0.0824164604,-0.059999185595454536,-0.059116079,-0.1219560942,42.67272727272727,4694,249,3
supplemental_2023_09_legacy,random_hash,fast_failure_2pct_target4pct_2d,110,17,0.15454545454545454,99,0.9,-0.033486567446363635,-0.032510221199999995,0.033291829118196156,-0.1114213032,0.0660452037,-0.062377900646363636,-0.0603676317,-0.1574972186,64.11818181818182,7053,9,11
supplemental_2023_09_legacy,random_hash,momentum_trail_4pct_5d,110,20,0.18181818181818182,109,0.990909090909091,-0.02420997899363636,-0.02504948135,0.028404735161788066,-0.101589391,0.0517448617,-0.05460770107090909,-0.0539582975,-0.1066685596,26.70909090909091,2938,8,1
supplemental_2023_09_legacy,random_hash,next_open_1d,110,12,0.10909090909090909,104,0.9454545454545454,-0.03992110332545456,-0.0437922035,0.033854216068474496,-0.1178042426,0.0387927137,-0.06748498813545453,-0.06613801650000001,-0.1518603341,95.28181818181818,10481,5,6
