sample_group,trade_date,outcome_path,outcome_rows,schema_match,normalized_complete,event_rows,path_rows,reference_rows,path_id_unique,event_orphan_path_count,reference_orphan_path_count,normalized_row_parity
primary_development_2022_2023_partial,2022-04-13,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-13\outcomes.parquet,345712,True,True,345712,145556,345712,1,0,0,True
primary_development_2022_2023_partial,2022-04-14,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-14\outcomes.parquet,405029,True,True,405029,155133,405029,1,0,0,True
primary_development_2022_2023_partial,2022-04-15,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-15\outcomes.parquet,340634,True,True,340634,141386,340634,1,0,0,True
primary_development_2022_2023_partial,2022-04-18,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-18\outcomes.parquet,347770,True,True,347770,140711,347770,1,0,0,True
primary_development_2022_2023_partial,2022-04-19,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-19\outcomes.parquet,420551,True,True,420551,157349,420551,1,0,0,True
primary_development_2022_2023_partial,2022-04-20,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-20\outcomes.parquet,383414,True,True,383414,151239,383414,1,0,0,True
primary_development_2022_2023_partial,2022-04-21,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-21\outcomes.parquet,266634,True,True,266634,118679,266634,1,0,0,True
primary_development_2022_2023_partial,2022-04-22,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-22\outcomes.parquet,260671,True,True,260671,118092,260671,1,0,0,True
primary_development_2022_2023_partial,2022-04-25,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-25\outcomes.parquet,154768,True,True,154768,91238,154768,1,0,0,True
primary_development_2022_2023_partial,2022-04-26,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-26\outcomes.parquet,158091,True,True,158091,91195,158091,1,0,0,True
primary_development_2022_2023_partial,2022-04-27,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-27\outcomes.parquet,262279,True,True,262279,118091,262279,1,0,0,True
primary_development_2022_2023_partial,2022-04-28,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-28\outcomes.parquet,274428,True,True,274428,129266,274428,1,0,0,True
primary_development_2022_2023_partial,2022-04-29,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-29\outcomes.parquet,340912,True,True,340912,130948,340912,1,0,0,True
primary_development_2022_2023_partial,2022-05-05,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-05\outcomes.parquet,287832,True,True,287832,127081,287832,1,0,0,True
primary_development_2022_2023_partial,2022-05-06,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-06\outcomes.parquet,327848,True,True,327848,142517,327848,1,0,0,True
primary_development_2022_2023_partial,2022-05-09,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-09\outcomes.parquet,392525,True,True,392525,145077,392525,1,0,0,True
primary_development_2022_2023_partial,2022-05-10,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-10\outcomes.parquet,427582,True,True,427582,156967,427582,1,0,0,True
primary_development_2022_2023_partial,2022-05-11,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-11\outcomes.parquet,361165,True,True,361165,141518,361165,1,0,0,True
primary_development_2022_2023_partial,2022-05-12,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-12\outcomes.parquet,484843,True,True,484843,170382,484843,1,0,0,True
primary_development_2022_2023_partial,2022-05-13,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-13\outcomes.parquet,437919,True,True,437919,158231,437919,1,0,0,True
primary_development_2022_2023_partial,2022-05-16,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-16\outcomes.parquet,380199,True,True,380199,151220,380199,1,0,0,True
primary_development_2022_2023_partial,2022-05-17,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-17\outcomes.parquet,429177,True,True,429177,160895,429177,1,0,0,True
primary_development_2022_2023_partial,2022-05-18,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-18\outcomes.parquet,448495,True,True,448495,158442,448495,1,0,0,True
primary_development_2022_2023_partial,2022-05-19,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-19\outcomes.parquet,444125,True,True,444125,161005,444125,1,0,0,True
primary_development_2022_2023_partial,2022-05-20,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-20\outcomes.parquet,404373,True,True,404373,146905,404373,1,0,0,True
primary_development_2022_2023_partial,2022-05-23,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-23\outcomes.parquet,333866,True,True,333866,136732,333866,1,0,0,True
primary_development_2022_2023_partial,2022-05-24,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-24\outcomes.parquet,368876,True,True,368876,153242,368876,1,0,0,True
primary_development_2022_2023_partial,2022-05-25,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-25\outcomes.parquet,456531,True,True,456531,156407,456531,1,0,0,True
primary_development_2022_2023_partial,2022-05-26,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-26\outcomes.parquet,475306,True,True,475306,165941,475306,1,0,0,True
primary_development_2022_2023_partial,2022-05-27,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-27\outcomes.parquet,449185,True,True,449185,168540,449185,1,0,0,True
primary_development_2022_2023_partial,2022-05-30,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-30\outcomes.parquet,465041,True,True,465041,166763,465041,1,0,0,True
primary_development_2022_2023_partial,2022-05-31,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-05-31\outcomes.parquet,429242,True,True,429242,159601,429242,1,0,0,True
primary_development_2022_2023_partial,2022-06-01,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-01\outcomes.parquet,406957,True,True,406957,156062,406957,1,0,0,True
primary_development_2022_2023_partial,2022-06-02,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-02\outcomes.parquet,389271,True,True,389271,150397,389271,1,0,0,True
primary_development_2022_2023_partial,2022-06-06,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-06\outcomes.parquet,363775,True,True,363775,139541,363775,1,0,0,True
primary_development_2022_2023_partial,2022-06-07,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-07\outcomes.parquet,400121,True,True,400121,155353,400121,1,0,0,True
primary_development_2022_2023_partial,2022-06-08,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-08\outcomes.parquet,486789,True,True,486789,175058,486789,1,0,0,True
primary_development_2022_2023_partial,2022-06-09,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-09\outcomes.parquet,373646,True,True,373646,149268,373646,1,0,0,True
primary_development_2022_2023_partial,2022-06-10,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-10\outcomes.parquet,509961,True,True,509961,165154,509961,1,0,0,True
primary_development_2022_2023_partial,2022-06-13,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-13\outcomes.parquet,443454,True,True,443454,161370,443454,1,0,0,True
primary_development_2022_2023_partial,2022-06-14,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-14\outcomes.parquet,476632,True,True,476632,168223,476632,1,0,0,True
primary_development_2022_2023_partial,2022-06-15,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-15\outcomes.parquet,437033,True,True,437033,159115,437033,1,0,0,True
primary_development_2022_2023_partial,2022-06-16,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-16\outcomes.parquet,443466,True,True,443466,161031,443466,1,0,0,True
primary_development_2022_2023_partial,2022-06-17,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-17\outcomes.parquet,495298,True,True,495298,172876,495298,1,0,0,True
primary_development_2022_2023_partial,2022-06-20,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-20\outcomes.parquet,431026,True,True,431026,152356,431026,1,0,0,True
primary_development_2022_2023_partial,2022-06-21,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-21\outcomes.parquet,419015,True,True,419015,162326,419015,1,0,0,True
primary_development_2022_2023_partial,2022-06-22,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-22\outcomes.parquet,393076,True,True,393076,153928,393076,1,0,0,True
primary_development_2022_2023_partial,2022-06-23,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-23\outcomes.parquet,468598,True,True,468598,160374,468598,1,0,0,True
primary_development_2022_2023_partial,2022-06-24,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-24\outcomes.parquet,420034,True,True,420034,158502,420034,1,0,0,True
primary_development_2022_2023_partial,2022-06-27,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-27\outcomes.parquet,392098,True,True,392098,150240,392098,1,0,0,True
primary_development_2022_2023_partial,2022-06-28,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-28\outcomes.parquet,410135,True,True,410135,152214,410135,1,0,0,True
primary_development_2022_2023_partial,2022-06-29,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-29\outcomes.parquet,390824,True,True,390824,154485,390824,1,0,0,True
primary_development_2022_2023_partial,2022-06-30,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-06-30\outcomes.parquet,434593,True,True,434593,154181,434593,1,0,0,True
primary_development_2022_2023_partial,2022-07-01,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-01\outcomes.parquet,406951,True,True,406951,154928,406951,1,0,0,True
primary_development_2022_2023_partial,2022-07-04,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-04\outcomes.parquet,404099,True,True,404099,152736,404099,1,0,0,True
primary_development_2022_2023_partial,2022-07-05,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-05\outcomes.parquet,417960,True,True,417960,158714,417960,1,0,0,True
primary_development_2022_2023_partial,2022-07-06,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-06\outcomes.parquet,341989,True,True,341989,141939,341989,1,0,0,True
primary_development_2022_2023_partial,2022-07-07,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-07\outcomes.parquet,425821,True,True,425821,154820,425821,1,0,0,True
primary_development_2022_2023_partial,2022-07-08,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-08\outcomes.parquet,453136,True,True,453136,162837,453136,1,0,0,True
primary_development_2022_2023_partial,2022-07-11,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-11\outcomes.parquet,368121,True,True,368121,145727,368121,1,0,0,True
primary_development_2022_2023_partial,2022-07-12,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-12\outcomes.parquet,353155,True,True,353155,142858,353155,1,0,0,True
primary_development_2022_2023_partial,2022-07-13,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-13\outcomes.parquet,430502,True,True,430502,155987,430502,1,0,0,True
