sample_group,sample_variant,selection_ranker,strategy_id,policy_id,signal_year,observed_seed_count,positive_seed_count,positive_seed_fraction,net_return_mean,net_return_median,net_return_standard_deviation,net_return_minimum,net_return_q25,net_return_q75,net_return_maximum
primary_development_2022_2023_partial,current_contract,sector_leader,s1_near_reversal,next_open_3d,2022,5,5,1.0,0.34978091214341056,0.34978091214341056,0.0,0.34978091214341056,0.34978091214341056,0.34978091214341056,0.34978091214341056
primary_development_2022_2023_partial,current_contract,sector_leader,s1_near_reversal,next_open_3d,2023,5,0,0.0,-0.07187363085107368,-0.07187363085107368,0.0,-0.07187363085107368,-0.07187363085107368,-0.07187363085107368,-0.07187363085107368
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_bull_stack,next_open_3d,2022,5,5,1.0,0.3150548099334527,0.3150548099334527,0.0,0.3150548099334527,0.3150548099334527,0.3150548099334527,0.3150548099334527
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_bull_stack,next_open_3d,2023,5,0,0.0,-0.07070518316113739,-0.07070518316113739,0.0,-0.07070518316113739,-0.07070518316113739,-0.07070518316113739,-0.07070518316113739
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,momentum_trail_4pct_5d,2022,5,2,0.4,0.051582316951713135,-0.004597191182078908,0.13033582762874957,-0.11003108057134758,-0.02734131707261578,0.1479174190808863,0.25196375450372166
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,momentum_trail_4pct_5d,2023,5,4,0.8,0.06888352441171272,0.05690860043584678,0.08824539435534416,-0.04478035100064892,0.008457058587524324,0.11235874831154646,0.211473565724295
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,protect_3pct_target6pct_3d,2022,5,5,1.0,0.14090703580978908,0.14090703580978903,1.6653345369377348e-16,0.1409070358097888,0.14090703580978903,0.14090703580978925,0.14090703580978925
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,protect_3pct_target6pct_3d,2023,5,5,1.0,0.05198051614659516,0.05198051614659516,0.0,0.05198051614659516,0.05198051614659516,0.05198051614659516,0.05198051614659516
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_amount_acceleration,next_open_3d,2022,5,4,0.8,0.21063964245617042,0.20536966988310712,0.22502522403803485,-0.13574774395157996,0.08253556726260358,0.42159293093487893,0.4794477881518424
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_amount_acceleration,next_open_3d,2023,5,1,0.2,-0.05074604427434739,-0.04887647928765437,0.07795724968768847,-0.13285837132351042,-0.11744989821730245,-0.04205960322439328,0.08751413068112357
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,next_open_5d,2022,5,5,1.0,0.2636605956119007,0.2636605956119007,0.0,0.2636605956119007,0.2636605956119007,0.2636605956119007,0.2636605956119007
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,next_open_5d,2023,5,0,0.0,-0.09805428898440449,-0.09805428898440449,0.0,-0.09805428898440449,-0.09805428898440449,-0.09805428898440449,-0.09805428898440449
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,next_open_1d,2022,5,5,1.0,0.10596946822615028,0.10596946822615028,0.0,0.10596946822615028,0.10596946822615028,0.10596946822615028,0.10596946822615028
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,next_open_1d,2023,5,5,1.0,0.019131625771787286,0.019131625771787286,0.0,0.019131625771787286,0.019131625771787286,0.019131625771787286,0.019131625771787286
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,momentum_trail_4pct_5d,2022,5,5,1.0,0.09773490492062353,0.09773490492062353,0.0,0.09773490492062353,0.09773490492062353,0.09773490492062353,0.09773490492062353
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,momentum_trail_4pct_5d,2023,5,5,1.0,0.021400051206771575,0.021400051206771575,0.0,0.021400051206771575,0.021400051206771575,0.021400051206771575,0.021400051206771575
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,next_open_3d,2022,5,2,0.4,0.07204147684604587,-0.0026000537000636648,0.20742114520256502,-0.12490057377162478,-0.014350570483732006,0.028292600286786707,0.4737659818988631
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,next_open_3d,2023,5,3,0.6,0.06599909925799959,0.11026498005432184,0.06640360053069888,-0.020457493117981063,-0.009399932697712443,0.12212073917576038,0.1274672028756092
primary_development_2022_2023_partial,current_contract,sector_leader,s1_near_reversal,next_open_2d,2022,5,5,1.0,0.08037903421339343,0.08037903421339343,0.0,0.08037903421339343,0.08037903421339343,0.08037903421339343,0.08037903421339343
primary_development_2022_2023_partial,current_contract,sector_leader,s1_near_reversal,next_open_2d,2023,5,5,1.0,0.03391126294284996,0.03391126294284996,0.0,0.03391126294284996,0.03391126294284996,0.03391126294284996,0.03391126294284996
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,momentum_trail_4pct_5d,2022,5,2,0.4,0.03321811228867342,-0.020288389162437026,0.18153514624641873,-0.14750066593492006,-0.10430728820702495,0.07549626537444798,0.36269063937330115
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,momentum_trail_4pct_5d,2023,5,4,0.8,0.03213173925255277,0.04031824645589355,0.08150293126745259,-0.11135631006286317,0.017888698373296652,0.08268477740621627,0.13112328409022056
primary_development_2022_2023_partial,current_contract,trend_structure,s1_touch_reclaim,next_open_3d,2022,5,3,0.6,0.16942662238661735,0.14520463599699052,0.23552241334222213,-0.14585800641037827,-0.0154696394560081,0.3783499331622191,0.48490618864026347
primary_development_2022_2023_partial,current_contract,trend_structure,s1_touch_reclaim,next_open_3d,2023,5,2,0.4,-0.03931551758264558,-0.09214978944153818,0.10231443601949933,-0.14365407083111326,-0.1269212936735883,0.06037828449473848,0.10576928153827336
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_daily_trend,next_open_3d,2022,5,3,0.6,0.09823011128393966,0.06039723635378058,0.17865671152882162,-0.09451030065200428,-0.07202590306635237,0.2221864880642319,0.37510303572004244
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_daily_trend,next_open_3d,2023,5,2,0.4,-0.03901911461424736,-0.011579833492507907,0.10334343541022394,-0.19961760664680406,-0.111262823551043,0.04724754688640043,0.08011714373271772
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,momentum_trail_4pct_5d,2022,5,5,1.0,0.09125361025897627,0.09125361025897627,0.0,0.09125361025897627,0.09125361025897627,0.09125361025897627,0.09125361025897627
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,momentum_trail_4pct_5d,2023,5,0,0.0,-0.0048807724042770895,-0.0048807724042770895,0.0,-0.0048807724042770895,-0.0048807724042770895,-0.0048807724042770895,-0.0048807724042770895
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,protect_3pct_target6pct_3d,2022,5,2,0.4,-0.018908198763747452,-0.038853104356049495,0.20231195345992012,-0.2397816864333867,-0.23969018647028684,0.20225887699485745,0.22152510644612833
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,protect_3pct_target6pct_3d,2023,5,4,0.8,0.045273340145046956,0.04495526797938432,0.05231991320654793,-0.023284031399149585,0.0009400537315527036,0.08436908369530949,0.11938632671813787
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,next_open_3d,2022,5,3,0.6,0.09565728403386194,0.04072658507143556,0.1676380391380901,-0.07128438479299737,-0.06268918246369759,0.20744405462587134,0.3640893477286977
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,next_open_3d,2023,5,5,1.0,0.06949432081223969,0.09296036124138629,0.03374904483487376,0.026152084676186682,0.030891008418772126,0.09300504841557844,0.10446310130927494
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_2d,2022,5,5,1.0,0.09941007837631433,0.09941007837631433,0.0,0.09941007837631433,0.09941007837631433,0.09941007837631433,0.09941007837631433
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_2d,2023,5,0,0.0,-0.024645235758326445,-0.024645235758326445,0.0,-0.024645235758326445,-0.024645235758326445,-0.024645235758326445,-0.024645235758326445
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_volume_proxy,next_open_1d,2022,5,0,0.0,-0.20294703935595493,-0.13208718838647127,0.11430956276426768,-0.38360547458179783,-0.29037802564273973,-0.12137430337028576,-0.08729020479848004
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_volume_proxy,next_open_1d,2023,5,4,0.8,0.1459352969715059,0.21294078414115125,0.09830597417815297,-0.025201746103756806,0.0955113192253636,0.21790194577671373,0.22852418181805767
