sample_group,strategy_id,ma_period,recent_high_breakout_true_fraction,prior_acceleration_true_fraction,breakout_recent_true_fraction,daily_trend_positive_true_fraction,market_supportive_true_fraction,sector_strong_true_fraction,leader_sync_true_fraction,auction_confirmed_true_fraction,volume_normal_true_fraction,not_repeated_cross_true_fraction,sector_strength_rank_mean,sector_breadth_mean,leader_relative_return_mean,vwap_deviation_mean,volume_acceleration_5_20_mean,amount_curve_surprise_mean
primary_development_2022_2023_partial,s4_reclaim_vwap_support,60,0.33063154770832204,0.4960159298982363,0.06482051740258414,0.3552986377256496,0.3593257874800956,0.2707891235045776,0.22720847041704295,0.4741793326164028,0.4295934876329486,0.9082722506406103,0.5544342881750312,0.502559924459697,0.004659667912775855,0.006436686046283515,1.1347135851285568,1.668680384654789
primary_development_2022_2023_partial,s4_reclaim_vwap_support,120,0.3378594405868738,0.5011915970342474,0.04216193950806167,0.20861774744027303,0.359268957671335,0.2810109450394257,0.24304656545447412,0.47498136597230395,0.4285924443921384,0.9101300458985524,0.5604410905313597,0.5058945393255055,0.005676665867736601,0.006901310696162488,1.2089157391959602,2.1003659061855418
primary_development_2022_2023_partial,s4_reclaim_vwap_support,240,0.33554128108359615,0.4765354391769632,0.12104508090782196,0.36294137414051597,0.35917386134518947,0.282434213927519,0.2415085560667942,0.4778602078271209,0.42852065346637025,0.9088946905857416,0.5617788567402212,0.5076180711190653,0.005798535363002092,0.00685788294148476,1.2562924075098592,2.5948279766982436
supplemental_2023_09_legacy,cs_r3_leader_confirmation,10,0.21925925925925926,0.5928540305010893,0.0,0.24427015250544662,0.2762527233115468,1.0,1.0,0.6367755991285403,0.3143355119825708,0.7749019607843137,0.8359105159678769,0.6896173195328179,0.006339510478854521,1.6730572863482496,1.346437922043669,2.82662152077984
supplemental_2023_09_legacy,cs_r3_leader_confirmation,20,0.25693927469956396,0.5921514410294587,0.0,0.20801871743060726,0.3557375305753483,1.0,1.0,0.6510688078272892,0.3629692651281506,0.8092098266510688,0.835306842912082,0.7169787090539355,0.0076435458069627,1.6496459041925762,1.4534404885324739,2.46667478968705
supplemental_2023_09_legacy,cs_r3_leader_confirmation,40,0.27763422337065746,0.5920183749641114,0.0,0.1748492678725237,0.42248062015503873,1.0,1.0,0.6495836922193511,0.3664944013781223,0.8248636233132357,0.837871053129144,0.7352846828114444,0.009013335045904727,1.6020208821890072,1.527948366218394,2.521520778457251
supplemental_2023_09_legacy,cs_r3_leader_confirmation,60,0.292595131984916,0.62170037709976,0.0,0.12992800822763112,0.42355159410353105,1.0,1.0,0.6554679465203976,0.3649297223174494,0.823277339732602,0.8403137202438334,0.7357389150122764,0.009958896409285278,1.591611495226495,1.6653595930816625,2.7771737443508764
supplemental_2023_09_legacy,cs_r3_leader_confirmation,120,0.2968505695778423,0.5818628545901273,0.0,0.10498101407192316,0.4114362296180478,1.0,1.0,0.6522224704042886,0.3772615590797409,0.8416350234532053,0.8475841291806009,0.7365482537338945,0.011484777307101644,1.65536642366231,1.6693517048750905,3.3269299842773057
supplemental_2023_09_legacy,cs_r3_leader_confirmation,240,0.2895973154362416,0.5704697986577181,0.0,0.22583892617449663,0.37583892617449666,1.0,1.0,0.6456375838926175,0.3604026845637584,0.8375838926174497,0.8474341136028922,0.7306469908926884,0.012538020583244913,1.6274200856538263,1.8883304748809797,4.1566538544688
supplemental_2023_09_legacy,fu_r3_core_pullback,10,0.22776821572002295,0.6353987378083764,0.0,0.16379804934021802,1.0,1.0,1.0,0.5742971887550201,0.29518072289156627,1.0,0.8160236765878814,0.8184384434241415,0.008296967570184298,1.750444562638575,1.2638778472367698,3.8971974751782685
supplemental_2023_09_legacy,fu_r3_core_pullback,20,0.30017201834862384,0.6413417431192661,0.0,0.13646788990825687,1.0,1.0,1.0,0.6315940366972477,0.40280963302752293,1.0,0.8211568583575768,0.8327729995937003,0.009381687830762766,1.7218592307275462,1.391257606382073,2.8503818477566587
supplemental_2023_09_legacy,fu_r3_core_pullback,40,0.3312396694214876,0.6330578512396694,0.0,0.11272727272727273,1.0,1.0,1.0,0.6522314049586777,0.4254545454545455,1.0,0.8296915944366143,0.8411322417839495,0.010839616507720747,1.5868018925491232,1.4570481717321753,2.7708990716567423
supplemental_2023_09_legacy,fu_r3_core_pullback,60,0.36009634684865516,0.6639903653151344,0.0,0.07667603372139703,1.0,1.0,1.0,0.6479325572059413,0.4219189080690486,1.0,0.8309279258991005,0.844860135314513,0.012104190259569667,1.6421000769347198,1.6283860930583922,3.069046946518006
supplemental_2023_09_legacy,fu_r3_core_pullback,120,0.35213494992092775,0.6093832366895098,0.0,0.05693199789140749,1.0,1.0,1.0,0.672641012124407,0.44069583552978386,1.0,0.8365455083122355,0.8435078843975342,0.014131242086517335,1.6154860150929935,1.6235231629274252,3.593033389992642
supplemental_2023_09_legacy,fu_r3_core_pullback,240,0.3244635193133047,0.5914163090128756,0.0,0.15107296137339055,1.0,1.0,1.0,0.6197424892703862,0.4231759656652361,1.0,0.834795352245372,0.8459173044952173,0.014361306285872915,1.6232466942928916,1.6481367100546078,4.125917567093109
supplemental_2023_09_legacy,ht_r3_core_pullback,10,0.25480184779965964,0.5940919037199125,0.0,0.23182591782154147,0.3185023097495745,1.0,1.0,0.799294918550936,1.0,0.611354242645271,0.8408585508174446,0.7100668080251873,0.007931682233129893,1.6563235924619621,0.21454161895679683,1.3824171295631598
