sample_group,sample_variant,selection_ranker,selection_seed,strategy_id,policy_id,signal_year,net_return,maximum_drawdown
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_2d,2022,-0.271375911,-0.2953632559
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_2d,2023,0.0490765337,-0.2984947936
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_3d,2022,-0.1836501303,-0.2719920889
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_3d,2023,-0.0202191705,-0.2786046421
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_5d,2022,-0.2833028569,-0.3750622444
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_5d,2023,0.150149457,-0.2878266438
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,protect_3pct_target6pct_3d,2022,-0.4424813443,-0.4550364406
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,protect_3pct_target6pct_3d,2023,-0.0548454827,-0.4863838057
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,momentum_trail_4pct_5d,2022,-0.3956433284,-0.4192381945
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,momentum_trail_4pct_5d,2023,0.081184322,-0.4087077074
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,fast_failure_2pct_target4pct_2d,2022,-0.4293398517,-0.4500569552
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,fast_failure_2pct_target4pct_2d,2023,0.2328402717,-0.4331470949
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_1d,2022,-0.4635629547,-0.4951816526
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_1d,2023,-0.0734136669,-0.5109162122
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_2d,2022,-0.4477343357,-0.4717079949
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_2d,2023,0.0146307396,-0.4886500972
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_3d,2022,-0.3666632554,-0.4316348655
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_3d,2023,-0.0129514084,-0.43559204
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_5d,2022,0.040851421,-0.2573818973
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,next_open_5d,2023,0.1060515119,-0.1034081386
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,protect_3pct_target6pct_3d,2022,-0.3609952712,-0.4436029537
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,protect_3pct_target6pct_3d,2023,0.0327288949,-0.3771882787
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,momentum_trail_4pct_5d,2022,-0.356461332,-0.4294662349
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,momentum_trail_4pct_5d,2023,-0.0236116307,-0.4333252385
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,2022,-0.3660687216,-0.385386511
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,2023,-0.0811520146,-0.4268550592
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_1d,2022,-0.2824542314,-0.3532346758
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_1d,2023,-0.2068151528,-0.4554267238
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_2d,2022,-0.1208419827,-0.3183754169
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_2d,2023,-0.1470371944,-0.2794861929
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_3d,2022,-0.1981886657,-0.3128440153
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_3d,2023,-0.0288348651,-0.2494644266
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_5d,2022,-0.0216816636,-0.272869851
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,next_open_5d,2023,-0.0760203729,-0.2251457984
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,2022,-0.1645220249,-0.1908772005
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,2023,-0.0920657987,-0.25786644
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,2022,-0.2847287815,-0.301108798
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,2023,-0.0639202527,-0.3627957981
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,2022,-0.3737780386,-0.3970301882
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,2023,-0.21967518,-0.5254088965
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_1d,2022,-0.3526081159,-0.370634035
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_1d,2023,-0.0413982631,-0.4367291113
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_2d,2022,-0.1789199656,-0.2424505246
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_2d,2023,-0.0504135147,-0.2852296254
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_3d,2022,-0.2168094822,-0.2773796611
