date_idx,trade_date,candidate_count,endpoint_mean,endpoint_mean_log_return
3194,2023-02-28,1638,-0.02733900112565678,-0.032756223418105954
3195,2023-03-01,1650,-0.03762303200462184,-0.04293168962523968
3196,2023-03-02,1650,-0.034646225486490455,-0.03918442655568516
3197,2023-03-03,1653,-0.02760450045808266,-0.03217042918811504
3198,2023-03-06,1649,-0.016801939930902652,-0.02171502428177558
3199,2023-03-07,1653,0.0004780219262648944,-0.005437599797306117
3200,2023-03-08,1656,-0.007954382421109985,-0.014003755388620927
3201,2023-03-09,1659,0.009551553645685164,0.003516651060503251
3202,2023-03-10,1658,0.013536457463272719,0.008311961003738929
3203,2023-03-13,1663,0.008741075634096441,0.003459889230826802
3204,2023-03-14,1658,0.019788288052853976,0.013932172265870848
3205,2023-03-15,1661,0.014659606891604756,0.008748203344546786
3206,2023-03-16,1661,0.02321571272557903,0.01763408838835082
3207,2023-03-17,1662,0.024850874550286645,0.020406514949949613
3208,2023-03-20,1668,0.02641183012841427,0.02178677514727103
3209,2023-03-21,1667,0.008604019287707989,0.0038733653688187955
3210,2023-03-22,1670,0.006501834461947172,0.0009679090695119026
3211,2023-03-23,1673,-0.02202839327919605,-0.027758189632875158
3212,2023-03-24,1671,-0.024411153170997183,-0.030826242341633774
3213,2023-03-27,1677,-0.03866765409301645,-0.04660918990264598
3214,2023-03-28,1673,-0.02752488119303217,-0.03435532464263896
3215,2023-03-29,1670,-0.02065985859157364,-0.02728458606514905
3216,2023-03-30,1665,-0.006968053587042522,-0.014070630864219686
3217,2023-03-31,1662,-0.007988630490598345,-0.016690765524008798
3218,2023-04-03,1661,-0.023832775528564006,-0.033254429397832214
3219,2023-04-04,1664,-0.009251412682383138,-0.018199617579621137
3220,2023-04-06,1673,-0.023457106806297336,-0.03308577933774948
3221,2023-04-07,1674,-0.029590518264957563,-0.03859979803717681
3222,2023-04-10,1673,-0.018981873632483274,-0.027126604113053777
3223,2023-04-11,1677,-0.03620335094856121,-0.044174583678196634
3224,2023-04-12,1681,-0.03116822804591371,-0.03840349444182602
3225,2023-04-13,1679,-0.039044094824427965,-0.04592429048464934
3226,2023-04-14,1680,-0.03605087297183629,-0.0423795244943102
3227,2023-04-17,1682,-0.03833617281460464,-0.044613423911505495
3228,2023-04-18,1676,-0.03738962680338324,-0.04302409123227728
3229,2023-04-19,1693,-0.029704361455631063,-0.03485386446052715
3230,2023-04-20,1695,-0.03786843041287547,-0.04331379573368214
3231,2023-04-21,1694,-0.021691497433940773,-0.025998801091509306
3232,2023-04-24,1707,-0.019198994058900822,-0.02334679484734004
3233,2023-04-25,1706,0.005947354899715673,0.0018621883280222876
3234,2023-04-26,1706,-0.004975075815616612,-0.008763076079810497
3235,2023-04-27,1715,-0.0035669034184109415,-0.007444167713542217
3236,2023-04-28,1727,-0.019715295813521272,-0.023588219005839118
3237,2023-05-04,1735,-0.026215938260831604,-0.03012793371685605
3238,2023-05-05,1743,-0.01211083861012524,-0.015260805680093914
3239,2023-05-08,1742,-0.014881380250305526,-0.01862410724928922
3240,2023-05-09,1739,-0.018242400057633078,-0.022086126097768943
3241,2023-05-10,1740,-0.018849903675664404,-0.022808400135363765
3242,2023-05-11,1740,-0.019392145018901442,-0.023191816399395146
3243,2023-05-12,1738,-0.004449536483848381,-0.008229802562257952
3244,2023-05-15,1742,-0.005223737549917483,-0.009440124165577952
3245,2023-05-16,1746,0.011444934320411944,0.006231694042916235
3246,2023-05-17,1751,0.0051392397954555715,0.00023353948830326596
3247,2023-05-18,1760,0.01216726975389251,0.00822514719588368
3248,2023-05-19,1762,0.019920846895829104,0.015571531885675886
3249,2023-05-22,1763,0.014800226649243825,0.009530673728880898
3250,2023-05-23,1763,0.02547337509816719,0.019208771352440156
3251,2023-05-24,1766,0.015290356269424273,0.010280286041035981
3252,2023-05-25,1762,-0.00292665528384689,-0.007268043743233922
3253,2023-05-26,1764,0.007231761912831374,0.003442828212220778
3254,2023-05-29,1772,0.011256520340264257,0.007550423798512395
3255,2023-05-30,1771,0.011125036036873561,0.0074253947561768105
3256,2023-05-31,1775,0.02575029666040791,0.021507702171255992
3257,2023-06-01,1775,0.025830886384888722,0.02174511247472585
3258,2023-06-02,1772,0.019363005007064744,0.015435877963113947
3259,2023-06-05,1776,0.011611638158071015,0.007710289084901632
3260,2023-06-06,1772,0.02556272511906347,0.0208190628074699
3261,2023-06-07,1770,0.019934843857699478,0.015008323363229617
3262,2023-06-08,1768,0.022967318855520863,0.018355547223958147
3263,2023-06-09,1769,0.024795707786819377,0.020037718235241513
3264,2023-06-12,1768,0.00653524508760715,0.002463484365775256
3265,2023-06-13,1770,0.011816068093925793,0.007956902162124945
3266,2023-06-14,1768,0.010251685376924983,0.006527800481465183
3267,2023-06-15,1766,-0.00048488760019182466,-0.00402887986868246
