top_k,slot_count,policy_name,mean_year_rank,worst_year_rank,positive_year_count,worst_year_return,mean_year_return,annualized_log_growth,signal_period_total_return,signal_period_maximum_drawdown
1,3,fixed_d54,352.6666666666667,756.0,6,0.1351352145353144,0.42842859426528573,0.3407042067967929,6.150349195217345,-0.45277552120784803
3,6,fixed_d42,373.8333333333333,791.0,6,0.13874034083578035,0.3954440094330316,0.3387917568055686,6.071828482719777,-0.39260754838861533
2,6,rolling_path,346.1666666666667,669.0,6,0.01748223441522012,0.42931409103995444,0.33827477308068193,6.050750792032747,-0.35466812457191177
2,6,fixed_d22,324.5,788.0,6,0.004395758129432048,0.42922252524365434,0.3366633815356888,5.985455757617484,-0.3790582482797147
1,3,fixed_d16,321.3333333333333,830.0,6,0.02719419845684623,0.42222440584809146,0.3340880743959986,5.882355109099139,-0.4150273166661739
3,6,fixed_d55,336.8333333333333,768.0,6,0.10067962756013604,0.39574995524581397,0.3328015979155289,5.831423260738474,-0.356160361681219
3,12,fixed_d55,318.0,529.0,6,0.019100025686650035,0.39258327626404005,0.326375614242731,5.582605435811295,-0.34427806825106755
3,6,fixed_d56,353.3333333333333,750.0,6,0.14067810579175322,0.39452091302102876,0.3239815181511733,5.492239724039418,-0.337252012119018
3,12,rolling_path,326.0,587.0,6,0.1131016974955732,0.38738983110582986,0.3214163635129121,5.39679357400268,-0.29819639225098593
3,12,fixed_d28,378.8333333333333,727.0,6,0.038377775513495305,0.4110170785881217,0.3191392698457931,5.313242147787593,-0.35025504426144893
2,6,fixed_d18,358.6666666666667,709.0,6,0.060421093597384345,0.38988095252111754,0.3164825642101396,5.217140307267966,-0.315562436749825
2,12,fixed_d18,335.5,574.0,6,0.04291392135215344,0.3825579087912517,0.315659274320943,5.187657142580876,-0.2995550014604549
3,12,fixed_d59,329.1666666666667,590.0,6,0.009597505581681931,0.3818709922278811,0.3144714508897344,5.145365731144074,-0.34197304185012256
3,6,fixed_d43,338.0,529.0,6,0.05508928291614135,0.37288114293809876,0.3140848969230997,5.131665251789023,-0.36185118977120145
2,12,fixed_d21,309.6666666666667,486.0,6,0.10326352923319293,0.36331960349264686,0.31175743907422665,5.049817285514159,-0.2803910353473519
2,4,fixed_d57,338.5,762.0,6,0.04009349315895627,0.37400692710450256,0.30950400542878564,4.97161359140465,-0.41125664787174754
3,12,fixed_d35,356.8333333333333,627.0,6,0.03529580091879092,0.3776777805246379,0.3094923720223441,4.971212497126676,-0.3497431432340232
3,12,fixed_d32,338.5,639.0,6,0.0703566051002289,0.37624973326658173,0.3088562213300985,4.9493203860597275,-0.35350949201053894
3,12,fixed_d16,333.1666666666667,448.0,6,0.007800854748038377,0.3675269749865058,0.30592884902717304,4.849609472168655,-0.32436743032371107
2,4,fixed_d45,404.8333333333333,873.0,6,0.14400758013576387,0.3497787930474236,0.3057639227676299,4.84404181645125,-0.46854676769032644
3,12,fixed_d18,320.3333333333333,445.0,6,0.016448605057370003,0.36179509807052107,0.3055599082495552,4.837161933023914,-0.3270207698550692
3,12,fixed_d21,323.6666666666667,595.0,6,0.11625253969604987,0.35534419280236634,0.30512188127686557,4.82241791068067,-0.3438618768531262
3,3,fixed_d56,371.8333333333333,720.0,6,0.08066997570643974,0.36904907920626934,0.3049361186294751,4.816176376742905,-0.3708785273921341
2,4,fixed_d55,352.6666666666667,922.0,6,0.0036584491605480274,0.3563901581464927,0.3046757107941037,4.807438063307962,-0.41467107170947337
3,12,fixed_d15,364.8333333333333,668.0,6,0.022122452900338763,0.3614683869267396,0.30375312156159684,4.776584933764814,-0.2989995244696937
3,6,fixed_d60,406.5,849.0,6,0.16167711796923223,0.3435308350110402,0.2993941371191295,4.633014422518386,-0.3547143440193542
2,12,fixed_d12,372.0,597.0,6,0.060944240381104686,0.37444858351727034,0.29919890331334353,4.626668225052375,-0.2206972655020436
3,3,fixed_d33,429.3333333333333,932.0,6,0.0018349751409205695,0.36000420451830933,0.29839510369660904,4.600615439322723,-0.46103162008520115
