event,period,horizon,mean_excess_vs_date_universe,hac_se_excess_date_mean,hac_lcb_excess_date_mean
retest20,oos_2023_2025,1,,,
retest20,oos_2023_2025,3,0.00026957084507496504,0.0016197839989840273,-0.0031829954077215263
retest20,oos_2023_2025,5,0.0005269692499457199,0.002355414249439439,-0.005595144752652612
retest20,oos_2023_2025,10,0.003034134782604258,0.0038303134264647074,-0.00894508357600805
retest20,oos_2023_2025,20,0.0004013727985198602,0.005969311154013473,-0.01574739902951268
rebreakout20,development_2012_2020,1,,,
rebreakout20,development_2012_2020,3,-0.0025919419756640443,0.0013866666133961,-0.005358828559937514
rebreakout20,development_2012_2020,5,-0.005713864350859422,0.0017640394247576657,-0.007455854760667845
rebreakout20,development_2012_2020,10,-0.009217319055045236,0.0029390531112378137,-0.013708339351315386
rebreakout20,development_2012_2020,20,-0.009662755456616812,0.00441322800967424,-0.020218209466010217
rebreakout20,validation_2021_2022,1,,,
rebreakout20,validation_2021_2022,3,-0.00344274587118883,0.002936280008946718,-0.007463955682164126
rebreakout20,validation_2021_2022,5,-0.004980941281629144,0.004226580742861722,-0.011737232183946143
rebreakout20,validation_2021_2022,10,-0.009752647685054874,0.006726164678859538,-0.024944161522352775
rebreakout20,validation_2021_2022,20,-0.012681414968420925,0.009628302817308436,-0.03831811880174814
rebreakout20,oos_2023_2025,1,,,
rebreakout20,oos_2023_2025,3,5.1903709726907155e-05,0.0023845981928618163,-0.006208925424079056
rebreakout20,oos_2023_2025,5,-5.864737610999913e-05,0.00355105855496644,-0.009773227942484388
rebreakout20,oos_2023_2025,10,-0.0006335774657998682,0.005979095042211202,-0.013965784388883549
rebreakout20,oos_2023_2025,20,-0.002763005064661378,0.007702247603038734,-0.02276731928774927
climax_fade,development_2012_2020,1,,,
climax_fade,development_2012_2020,3,0.0018819949150672352,0.0017023173209195046,-0.00033907306440079856
climax_fade,development_2012_2020,5,-0.0020822628240626173,0.0023899245586886542,-0.006855036837351767
climax_fade,development_2012_2020,10,-0.007084485332268321,0.0028724589239624725,-0.012699200423740186
climax_fade,development_2012_2020,20,-0.014032560479657261,0.003761248662092526,-0.01744927024005869
climax_fade,validation_2021_2022,1,,,
climax_fade,validation_2021_2022,3,-0.00035832451385526637,0.0037219240790128906,-0.0088660437912601
climax_fade,validation_2021_2022,5,-0.004102752714401193,0.004453995704317284,-0.015085258400372559
climax_fade,validation_2021_2022,10,0.0029252352723359893,0.006147857506173359,-0.008655508638299272
climax_fade,validation_2021_2022,20,-0.00607079914451238,0.007608548909087232,-0.024153445044590334
climax_fade,oos_2023_2025,1,,,
climax_fade,oos_2023_2025,3,-0.0005462644675766353,0.0029203734154661797,-0.006980343091504635
climax_fade,oos_2023_2025,5,-0.0036404038736043503,0.003636507946109714,-0.009958914216391765
climax_fade,oos_2023_2025,10,-0.0036933631680177814,0.004845113496688362,-0.012842377174347445
climax_fade,oos_2023_2025,20,-0.0023831968854982955,0.006696542654115019,-0.014962036577357207
minute_trend_confirmed,development_2012_2020,1,,,
minute_trend_confirmed,development_2012_2020,3,-0.0005022168960155842,0.000809929131227866,-0.0031187280420283798
minute_trend_confirmed,development_2012_2020,5,-0.003301757510269913,0.0010851060756667487,-0.00812746985862029
minute_trend_confirmed,development_2012_2020,10,-0.005355482837716234,0.0015957066529344102,-0.013178580743741307
minute_trend_confirmed,development_2012_2020,20,-0.008488568731438448,0.002487708418979324,-0.018975245784560744
minute_trend_confirmed,validation_2021_2022,1,,,
minute_trend_confirmed,validation_2021_2022,3,-0.0012561738569021152,0.0012243529012603165,-0.006274943557818308
minute_trend_confirmed,validation_2021_2022,5,-0.003464385062627414,0.0017521236938123639,-0.0095919016520996
minute_trend_confirmed,validation_2021_2022,10,-0.004636581074333769,0.0026122228629444724,-0.014552207858433239
minute_trend_confirmed,validation_2021_2022,20,-0.008389007411130286,0.003997717004457404,-0.020239690454855085
minute_trend_confirmed,oos_2023_2025,1,,,
minute_trend_confirmed,oos_2023_2025,3,-0.00226462361937882,0.0013059033871995478,-0.0048060967687223455
minute_trend_confirmed,oos_2023_2025,5,-0.003905035410077816,0.0017509270850139494,-0.007657180699014937
minute_trend_confirmed,oos_2023_2025,10,-0.006924375189085568,0.0028200835233562083,-0.013916598016310372
minute_trend_confirmed,oos_2023_2025,20,-0.013710058023694873,0.004146347501637388,-0.019147586964583775
minute_closing_pressure,development_2012_2020,1,,,
minute_closing_pressure,development_2012_2020,3,-0.00471842062436041,0.0004406303099296223,-0.0064306500964139155
minute_closing_pressure,development_2012_2020,5,-0.007779395555674828,0.0005577912629162195,-0.010660601625700218
minute_closing_pressure,development_2012_2020,10,-0.010613634688946985,0.0009518666272127575,-0.015879345204396735
minute_closing_pressure,development_2012_2020,20,-0.013701632197378855,0.0012392630853849693,-0.020806203377669856
minute_closing_pressure,validation_2021_2022,1,,,
minute_closing_pressure,validation_2021_2022,3,-0.003993124259777792,0.0006036377772332942,-0.006440096971983107
minute_closing_pressure,validation_2021_2022,5,-0.0054897568490699395,0.0007466689881243554,-0.008313647957310436
minute_closing_pressure,validation_2021_2022,10,-0.005972955344292311,0.0012441699521570366,-0.01002601368820526
minute_closing_pressure,validation_2021_2022,20,-0.007212002172218263,0.0018723230210987813,-0.013433669054471804
minute_closing_pressure,oos_2023_2025,1,,,
minute_closing_pressure,oos_2023_2025,3,-0.0034072924051981013,0.0005565539936806632,-0.00493416803371944
minute_closing_pressure,oos_2023_2025,5,-0.005381833060410333,0.0007717498715338691,-0.007812515540675741
minute_closing_pressure,oos_2023_2025,10,-0.008099343074581105,0.001283529563243077,-0.011683023237468261
minute_closing_pressure,oos_2023_2025,20,-0.011101471020118717,0.001899990635609133,-0.014762252995605081
minute_intraday_fade,development_2012_2020,1,,,
minute_intraday_fade,development_2012_2020,3,0.0004448338691160865,0.0003715547086053039,-0.0007155365572962418
minute_intraday_fade,development_2012_2020,5,-0.001614456555579376,0.0005200276955041081,-0.0032969246025580227
