event,period,horizon,rows,dates,symbols,mean_gross_return,median_gross_return,mean_net_return,positive_rate,net_positive_rate,mean_mfe,median_mfe,mean_mae,median_mae,hac_se_gross_date_mean,hac_lcb_gross_date_mean,hac_se_net_date_mean,hac_lcb_net_date_mean,cost_bps_round_trip
breakout20,oos_2023_2025,10,108590,715,3263,-0.005722326923993688,-0.013480117508101463,-0.011722326923993694,0.41810479786352334,0.3888295423151303,0.0866974446795955,0.04952930892802465,-0.07613632030025035,-0.05678793256433001,0.005119967120206769,-0.017683954153683023,0.005119967120206769,-0.023683954153683025,60.0
breakout20,oos_2023_2025,20,107728,705,3263,-0.0009073123494509669,-0.017298016579453734,-0.00690731234945097,0.4286629288578643,0.40748923214020494,0.12630317132078697,0.07603683361036839,-0.09970873847870648,-0.07891332470892631,0.007623470399066008,-0.024383841230784242,0.007623470399066008,-0.030383841230784248,60.0
breakout60,development_2012_2020,1,0,0,3060,,,,,,,,,,,,,,60.0
breakout60,development_2012_2020,3,141064,2175,3060,0.010754484252656607,0.0,0.004754484252656604,0.4932229342709692,0.4530922134633925,0.05297555878043999,0.03535353535353525,-0.04853450215066549,-0.03548387096774197,0.0015263299490584693,0.011997836216418175,0.0015263299490584693,0.005997836216418173,60.0
breakout60,development_2012_2020,5,141021,2175,3060,0.017676948707296518,-0.0016666666666667052,0.011676948707296513,0.4870834840201105,0.45435786159508157,0.08202349333921886,0.05025125628140703,-0.061979721275573295,-0.04621264767199451,0.002760373265863243,0.017397682135613872,0.002760373265863243,0.01139768213561387,60.0
breakout60,development_2012_2020,10,140940,2175,3060,0.031081271089638613,-0.0009004954549509114,0.025081271089638615,0.49345820916702143,0.4716758904498368,0.13371113102451498,0.07649948344086854,-0.08493235766616994,-0.06435643564356441,0.005106741948348072,0.02623334021913446,0.005106741948348072,0.020233340219134456,60.0
breakout60,development_2012_2020,20,140746,2175,3060,0.029969652294028135,-0.006954506524258164,0.023969652294028133,0.4793741918065167,0.46476631662711554,0.19452253904621064,0.11054019314944774,-0.12100759966941152,-0.08915662650602418,0.007978715852251088,0.024351978397601722,0.00797871585225109,0.01835197839760172,60.0
breakout60,validation_2021_2022,1,0,0,3177,,,,,,,,,,,,,,60.0
breakout60,validation_2021_2022,3,35111,485,3177,-0.0003397431598448694,-0.00856828576390889,-0.0063397431598448736,0.43889379396770245,0.4046025462105893,0.05093966550809197,0.03454773869346717,-0.058587263873750905,-0.045295149035651794,0.0021659156274281433,-0.004226912295707092,0.0021659156274281438,-0.010226912295707095,60.0
breakout60,validation_2021_2022,5,35111,485,3177,-0.002463635134370107,-0.014761904761904754,-0.008463635134370111,0.41622283614821565,0.39004870268576797,0.07565551233246862,0.04924760601915179,-0.07496524252371696,-0.05889724310776945,0.0034852933445511476,-0.009154481200403693,0.003485293344551148,-0.015154481200403698,60.0
breakout60,validation_2021_2022,10,35110,485,3177,-0.004977554403248457,-0.02499999999999991,-0.010977554403248461,0.39920250640843064,0.37906579322130446,0.11615232138571681,0.07310537687342744,-0.10142511523801848,-0.08323493990129172,0.006007191878524295,-0.017653764810541057,0.006007191878524295,-0.023653764810541066,60.0
breakout60,validation_2021_2022,20,35108,485,3177,-0.009276751135194463,-0.041289523263433936,-0.015276751135194467,0.3812806198017546,0.3692320838555315,0.16448367609237827,0.10090556413819285,-0.13309127003658677,-0.11525423728813561,0.008458946862818064,-0.028327828537385663,0.008458946862818064,-0.03432782853738567,60.0
breakout60,oos_2023_2025,1,0,0,3226,,,,,,,,,,,,,,60.0
breakout60,oos_2023_2025,3,55260,722,3226,-0.008454465615288672,-0.011558124598587072,-0.014454465615288674,0.40512124502352514,0.36724574737604054,0.042492299872707244,0.02460202604920414,-0.05848028751059233,-0.04163486761285512,0.0019053360296727151,-0.006737283886891588,0.0019053360296727151,-0.01273728388689159,60.0
breakout60,oos_2023_2025,5,55080,720,3226,-0.011946598447232525,-0.018927066911132273,-0.017946598447232526,0.380918663761801,0.3508533042846768,0.06305983866978834,0.036279069767441996,-0.07269318892004902,-0.05393934628562719,0.0033430926694794976,-0.013247654321563964,0.0033430926694794976,-0.019247654321563966,60.0
breakout60,oos_2023_2025,10,54796,715,3226,-0.011840218739583288,-0.024590163934426146,-0.017840218739583292,0.3791882619169282,0.35674136798306444,0.09467200268244767,0.054572932462547796,-0.09220062507450641,-0.07398864710273279,0.005659765869998251,-0.021472889106112367,0.005659765869998251,-0.02747288910611237,60.0
breakout60,oos_2023_2025,20,54305,705,3226,-0.006834058879005183,-0.02873432155074107,-0.012834058879005189,0.3963355123837584,0.3785470951109474,0.13780181350230336,0.08279034112686845,-0.11638221620189816,-0.0981330780277645,0.008491334456488992,-0.030500992193428462,0.008491334456488992,-0.036500992193428464,60.0
breakout_confirmed,development_2012_2020,1,0,0,3038,,,,,,,,,,,,,,60.0
breakout_confirmed,development_2012_2020,3,125407,2179,3038,5.804950175275331e-05,-0.0034071550255537764,-0.00594195049824725,0.46204757310197997,0.41410766544132305,0.03935353776679244,0.026785714285714413,-0.04495436313763275,-0.0326914464845498,0.001170567866926617,-0.0043179336094200434,0.001170567866926617,-0.010317933609420044,60.0
breakout_confirmed,development_2012_2020,5,125376,2179,3038,-0.0012619033556779556,-0.005555555555555647,-0.007261903355677959,0.453125,0.41454504849412965,0.05690256059141073,0.039151712887438794,-0.057228995595137166,-0.04214559386973171,0.0020550514394354676,-0.010778001013854384,0.0020550514394354676,-0.016778001013854384,60.0
breakout_confirmed,development_2012_2020,10,125323,2179,3038,0.0015291147692272872,-0.005313496280552665,-0.004470885230772718,0.4691397429043352,0.44268011458391515,0.08826025410907506,0.060924369747899165,-0.0776027829224126,-0.058678196417541795,0.003828367969750322,-0.016588477306261278,0.003828367969750322,-0.02258847730626128,60.0
breakout_confirmed,development_2012_2020,20,125181,2179,3038,0.003519182277003936,-0.008974358974358942,-0.0024808177229960673,0.4691526669382734,0.4517858141411237,0.1318708005209888,0.09073900841908333,-0.10615767428797963,-0.08091286307053958,0.006201863140032799,-0.02488053096234807,0.006201863140032799,-0.030880530962348073,60.0
breakout_confirmed,validation_2021_2022,1,0,0,3192,,,,,,,,,,,,,,60.0
breakout_confirmed,validation_2021_2022,3,35043,485,3192,-0.003094791207829546,-0.008376963350785305,-0.009094791207829552,0.42835944411152016,0.38806609023200067,0.04322563349161945,0.027253668763102867,-0.05245799478605202,-0.03942652329749108,0.001957870697172271,-0.00744685367034045,0.001957870697172271,-0.013446853670340451,60.0
