event,year,period,path_target,rows,dates,hit_rate,date_equal_hit_rate,hac_se_date_equal,hac_lcb_date_equal,median_up5_day,median_up10_day
rebreakout20,2014,development_2012_2020,up10_before_down5,808,172,0.36386138613861385,0.3545165381047484,0.03450551758974608,0.2868857236288461,5.0,9.0
climax_fade,2014,development_2012_2020,up5_before_down3,196,129,0.49489795918367346,0.4844961240310077,0.049919805560488265,0.3866533051324507,3.0,4.0
climax_fade,2014,development_2012_2020,up10_before_down5,196,129,0.37755102040816324,0.36757105943152457,0.043856548862505465,0.28161222366101385,3.0,4.0
participation_shock,2015,development_2012_2020,up5_before_down3,56433,244,0.49079439335140784,0.45922879868788635,0.024803342699601223,0.41061424699666793,3.0,6.0
participation_shock,2015,development_2012_2020,up10_before_down5,56433,244,0.4973685609483813,0.4456997148889935,0.034873889960678105,0.3773468905660644,3.0,6.0
positive_participation_shock,2015,development_2012_2020,up5_before_down3,24553,244,0.44520017920417054,0.4353067588626434,0.023340908024851687,0.3895585791339341,3.0,6.0
positive_participation_shock,2015,development_2012_2020,up10_before_down5,24553,244,0.4525719871298823,0.42536692653453445,0.03257051272293946,0.3615287215975731,3.0,6.0
range_expansion,2015,development_2012_2020,up5_before_down3,44528,244,0.4533102766798419,0.45162695676536135,0.023380844738582315,0.40580050107774,3.0,6.0
range_expansion,2015,development_2012_2020,up10_before_down5,44528,244,0.4419915558749551,0.43498451151675915,0.03323187971343432,0.36985002727842786,3.0,6.0
breakout20,2015,development_2012_2020,up5_before_down3,45729,242,0.4570622580856787,0.46516924225292544,0.019693323049320165,0.4265703290762579,3.0,5.0
breakout20,2015,development_2012_2020,up10_before_down5,45729,242,0.4658531785081677,0.4606839153002172,0.029166545939367995,0.4035174852590559,3.0,5.0
breakout60,2015,development_2012_2020,up5_before_down3,29626,237,0.4552420171471005,0.47883292133002775,0.015957974092781196,0.44755529210817663,3.0,5.0
breakout60,2015,development_2012_2020,up10_before_down5,29626,237,0.46486194558833455,0.4733604939873685,0.02567574395842847,0.42303603582884874,3.0,5.0
breakout_confirmed,2015,development_2012_2020,up5_before_down3,16276,239,0.44028016711722784,0.4156821582856191,0.024315540253144412,0.36802369938945606,3.0,6.0
breakout_confirmed,2015,development_2012_2020,up10_before_down5,16276,239,0.4611698205947407,0.4162663248839373,0.03300072597384814,0.35158490197519493,3.0,6.0
retest20,2015,development_2012_2020,up5_before_down3,2532,175,0.40086887835703,0.44649292239748106,0.035279813655950495,0.3773444876318181,3.0,6.0
retest20,2015,development_2012_2020,up10_before_down5,2532,175,0.4214060031595577,0.4590090264330987,0.047064623317405734,0.36676236473098345,3.0,6.0
rebreakout20,2015,development_2012_2020,up5_before_down3,1372,161,0.39868804664723034,0.41770593801733846,0.04036666191090508,0.33858728067196453,3.0,5.0
rebreakout20,2015,development_2012_2020,up10_before_down5,1372,161,0.39723032069970843,0.4137052743239022,0.0481862678252337,0.3192601893864441,3.0,5.0
climax_fade,2015,development_2012_2020,up5_before_down3,207,120,0.5072463768115942,0.5156150793650794,0.033477667344395466,0.44999885137006435,2.0,5.0
climax_fade,2015,development_2012_2020,up10_before_down5,207,120,0.5024154589371981,0.5020039682539682,0.0422861897036922,0.4191230364347315,2.0,5.0
participation_shock,2016,development_2012_2020,up5_before_down3,57745,244,0.37979045804831585,0.38982470989221985,0.01584482862117753,0.3587688457947119,4.0,7.0
participation_shock,2016,development_2012_2020,up10_before_down5,57745,244,0.2948307212745692,0.31106470185516794,0.0174468897398406,0.27686879796508035,4.0,7.0
positive_participation_shock,2016,development_2012_2020,up5_before_down3,19412,244,0.35658355656295077,0.37173282207563774,0.014760204263854633,0.34280282171848264,4.0,7.0
positive_participation_shock,2016,development_2012_2020,up10_before_down5,19412,244,0.2838450443024933,0.2986298353008508,0.016904678645230965,0.26549666515619813,4.0,7.0
range_expansion,2016,development_2012_2020,up5_before_down3,38004,243,0.36335648879065363,0.386977571928287,0.01566949332250149,0.3562653650161841,4.0,8.0
range_expansion,2016,development_2012_2020,up10_before_down5,38004,243,0.2829702136617198,0.3061559591496693,0.018726494632166354,0.26945202967062326,4.0,8.0
