rank,symbol,name,day,open_return,high_return,low_return,close_return
1,603360.SH,百傲化学,37,0.5113924741744995,0.5324833393096924,0.481010228395462,0.511553943157196
1,603360.SH,百傲化学,38,0.5075461864471436,0.5293078422546387,0.4785604178905487,0.5095775723457336
1,603360.SH,百傲化学,39,0.5044901371002197,0.5263891816139221,0.4740850925445556,0.5072330236434937
1,603360.SH,百傲化学,40,0.4761237800121307,0.5232552289962769,0.4354990720748901,0.501116931438446
1,603360.SH,百傲化学,41,0.5341698527336121,0.550397515296936,0.4734866023063659,0.5032790303230286
1,603360.SH,百傲化学,42,0.5003000497817993,0.5246179699897766,0.4784555435180664,0.5057293176651001
1,603360.SH,百傲化学,43,0.5047934055328369,0.5294494032859802,0.4739108085632324,0.5042022466659546
1,603360.SH,百傲化学,44,0.506648600101471,0.524484395980835,0.47328981757164,0.501548171043396
1,603360.SH,百傲化学,45,0.4916338920593261,0.5180002450942993,0.4625939130783081,0.4982712566852569
1,603360.SH,百傲化学,46,0.5000039935112,0.5209284424781799,0.4646026790142059,0.4962095022201538
1,603360.SH,百傲化学,47,0.4945039451122284,0.5150642395019531,0.467367559671402,0.4948232173919678
1,603360.SH,百傲化学,48,0.4893082678318023,0.5128897428512573,0.4605708420276642,0.4920377433300018
1,603360.SH,百傲化学,49,0.4871738851070404,0.5090897083282471,0.4574374258518219,0.4888171553611755
1,603360.SH,百傲化学,50,0.4862679243087768,0.5052991509437561,0.4563383460044861,0.4859447777271271
1,603360.SH,百傲化学,51,0.4845736622810364,0.5047508478164673,0.4545359015464782,0.4839451611042022
1,603360.SH,百傲化学,52,0.4812743067741394,0.5024845004081726,0.4533975422382355,0.4819270968437195
1,603360.SH,百傲化学,53,0.4777160584926605,0.4997351467609405,0.4493038356304168,0.4792529344558716
1,603360.SH,百傲化学,54,0.4755334556102752,0.4960339069366455,0.4460821449756622,0.4763385951519012
1,603360.SH,百傲化学,55,0.4732050597667694,0.4900514185428619,0.4470254778861999,0.4734383225440979
1,603360.SH,百傲化学,56,0.468763917684555,0.4916089475154876,0.4382268786430359,0.4705551266670227
1,603360.SH,百傲化学,57,0.4718234539031982,0.4916421473026275,0.4405138492584228,0.4702802896499634
1,603360.SH,百傲化学,58,0.4627960324287414,0.4876673519611358,0.436187744140625,0.4687896370887756
1,603360.SH,百傲化学,59,0.4384302794933319,0.4722592830657959,0.4068418443202972,0.4551298320293426
1,603360.SH,百傲化学,60,0.3912566602230072,0.4418250918388366,0.2367948591709137,0.4172422885894775
2,603121.SH,华培动力,1,0.0,0.2680600583553314,-3.5495682823238894e-05,0.2647005319595337
2,603121.SH,华培动力,2,0.3183065950870514,0.3234796822071075,0.2386621832847595,0.3209846317768097
2,603121.SH,华培动力,3,0.0798430144786834,0.3271529078483581,0.0794909223914146,0.3234273195266723
2,603121.SH,华培动力,4,0.3258527517318725,0.3632620275020599,0.2959588468074798,0.3627465069293976
2,603121.SH,华培动力,5,0.3863041996955871,0.3958793878555298,0.3432157635688782,0.3800418376922607
2,603121.SH,华培动力,6,0.4182510077953338,0.4212602972984314,0.3811497986316681,0.4078345596790313
2,603121.SH,华培动力,7,0.3979314565658569,0.4205480217933655,0.35536789894104,0.4190105497837066
