year,dimension,bucket,candidate_count,candidate_share,signal_date_count,mean_score,median_score,mean_daily_rank,median_daily_rank,entry_fill_rate,coverage_rate,terminal_recovery_rate,mean_resolved_day_filled,mean_gross_return_all_candidates,median_gross_return_all_candidates,gross_win_rate_all_candidates,mean_annualized_realized_capital_speed,median_annualized_realized_capital_speed,positive_realized_capital_speed_rate,mean_annualized_oracle_capital_speed,mean_annualized_exit_regret
2024,daily_score_rank_band,2-3,484,0.0006760928538102861,242,0.0689517466466942,0.0648955705,2.5,2.5,0.8657024793388429,1.0,0.0,2.059665871121718,0.004030891517066116,0.0,0.4380165289256198,0.2807816705018181,0.0,0.4359504132231405,6.108893290752,5.832201123511005
2024,daily_score_rank_band,4-10,1694,0.0023663249883360015,242,0.06377113945572609,0.0601084925,7.0,7.0,0.9256198347107438,1.0,0.0,2.079719387755102,0.003617433340478158,0.0,0.46458087367178275,0.15266044408864463,0.0,0.4574970484061393,5.5468226215425,5.416202417074873
2024,daily_score_rank_band,11-32,5324,0.007437021391913147,242,0.057203324279489105,0.053433425,21.5,21.5,0.9605559729526671,1.0,0.0,2.0445834962847087,0.0009532643560762591,0.0,0.46769346356123215,-0.17818598512462588,-0.045096038819999996,0.459053343350864,4.9111335861324745,5.089951908081645
2024,daily_score_rank_band,33-100,16456,0.02298715702954973,242,0.04936799665635634,0.045813985,66.5,66.5,0.9829849295089936,1.0,0.0,2.031528189910979,0.0012922723391614003,0.0,0.4692513368983957,-0.22166345819763789,-0.31755495240000003,0.45813077297034516,4.598133579480894,4.821185310989996
2024,daily_score_rank_band,101-256,37752,0.05273524259720232,242,0.04068999638152945,0.0382510985,178.5,178.5,0.9892985802076711,1.0,0.0,2.0262129163542895,0.0006109384672584239,-0.00054681837,0.4737762237762238,-0.30176259867456035,-0.3835557306,0.4597372324645052,4.269674469816831,4.573367738936781
2024,daily_score_rank_band,257-512,61952,0.08653988528771663,242,0.03212688810093621,0.030963895999999998,384.5,384.5,0.9919776601239669,1.0,0.0,2.0200309169310877,0.0008324279599585485,-0.00089307802,0.47449638429752067,-0.29027982579987915,-0.429757335,0.4587906766528926,4.064895434542242,4.3557396261694015
2024,daily_score_rank_band,513-1024,123904,0.17307977057543325,242,0.02269694055149535,0.0218284615,768.5,768.5,0.9940760588842975,1.0,0.0,2.0118372980433548,0.0009415391000265369,-0.0013642226,0.47229306559917356,-0.29005098797265594,-0.4893380604,0.45470686983471076,3.741674126188361,4.031894272073409
2024,daily_score_rank_band,1025+,468070,0.6538404588491336,242,0.006148005498511399,0.0026033698,1991.612211848655,1992.0,0.9970517230328797,1.0,0.0,20.546253401615633,0.018242335562207952,0.0,0.49819257803320016,-0.048874623305768215,-0.05988759966,0.48242784198944605,2.8671341350812996,2.916055134239484
2025,daily_score_rank_band,1,243,0.00033557742102537547,243,0.08012951434567901,0.08056137,1.0,1.0,0.7448559670781894,1.0,0.0,2.149171270718232,0.00328331119053498,0.0,0.35802469135802467,0.3819446744296297,0.0,0.35390946502057613,7.0591796569425185,6.677234985275854
2025,daily_score_rank_band,2-3,486,0.0006711548420507509,243,0.07457891014609054,0.07433508999999999,2.5,2.5,0.7983539094650206,1.0,0.0,2.1572164948453607,-0.0016575369232716053,0.0,0.39300411522633744,-0.23765376628,0.0,0.38477366255144035,6.421205169835556,6.658858955121419
2025,daily_score_rank_band,4-10,1701,0.002349041947177628,243,0.06654776297530864,0.06571778,7.0,7.0,0.9065255731922398,1.0,0.0,2.077821011673152,0.002967908950593768,0.0,0.4538506760728983,0.10337081176948153,0.0,0.4467960023515579,6.054281970748592,5.950911151641895
2025,daily_score_rank_band,11-32,5346,0.00738270326255826,243,0.055977282771604936,0.054258424,21.5,21.5,0.9590347923681257,1.0,0.0,2.0567583382094794,0.0016184186860998882,0.0,0.45809951365506923,-0.15371552114792458,-0.31755495240000003,0.44556677890011226,5.25757603009041,5.411291549397147
2025,daily_score_rank_band,33-100,16524,0.02281926462972553,243,0.04428205852699105,0.041904484000000006,66.5,66.5,0.9845679012345679,1.0,0.0,2.0310406294179115,0.0038632370991303557,-0.000302464415,0.4752481239409344,0.05509319128416563,-0.3556712502,0.46096586782861293,4.842698664222632,4.787605469154903
2025,daily_score_rank_band,101-256,37908,0.05235007767995857,243,0.033200303469689774,0.0305066255,178.5,178.5,0.9921652421652422,1.0,0.0,2.019356039456542,0.002956847328820038,-0.00063573475,0.47886989553656223,-0.04628339659195563,-0.39732885360000003,0.4601667194259787,4.250673601199778,4.296840919025555
2025,daily_score_rank_band,257-512,62208,0.08590781978249612,243,0.02354620988819766,0.0209800235,384.5,384.5,0.9952739197530864,1.0,0.0,2.0121781826404366,0.0036174815155279702,0.0,0.48633616255144035,0.04443494896688021,-0.31755495240000003,0.4653742283950617,3.898473330980615,3.8538908685074165
2025,daily_score_rank_band,513-1024,124416,0.17181563956499224,243,0.01301263335089154,0.010821593000000001,768.5,768.5,0.9970904063786008,1.0,0.0,2.12686410756606,0.004473940527704644,0.00062404078,0.5023871527777778,0.11984380638477368,-0.19757486196000001,0.47750289351851855,3.4849377992902637,3.365025620556777
2025,daily_score_rank_band,1025+,475293,0.6563687208700155,243,0.00015840493263601075,-0.0014169182,2002.487072184947,2002.0,0.9990847750755849,1.0,1.893568809134576e-05,43.39333021661212,0.05106645370631445,0.014824816,0.5914709452905892,0.24513762845833226,0.11051760383999999,0.5790954211402229,2.3826229984118332,2.1367519103657826
