date_idx,trade_date,year,universe_count,is_st_count,calculated_st_rate,feature_st_rate,feature_error,one_day_change
2147,2018-11-05,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2148,2018-11-06,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2149,2018-11-07,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2150,2018-11-08,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2151,2018-11-09,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2152,2018-11-12,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2153,2018-11-13,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2154,2018-11-14,2018,2822,40,0.014174344436569808,0.014174344018101692,-4.18468116061832e-10,0.0
2155,2018-11-15,2018,2823,40,0.014169323414806943,0.01416932325810194,-1.5670500314035607e-10,-5.021021762864966e-06
2156,2018-11-16,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,-5.017465798444476e-06
2157,2018-11-19,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,0.0
2158,2018-11-20,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,0.0
2159,2018-11-21,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,0.0
2160,2018-11-22,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,0.0
2161,2018-11-23,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,0.0
2162,2018-11-26,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,0.0
2163,2018-11-27,2018,2824,40,0.014164305949008499,0.014164306223392487,2.7438398775281314e-10,0.0
2164,2018-11-28,2018,2825,40,0.01415929203539823,0.014159291982650757,-5.2747473056058425e-11,-5.0139136102689275e-06
2165,2018-11-29,2018,2827,40,0.014149274849663955,0.014149274677038193,-1.7262576264276408e-10,-1.00171857342745e-05
2166,2018-11-30,2018,2827,40,0.014149274849663955,0.014149274677038193,-1.7262576264276408e-10,0.0
2167,2018-12-03,2018,2827,40,0.014149274849663955,0.014149274677038193,-1.7262576264276408e-10,0.0
2168,2018-12-04,2018,2827,41,0.014503006720905553,0.01450300682336092,1.0245536710695724e-10,0.00035373187124159745
2169,2018-12-05,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,-5.12836164105572e-06
2170,2018-12-06,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2171,2018-12-07,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2172,2018-12-10,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2173,2018-12-11,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2174,2018-12-12,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2175,2018-12-13,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2176,2018-12-14,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2177,2018-12-17,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2178,2018-12-18,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2179,2018-12-19,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2180,2018-12-20,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2181,2018-12-21,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2182,2018-12-24,2018,2829,41,0.014492753623188406,0.014492753893136978,2.6994857217632617e-10,-5.124736076091152e-06
2183,2018-12-25,2018,2829,41,0.014492753623188406,0.014492753893136978,2.6994857217632617e-10,0.0
2184,2018-12-26,2018,2829,41,0.014492753623188406,0.014492753893136978,2.6994857217632617e-10,0.0
