profile,policy,slot_count,cost_scenario,symbol,signal_date,entry_date,exit_date,signal_date_idx,entry_date_idx,exit_date_idx,entry_price_raw,exit_price_raw,shares,buy_cash_cny,sell_proceeds_cny,net_pnl_cny,net_return_on_buy_cash,occupied_sessions,requested_exit_date,exit_reason
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002647.SZ,2021-02-05,2021-02-08,2021-03-04,2698,2699,2712,7.440000057220459,14.4399995803833,140800,1049343.776627989,2027645.827958741,978302.051330752,0.9322989025336139,14,2021-03-04,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002289.SZ,2021-03-04,2021-03-05,2021-03-24,2712,2713,2726,6.380000114440918,5.860000133514404,317300,2027836.5944925288,1854342.5379686435,-173494.05652388535,-0.08555623120476463,14,2021-03-24,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600191.SH,2021-03-24,2021-03-25,2021-04-14,2726,2727,2740,3.7300000190734863,3.240000009536743,496300,1854365.3631927285,1603657.2412942757,-250708.12189845275,-0.13519888090812882,14,2021-04-14,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603416.SH,2021-04-14,2021-04-15,2021-05-07,2740,2741,2754,64.97000122070312,61.25,24600,1600995.751746368,1502669.4708795,-98326.28086686786,-0.06141570379534955,14,2021-05-07,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603313.SH,2021-05-07,2021-05-10,2021-05-27,2754,2755,2768,29.489999771118164,27.940000534057617,50900,1503608.419891782,1418294.6196656793,-85313.80022610282,-0.05673937382729144,14,2021-05-27,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002735.SZ,2021-05-27,2021-05-28,2021-06-17,2768,2769,2782,27.5,25.110000610351562,51500,1418672.4021525003,1289662.9258625896,-129009.47628991073,-0.09093676319788091,14,2021-06-17,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002466.SZ,2021-06-17,2021-06-18,2021-07-07,2782,2783,2796,47.150001525878906,70.19000244140625,27300,1289396.7038203748,1910997.7139868485,621601.0101664737,0.48208670638347506,14,2021-07-07,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603345.SH,2021-07-07,2021-07-08,2021-07-27,2796,2797,2810,209.5500030517578,162.8699951171875,9100,1910166.6629652667,1478103.1368193177,-432063.526145949,-0.22619153319073781,14,2021-07-27,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002612.SZ,2021-07-27,2021-07-28,2021-08-16,2810,2811,2824,37.08000183105469,36.97999954223633,39800,1478308.304130882,1467818.092278882,-10490.211852000095,-0.007096092082204297,14,2021-08-16,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600593.SH,2021-08-16,2021-08-17,2021-09-03,2824,2825,2838,11.829999923706055,11.899999618530273,124000,1469429.0603666496,1471603.7830762563,2174.7227096066345,0.0014799780188530232,14,2021-09-03,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000516.SZ,2021-09-03,2021-09-06,2021-09-27,2838,2839,2852,10.100000381469727,12.25,145500,1472063.623883481,1777548.0326257502,305484.40874226927,0.20752119934623803,14,2021-09-27,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002285.SZ,2021-09-27,2021-09-28,2021-10-22,2852,2853,2866,3.880000114440918,4.070000171661377,457400,1777747.580179817,1856576.5077326864,78828.92755286931,0.04434202494872519,14,2021-10-22,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603324.SH,2021-10-22,2021-10-25,2021-11-11,2866,2867,2880,55.0,73.0,33600,1851160.8820320002,2446157.4104351997,594996.5284031995,0.32141805403216916,14,2021-11-11,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002895.SZ,2021-11-11,2021-11-12,2021-12-01,2880,2881,2894,31.90999984741211,33.11000061035156,76600,2448486.8123805798,2529357.525604799,80870.71322421916,0.033028853908995126,14,2021-12-01,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,601001.SH,2021-12-01,2021-12-02,2021-12-21,2894,2895,2908,8.720000267028809,9.630000114440918,289900,2532251.931544811,2784176.545862233,251924.6143174218,0.09948639437456519,14,2021-12-21,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600096.SH,2021-12-21,2021-12-22,2022-01-11,2908,2909,2922,20.280000686645508,20.770000457763672,137000,2783112.295639576,2837784.0032724435,54671.70763286762,0.019644089718738433,14,2022-01-11,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002885.SZ,2022-01-11,2022-01-12,2022-02-07,2922,2923,2936,22.940000534057617,19.549999237060547,123500,2837935.8795299893,2407886.242337599,-430049.6371923904,-0.1515360654531821,14,2022-02-07,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603333.SH,2022-02-07,2022-02-08,2022-02-25,2936,2937,2950,9.0,8.380000114440918,267200,2408913.2516832002,2233072.0785112255,-175841.17317197472,-0.07299605872029957,14,2022-02-25,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000995.SZ,2022-02-25,2022-02-28,2022-03-17,2950,2951,2964,15.569999694824219,14.40999984741211,143100,2231877.917805728,2056486.5476520206,-175391.37015370745,-0.07858466126415353,14,2022-03-17,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002213.SZ,2022-03-17,2022-03-18,2022-04-08,2964,2965,2978,12.319999694824219,12.1899995803833,166700,2057256.7426050787,2026569.7392312149,-30687.003373863874,-0.014916467516351561,14,2022-04-08,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603755.SH,2022-04-08,2022-04-11,2022-04-28,2978,2979,2992,30.0,31.899999618530273,67400,2025458.497548,2144237.25496861,118778.75742061017,0.05864289866437766,14,2022-04-28,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002947.SZ,2022-04-28,2022-04-29,2022-05-23,2992,2993,3006,14.1899995803833,16.940000534057617,150900,2144933.4392931494,2549323.3418662096,404389.90257306024,0.18853261139251232,14,2022-05-23,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002313.SZ,2022-05-23,2022-05-24,2022-06-13,3006,3007,3020,6.329999923706055,5.690000057220459,402100,2549646.5249568946,2281752.8772545024,-267893.6477023922,-0.10507089711461914,14,2022-06-13,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002086.SZ,2022-06-13,2022-06-14,2022-07-01,3020,3021,3034,2.259999990463257,2.0999999046325684,1008100,2282202.8824143694,2111276.6896167947,-170926.19279757468,-0.07489526637384225,14,2022-07-01,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600971.SH,2022-07-01,2022-07-04,2022-07-21,3034,3035,3048,7.840000152587891,7.360000133514404,268800,2110996.5960139073,1973010.2868383916,-137986.30917551578,-0.06536548160999811,14,2022-07-21,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,605289.SH,2022-07-21,2022-07-22,2022-08-10,3048,3049,3062,18.299999237060547,18.350000381469727,107600,1972447.8991480216,1969112.875494623,-3335.0236533985008,-0.0016908044338402872,14,2022-08-10,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000707.SZ,2022-08-10,2022-08-11,2022-08-30,3062,3063,3076,11.609999656677246,11.220000267028809,169400,1970097.9104442047,1895520.7206572893,-74577.18978691543,-0.037854560116811764,14,2022-08-30,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603322.SH,2022-08-30,2022-08-31,2022-09-20,3076,3077,3090,16.700000762939453,15.789999961853027,113300,1895346.4158646318,1784162.067758491,-111184.34810614074,-0.05866175553740127,14,2022-09-20,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002316.SZ,2022-09-20,2022-09-21,2022-10-17,3090,3091,3104,3.0799999237060547,3.190000057220459,578300,1784210.5192689218,1839781.0706519948,55570.551383072976,0.031145736886386555,14,2022-10-17,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603949.SH,2022-10-17,2022-10-18,2022-11-04,3104,3105,3118,17.219999313354492,16.579999923706055,106600,1838791.6882713595,1762641.5034720427,-76150.1847993168,-0.04141316565929509,14,2022-11-04,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002811.SZ,2022-11-04,2022-11-07,2022-11-24,3118,3119,3132,7.449999809265137,7.96999979019165,236300,1763446.0627310514,1878210.6317389258,114764.56900787447,0.06507971603630369,14,2022-11-24,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002076.SZ,2022-11-24,2022-11-25,2022-12-14,3132,3133,3146,2.2899999618530273,2.440000057220459,818900,1878488.5130899667,1992704.8169156793,114216.30382571253,0.060802237027170136,14,2022-12-14,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002177.SZ,2022-12-14,2022-12-15,2023-01-04,3146,3147,3160,3.3299999237060547,3.190000057220459,597400,1992744.5925384671,1900545.0658957316,-92199.52664273558,-0.04626760849732714,14,2023-01-04,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002388.SZ,2023-01-04,2023-01-05,2023-01-31,3160,3161,3174,6.5,7.809999942779541,291800,1899944.1801678,2272786.1867772606,372842.0066094606,0.1962384003179145,14,2023-01-31,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002875.SZ,2023-01-31,2023-02-01,2023-02-20,3174,3175,3188,17.799999237060547,18.3700008392334,127500,2273381.7325218376,2335832.1080114283,62450.37548959069,0.027470254817397066,14,2023-02-20,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002052.SZ,2023-02-20,2023-02-21,2023-03-10,3188,3189,3202,1.840000033378601,2.1600000858306885,1267300,2335820.487108142,2729954.8615315678,394134.37442342564,0.1687348735053622,14,2023-03-10,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002076.SZ,2023-03-10,2023-03-13,2023-03-30,3202,3203,3216,2.890000104904175,2.7300000190734863,943000,2729931.493561021,2567418.1424688483,-162513.3510921728,-0.05953019388050085,14,2023-03-30,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603701.SH,2023-03-30,2023-03-31,2023-04-20,3216,3217,3230,15.239999771118164,12.0,168100,2566225.8265394503,2011737.0875448,-554488.7389946503,-0.216071685219682,14,2023-04-20,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603701.SH,2023-04-20,2023-04-21,2023-05-15,3230,3231,3244,12.09000015258789,12.359999656677246,166200,2012794.8996448566,2048668.741835775,35873.84219091851,0.017822899987101515,14,2023-05-15,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000525.SZ,2023-05-15,2023-05-16,2023-06-02,3244,3245,3258,6.429999828338623,9.199999809265137,318000,2048237.3381354725,2917676.9290609737,869439.5909255012,0.4244818580042873,14,2023-06-02,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603007.SH,2023-06-02,2023-06-05,2023-06-26,3258,3259,3272,4.039999961853027,4.489999771118164,721100,2918226.8840330644,3228970.5007236083,310743.61669054395,0.10648370707252486,14,2023-06-26,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000007.SZ,2023-06-26,2023-06-27,2023-07-14,3272,3273,3286,3.700000047683716,5.139999866485596,871200,3228953.522986068,4465840.80331057,1236887.2803245024,0.383061345268499,14,2023-07-14,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002742.SZ,2023-07-14,2023-07-17,2023-08-03,3286,3287,3300,3.630000114440918,3.950000047683716,1228100,4465628.260688586,4837857.758676611,372229.4979880247,0.08335434036567757,14,2023-08-03,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002021.SZ,2023-08-03,2023-08-04,2023-08-23,3300,3301,3314,2.0999999046325684,2.069999933242798,2299900,4838050.817318144,4747899.829145271,-90150.98817287292,-0.01863374147501118,14,2023-08-23,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002289.SZ,2023-08-23,2023-08-24,2023-09-12,3314,3315,3328,4.579999923706055,5.190000057220459,1034900,4747949.107819774,5359266.9504392035,611317.8426194293,0.12875408491902363,14,2023-09-12,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,605268.SH,2023-09-12,2023-09-13,2023-10-10,3328,3329,3342,10.289999961853027,9.670000076293945,519900,5358921.41034408,5016328.113756629,-342593.29658745136,-0.06392952431176901,14,2023-10-10,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603879.SH,2023-10-10,2023-10-11,2023-10-30,3342,3343,3356,7.369999885559082,6.429999828338623,679500,5016480.630189498,4359533.939419535,-656946.690769963,-0.13095768511821138,14,2023-10-30,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603879.SH,2023-10-30,2023-10-31,2023-11-17,3356,3357,3370,6.400000095367432,6.730000019073486,680000,4359443.873728775,4566291.358578922,206847.4848501468,0.04744813578095752,14,2023-11-17,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002482.SZ,2023-11-17,2023-11-20,2023-12-07,3370,3371,3384,2.2200000286102295,2.2200000286102295,2053500,4566567.534057776,4548700.346566513,-17867.187491263263,-0.003912607742688201,14,2023-12-07,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600589.SH,2023-12-07,2023-12-08,2023-12-27,3384,3385,3398,4.110000133514404,3.8399999141693115,1104800,4548494.763314966,4233060.9415816,-315433.82173336577,-0.06934905680829584,14,2023-12-27,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002309.SZ,2023-12-27,2023-12-28,2024-01-17,3398,3399,3412,2.5899999141693115,2.7300000190734863,1631700,4233331.329969221,4444701.546892957,211370.21692373604,0.04992999613032256,14,2024-01-17,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603985.SH,2024-01-17,2024-01-18,2024-02-06,3412,3413,3426,20.399999618530273,13.90999984741211,217500,4444589.11254642,3018742.2084673913,-1425846.9040790284,-0.3208051111078126,14,2024-02-06,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600234.SH,2024-02-06,2024-02-07,2024-03-05,3426,3427,3440,4.489999771118164,5.440000057220459,671200,3018842.560532338,3643262.74404749,624420.183515152,0.20684092363036077,14,2024-03-05,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600303.SH,2024-03-05,2024-03-06,2024-03-25,3440,3441,3454,2.940000057220459,4.260000228881836,1237000,3643000.5430652956,5257980.398050522,1614979.8549852269,0.44331035252230566,14,2024-03-25,time_exit
